bgg_id,name,year,kennerspiel_score
13017,Animal Olympics,1989,2.2396914880165502e-22
501,Dschungelrennen,1989,9.117692343607916e-20
462,Esels-Rennen,1989,3.8669197620456826e-26
1325,Wild Pirates,1989,9.5396014930456e-16
19693,was is'es?,1989,0.9999999999540738
406,Meteo,1989,8.233155301987895e-05
3351,Wer ist der Täter?,1989,0.4033010910544768
2003,Spectrangle,1989,2.371247176125157e-16
1014,Fief 2,1989,0.9999999999976898
514,True Colors,1989,1.2638994654497582e-11
699,HeroQuest,1989,0.9999999999999998
14277,Einfalls-Pinsel,1989,0.337464669448585
856,"New York, New York",1989,3.804684206272121e-20
5167,Rubik's Illusion,1989,9.149063461187049e-08
1046,Max.X,1989,8.427991056440214e-06
95,Igel Ärgern,1990,2.322972606294409e-16
561,Flußpiraten,1990,0.00024033515025040462
940,Karawane,1990,1.2231885388997629e-08
10855,Le Paresseux,1990,2.4035874824251922e-26
12157,Unanimo,1990,5.531721674584605e-18
3085,Gang of Four,1990,0.00044507563159488486
2310,Cash,1990,5.649810841559436e-16
2944,Halli Galli,1990,2.5881372315143464e-21
1160,Boom Town,1990,2.7383824630724703e-10
157,Eurorails,1990,1.0
3104,Chamäleon,1990,7.691351220499236e-14
1940,Sindbad,1990,5.0650388561821995e-06
430,Asterix: Das Kartenspiel,1990,6.702385260498832e-16
3182,Vanished!,1990,1.0968710231367989e-07
719,Tyranno Ex,1990,0.9999999999999147
12539,Amnesia,1990,9.941111215207828e-20
3818,Alias,1990,1.2807623219197971e-12
8790,Activity,1990,0.05944903111568648
290,Gold Digger,1990,3.685881125855708e-15
3198,Hecht im Karpfenteich,1990,5.745587639178881e-21
1961,5 Alive,1990,3.0674135428632865e-21
2295,Astérix et les Romains,1990,3.275375147560117e-12
422,1835,1990,1.0
10800,Lemming,1990,3.718844501119695e-17
1866,Brainstorm,1990,0.7450738443876609
574,Devil Take the Hindmost,1991,7.118601403210477e-13
64897,Formule Dé,1991,0.999998234441393
449,The Great Balloon Race,1991,1.7397629667563396e-11
215,Tichu,1991,0.9993639978254278
9619,Ex Libris,1991,0.9752589628166607
2535,Valley of the Mammoths,1991,1.0
2981,Breaking Away,1991,0.9949230904896346
224,History of the World,1991,1.0
3147,Mandarin,1991,2.498470024932182e-15
1038,Tantrix,1991,8.070202415824236e-12
454,Tante Tarantel,1991,2.8351783911608824e-11
104,Extrablatt,1991,0.9999999999999996
2217,Columbus,1991,1.2822123933764069e-09
277,Res Publica,1991,0.5767115552686409
2092,Elfengold,1991,0.0006199327611260756
458,Sherlock Holmes: The Card Game,1991,7.335199591149555e-09
2864,Automania: The Game of the Motor Giants,1991,1.1081102994557267e-07
1484,Clue: The Great Museum Caper,1991,0.06407614020044308
751,Minos,1991,1.0
1402,Neolithibum,1991,4.850297683897922e-13
1400,Columbus,1991,1.766719329150366e-06
2179,Musketeers,1991,8.63225200164209e-18
26786,Number Rumba!,1991,0.9984937639344627
2337,Droids,1991,0.9996509704058203
11573,Celebrity Taboo,1991,0.0031249361256476594
327,Loopin' Louie,1992,8.563056996370725e-29
201,The Rose King,1992,4.528145508981601e-14
14553,Times,1992,0.9578845619750675
308,Santa Fe,1992,0.9989078626244964
312,Landlord!,1992,4.3045804495452167e-19
303,Koalition,1992,0.9999999999957645
485,Galloping Pigs,1992,1.356623161588885e-11
8829,Nobody Is Perfect,1992,1.7076877384602304e-06
9759,Outta Control,1992,5.457955505390299e-25
770,Loot,1992,1.2109604575866356e-14
305,Der Fliegende Holländer,1992,0.9999999992450244
2792,Coco Crazy,1992,2.119367548832743e-25
416,A to Z,1992,2.5274876308308435e-07
4,Tal der Könige,1992,0.9999999968380557
366,Viva Pamplona!,1992,0.9810190327544536
1401,Crash!,1992,1.1865119882380769e-14
10813,Aya,1992,4.033734992483547e-23
704,Montgolfiere,1992,3.815551045809113e-24
571,Papua,1992,4.6257141007778876e-08
2189,Pfusch,1992,6.239547401913431e-07
3500,Schmuggler an Bord,1992,3.6340772014382017e-22
198,Buried Treasure,1992,0.0019297503134818354
