rank,bgg_id,name,year,complexity,min_time
7989,10964,"April's Harvest: The Battle of Shiloh, April 6 & 7, 1862",1995,3.367,240
8013,78,"WestFront: The War in Europe, 1943-45",1992,3.471,240
8034,22604,The Halls of Montezuma,2009,3.139,240
8047,12567,Russia Besieged,2004,3.138,360
8059,2904,John Prados' Third Reich,2001,4.000,360
8059,232267,"Red Typhoon: The Soviet Winter Counter-Offensive, 1942",2017,1.857,240
8062,9132,18C2C: Manifest Destiny,2003,4.182,600
8089,16444,The Battle of the Bulge,1965,2.212,120
8090,18115,Four Lost Battles,2005,2.963,240
8116,341080,Warhammer Age of Sigmar (Third Edition),2021,4.000,
8122,4287,Onslaught,1987,2.500,240
8126,20266,"Bitter End: Attack to Budapest, 1945",1983,3.000,240
8132,13016,"White Death: Velikiye Luki, The Stalingrad of the North",1979,3.095,240
8143,4201,GD '40,1993,3.444,360
8143,26468,Klaverjassen,1890,2.824,75
8152,17654,18GL,2005,4.214,300
8162,5698,The Emperor Returns,1986,3.125,240
8187,21182,1850: The MidWest,2005,3.417,300
8195,315,Bagh Chal,1000,2.333,20
8202,197076,Nemesis: Burma 1944,2018,3.583,360
8218,22377,Spartacus: Crisis in the Roman Republic 80-71 B.C.,2008,3.233,300
8223,2524,StarForce 'Alpha Centauri': Interstellar Conflict in the 25th Century,1974,3.454,240
8228,3411,Drive on Paris,2000,2.652,300
8258,6928,"Typhoon! The Drive on Moscow, 1941",1995,4.125,360
8266,8976,World War II: Pacific Theater of Operations,1991,4.046,360
8282,753,Panzerkrieg: von Manstein & HeeresGruppe Süd,1978,3.071,240
8304,5410,La Grande Guerre 14-18,1999,4.750,360
8304,7365,"Wilson's Creek: The West's First Fight, August 10, 1861",1980,3.323,300
8314,26952,International Checkers,1600,2.500,40
8316,7831,Risorgimento 1859: the Second Italian War of Independence,2000,3.267,240
8319,7823,1837: Rail Building in the Austro-Hungarian Empire,1994,4.167,360
8333,1508,Broadside,1962,1.780,45
8340,310726,"Iron Curtain: Central Europe, 1945-1989",2020,2.667,
8347,590,Mille Bornes,1954,1.249,45
8348,207398,Hungarian Rhapsody: The Eastern Front in Hungary,2020,4.429,240
8357,2607,Totopoly,1938,1.933,90
8360,59008,Canadian Crucible: Brigade Fortress at Norrey,2013,3.900,240
8361,11091,Leuthen: Frederick's Greatest Victory,1997,4.000,360
8363,91739,Somme 1918: Bloody Spring,2012,3.600,240
8390,6495,Iron Tide: Panzers in the Ardennes,2003,3.121,360
8396,348425,The Book of Rituals,2021,3.636,240
8458,329962,Cantaloop: Book 2 – A Hack of a Plan,2021,2.250,360
8475,11967,The Seven Days of 1809: Napoleon and the Archduke Charles,2004,3.056,480
8488,6253,"'Wacht am Rhein': The Battle of the Bulge, 16 Dec 44 – 2 Jan 45",1977,3.615,360
8489,313834,Blockbuster Returns,2020,2.000,
8490,8722,BAOR,1981,2.929,240
8522,32288,Dou Dizhu,,2.333,30
8530,8250,Patton's 3rd Army: The Lorraine Campaign,1980,2.658,240
8554,113971,La Bataille de Dresde,2015,4.333,720
8562,3572,Invasion: America – Death Throes of the Superpower,1976,3.179,240
8568,4934,Battling Tops,1968,1.205,45
8597,232956,Omen: Fires in the East,2019,,30
8600,2844,Throneworld,1997,3.524,270
8604,4386,Fanorona,1680,2.591,20
8620,5482,Devil's Den,1980,3.207,360
8664,202096,Marvel Dice Masters: Iron Man and War Machine Starter Set,2017,,15
8667,404170,France '40: 2nd Edition,2024,3.429,240
8673,5060,Caesar in Alexandria,2001,3.059,300
8679,13520,La Bataille d'Albuera: Espagnol,1987,3.812,900
8689,62214,Aspern-Essling 1809,2009,2.783,240
8712,38870,Pensacola,2010,3.300,360
8718,30771,18West,2007,3.875,360
8721,5242,The Game of Y,1953,3.057,20
8722,62291,Fatal Alliances: The Great War 1914-1918,2016,4.133,240
8746,7662,Bar-Lev: The Yom-Kippur War of 1973,1974,3.046,360
8748,99696,Briscola Chiamata,1800,2.000,10
8760,376966,Task Force: Carrier Battles in the Pacific,2023,2.429,
8761,369,5ive Straight,1958,1.677,20
8775,29278,18Rhl: Rhineland,2007,3.500,240
8794,2494,Hispania,1994,3.059,300
8798,13995,La Bataille d'Espagnol: Talavera,1979,3.923,300
8809,5171,War Without Mercy,1998,3.423,360
