rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
125,230253,Star Realms: Frontiers,2018,298,7.941,7.983,0.043,7.198,173
126,12,Ra,1999,138,7.606,7.356,-0.251,7.198,12
127,270673,Silver & Gold,2019,633,7.211,7.693,0.483,7.195,506
128,10630,Memoir '44,2004,196,7.534,7.320,-0.213,7.192,68
129,293014,Nidavellir,2020,220,7.603,7.493,-0.110,7.191,91
130,118048,Targi,2012,143,7.615,7.360,-0.256,7.190,13
131,153938,Camel Up,2014,575,7.041,7.331,0.290,7.186,444
132,170042,Raiders of the North Sea,2015,110,7.737,7.345,-0.392,7.185,-22
133,256952,Zombie Kidz Evolution,2018,499,7.636,7.980,0.344,7.184,366
134,41,Can't Stop,1980,774,6.906,7.400,0.494,7.184,640
135,283155,Calico,2020,225,7.550,7.399,-0.151,7.182,90
136,244992,The Mind,2018,943,6.767,7.308,0.540,7.180,807
137,167355,Nemesis,2018,21,8.267,7.304,-0.963,7.180,-116
138,171131,Captain Sonar,2016,207,7.524,7.364,-0.160,7.179,69
139,245654,Railroad Ink: Deep Blue Edition,2018,543,7.186,7.479,0.292,7.175,404
140,314491,Meadow,2021,200,7.762,7.566,-0.196,7.172,60
141,135779,A Fake Artist Goes to New York,2011,696,7.144,7.650,0.506,7.172,555
142,196326,Love Letter: Premium Edition,2016,561,7.447,7.831,0.384,7.171,419
143,15512,Incan Gold,2005,852,6.833,7.351,0.519,7.168,709
144,277659,Final Girl,2021,144,8.330,7.885,-0.446,7.168,0
145,187645,Star Wars: Rebellion,2016,9,8.418,7.284,-1.135,7.167,-136
146,191189,Aeon's End,2016,84,7.898,7.346,-0.553,7.163,-62
147,372,Schotten Totten,1999,405,7.355,7.501,0.146,7.162,258
148,374173,Star Wars: The Deckbuilding Game,2023,282,7.937,7.880,-0.058,7.161,134
149,338834,MicroMacro: Crime City – Full House,2021,535,7.706,8.164,0.458,7.159,386
150,215311,Downforce,2017,409,7.308,7.439,0.132,7.157,259
151,143741,BANG! The Dice Game,2013,767,6.899,7.312,0.413,7.154,616
152,181304,Mysterium,2015,395,7.214,7.239,0.025,7.153,243
153,169654,Deep Sea Adventure,2014,813,6.911,7.387,0.476,7.153,660
154,220,High Society,1995,544,7.157,7.441,0.283,7.152,390
155,169786,Scythe,2016,17,8.139,7.190,-0.949,7.145,-138
156,314040,Pandemic Legacy: Season 0,2020,52,8.394,7.629,-0.764,7.144,-104
157,183251,Karuba,2015,592,7.172,7.491,0.319,7.143,435
158,91514,Rhino Hero,2011,916,6.913,7.487,0.573,7.142,758
159,34219,Biblios,2007,444,7.199,7.356,0.158,7.140,285
160,157969,Sheriff of Nottingham,2014,512,7.074,7.246,0.173,7.139,352
161,293141,King of Tokyo: Dark Edition,2020,442,7.692,7.876,0.184,7.137,281
162,20100,Wits & Wagers,2005,785,6.924,7.381,0.457,7.133,623
163,11,Bohnanza,1997,517,7.049,7.216,0.167,7.132,354
164,103885,Star Wars: X-Wing Miniatures Game,2012,175,7.634,7.282,-0.352,7.132,11
165,233371,Clank! In! Space!: A Deck-Building Adventure,2017,125,7.792,7.394,-0.398,7.127,-40
166,34635,Stone Age,2008,161,7.527,7.197,-0.330,7.126,-5
167,251661,Oathsworn: Into the Deepwood,2022,65,8.963,7.879,-1.084,7.121,-102
168,198928,Iberia,2016,127,7.890,7.476,-0.414,7.121,-41
169,231733,Obsession,2018,60,8.142,7.410,-0.732,7.120,-109
170,295374,Long Shot: The Dice Game,2022,315,7.670,7.680,0.010,7.120,145
171,98778,Hanabi,2010,507,7.046,7.198,0.152,7.119,336
172,12333,Twilight Struggle,2005,13,8.245,7.193,-1.052,7.117,-159
173,36553,Time's Up! Title Recall!,2008,574,7.687,8.157,0.470,7.116,401
174,244271,Dice Throne: Season Two – Battle Chest,2018,297,8.079,7.953,-0.126,7.115,123
175,157354,Five Tribes: The Djinns of Naqala,2014,81,7.775,7.203,-0.571,7.114,-94
176,316377,7 Wonders (Second Edition),2020,243,7.869,7.652,-0.217,7.113,67
177,246900,Eclipse: Second Dawn for the Galaxy,2020,18,8.455,7.379,-1.076,7.113,-159
178,189932,Tyrants of the Underdark,2016,163,7.909,7.523,-0.386,7.111,-15
179,390092,Ticket to Ride Legacy: Legends of the West,2023,198,8.738,8.364,-0.374,7.108,19
180,290236,Canvas,2021,510,7.279,7.459,0.180,7.107,330
181,1353,Time's Up!,1999,679,7.284,7.744,0.460,7.107,498
182,156009,Port Royal,2014,552,7.122,7.321,0.199,7.106,370
183,70919,Takenoko,2011,393,7.213,7.188,-0.025,7.106,210
184,118,Modern Art,1992,212,7.496,7.274,-0.222,7.105,28
185,206718,Ethnos,2017,294,7.463,7.380,-0.082,7.103,109
186,302723,Forgotten Waters,2020,293,7.823,7.713,-0.111,7.102,107
187,397598,Dune: Imperium – Uprising,2023,59,8.730,7.778,-0.952,7.102,-128
188,131260,Qwixx,2012,925,6.863,7.381,0.518,7.101,737
189,221965,The Fox in the Forest,2017,565,7.112,7.336,0.223,7.094,376
190,172287,Champions of Midgard,2015,132,7.727,7.305,-0.422,7.092,-58
191,236457,Architects of the West Kingdom,2018,103,7.733,7.216,-0.516,7.092,-88
192,199042,Harry Potter: Hogwarts Battle,2016,392,7.368,7.278,-0.090,7.090,200
193,215,Tichu,1991,215,7.579,7.326,-0.253,7.088,22
194,255984,Sleeping Gods,2021,54,8.200,7.379,-0.821,7.084,-140
195,168584,Love Letter: Batman,2015,748,7.267,7.732,0.466,7.084,553
196,339789,Welcome to the Moon,2021,195,7.961,7.608,-0.353,7.074,-1
197,207830,5-Minute Dungeon,2017,995,6.937,7.457,0.520,7.072,798
198,218333,Rhino Hero: Super Battle,2017,803,7.243,7.766,0.523,7.071,605
199,153016,Telestrations: 12 Player Party Pack,2011,695,7.740,8.285,0.546,7.064,496
200,306735,Under Falling Skies,2020,217,7.684,7.397,-0.287,7.061,17
201,129437,Legendary: A Marvel Deck Building Game,2012,236,7.535,7.222,-0.313,7.061,35
202,271896,Star Wars: Outer Rim,2019,199,7.732,7.339,-0.393,7.059,-3
203,28023,Jamaica,2007,594,7.063,7.236,0.173,7.057,391
