rank,bgg_id,name,g_index
1647,245638,Coimbra,24
1647,246912,Take 5 & Take A Number,24
1647,248158,Thanos Rising: Avengers Infinity War,24
1647,248949,Skull Tales: Full Sail!,24
1647,249552,Ascension: Delirium,24
1647,253608,18Chesapeake,24
1647,256066,"Warhammer 40,000: Kill Team",24
1647,258036,Between Two Castles of Mad King Ludwig,24
1647,260678,Stone Age: Anniversary,24
1647,261393,Dungeon Universalis,24
1647,262215,Blackout: Hong Kong,24
1647,262388,Qwantum,24
1647,264198,Warhammer Quest: Blackstone Fortress,24
1647,269146,Yōkai,24
1647,271512,5211,24
1647,271519,Ecosystem,24
1647,273264,Iron Helm,24
1647,281260,Veilwraith: A Veil Odyssey Game,24
1647,295577,Dungeon Mayhem: Monster Madness,24
1647,296044,Fruit Picking,24
1647,298065,Santa Monica,24
1647,298635,Alice's Garden,24
1647,304420,Bonfire,24
1647,310192,Overboss: A Boss Monster Adventure,24
1647,311715,Mini Rogue,24
1647,316085,Ukiyo,24
1647,317434,Exit: The Game – Advent Calendar: The Mystery of the Ice Cave,24
1647,331787,Tiny Epic Dungeons,24
1647,335275,Whirling Witchcraft,24
1647,342562,ROVE: Results-Oriented Versatile Explorer,24
1647,343322,Exit: The Game – Advent Calendar: The Hunt for the Golden Book,24
1647,344554,Décorum,24
1647,348406,Marvel Dice Throne,24
1647,349463,"Dungeons, Dice & Danger",24
1647,356314,Exit: The Game – Advent Calendar: The Silent Storm,24
1647,359394,My Island,24
1647,363247,Azul: Master Chocolatier,24
1647,367375,Race to the Raft,24
1780,95,Igel Ärgern,23
1780,125,Money!,23
1780,199,Manhattan,23
1780,222,Space Beans,23
1780,293,Bamboleo,23
1780,1797,Pay Day,23
1780,1860,Dragon Dice,23
1780,2288,Blood Bowl (Second Edition),23
1780,2932,Hnefatafl,23
1780,3730,Statis Pro Baseball,23
1780,4376,Kings in the Corner,23
1780,5451,Hanafuda,23
1780,5740,Strat-O-Matic Pro Football,23
1780,6738,Quicksand,23
1780,9004,Pop-Up Pirate!,23
1780,10453,Crocodile Dentist,23
1780,10653,Pirates of the Spanish Main,23
1780,13884,The Scepter of Zavandor,23
1780,18121,Casino,23
1780,20963,Fury of Dracula (Second Edition),23
1780,24742,Cold War: CIA vs KGB,23
1780,24773,On the Underground,23
1780,26468,Klaverjassen,23
1780,27172,Ponte del Diavolo,23
1780,34169,Potion-Making: Practice,23
1780,34819,Pengoloo,23
1780,35369,Martian Fluxx,23
1780,37358,Founding Fathers,23
1780,41627,Zulus on the Ramparts!: The Battle of Rorke's Drift – Second Edition,23
1780,47046,Gambit 7,23
1780,52461,Legacy: The Testament of Duke de Crecy,23
1780,63628,The Manhattan Project,23
1780,73313,Elements,23
1780,85897,Thunderstone: Dragonspire,23
1780,92644,Schnappt Hubi!,23
1780,95103,Fortune and Glory: The Cliffhanger Game,23
1780,111173,Little Devils,23
1780,112598,Monster Factory,23
1780,113873,"The Hunters: German U-Boats at War, 1939-43",23
1780,121806,Race to the Treasure!,23
1780,122159,Cthulhu Fluxx,23
1780,123955,Thunderbolt Apache Leader,23
1780,125368,Dino Hunt Dice,23
1780,125921,Catan: Junior,23
1780,127023,Kemet,23
1780,127493,Bolt Action,23
1780,132028,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),23
1780,137269,Spyrium,23
1780,141019,Thermopyles,23
1780,143147,Saboteur Gold,23
1780,143986,CV,23
1780,146035,Eggs of Ostrich,23
1780,148261,SeaFall,23
1780,149776,Fireteam Zero,23
1780,150999,Valley of the Kings,23
1780,155969,Harbour,23
1780,157958,DungeonQuest: Revised Edition,23
1780,158340,Lost Legacy: Flying Garden,23
1780,159469,Ortus Regni,23
1780,161537,7 Steps,23
1780,161546,Timeline: American History,23
1780,163068,Trickerion: Legends of Illusion,23
1780,168998,Marvel Dice Masters: Age of Ultron,23
1780,171011,Favor of the Pharaoh,23
1780,171129,Spinderella,23
1780,171890,Best Treehouse Ever,23
1780,176361,One Night Revolution,23
1780,181385,Retro Loonacy,23
1780,181530,Runebound (Third Edition),23
1780,198525,Lotus,23
1780,198707,Hostage Negotiator: Crime Wave,23
1780,205896,Rising Sun,23
1780,206327,The King's Guild,23
1780,209003,Commands & Colors: Medieval,23
1780,212551,Qwixx: Das Duell,23
1780,216123,Звёздные империи. Подарочное издание (Star Realms. Gift Edition),23
1780,225981,Penguin Trap,23
1780,227224,The Red Cathedral,23
1780,227456,Escape the Dark Castle,23
1780,231218,Black Sonata,23
1780,231280,Harvest Dice,23
1780,235365,Doctor Who Fluxx,23
1780,238393,Monolith Arena,23
1780,238992,Call to Adventure,23
1780,241245,Get the MacGuffin,23
1780,244049,Forum Trajanum,23
1780,244654,Wildlands,23
1780,247314,Concept Kids: Animals,23
1780,249675,Desolate,23
1780,249763,Claim 2,23
1780,256730,Pipeline,23
1780,265188,Glen More II: Chronicles,23
1780,267367,Suburbia: Collector's Edition,23
1780,268252,Colorful,23
1780,269420,Ragemore,23
1780,272380,SHŌBU,23
1780,273703,Altar Quest,23
1780,275044,Glow,23
1780,276925,Warhammer Age of Sigmar: Warcry Starter Set,23
1780,290357,Hanabi: Grands Feux,23
1780,291572,Oath: Chronicles of Empire & Exile,23
1780,297030,Tekhenu: Obelisk of the Sun,23
1780,299104,Apex Theropod Deck Building Game: Collected Edition,23
1780,299317,Aeon's End: Outcasts,23
1780,300442,Trekking the World,23
1780,301607,KeyForge: Mass Mutation,23
1780,302524,Super-Skill Pinball: 4-Cade,23
1780,306680,GOLD,23
1780,306745,El portero Baldomero,23
1780,313698,Monster Expedition,23
1780,313889,Hoplomachus: Victorum,23
1780,322703,Death Valley,23
1780,324158,Professor Charlie's world tour,23
1780,327711,It's a Wonderful Kingdom,23
1780,328326,Fleet: The Dice Game (Second Edition),23
1780,342900,Earthborne Rangers,23
1780,352454,Trailblazers,23
1780,361241,Vaalbara,23
1780,363289,Fantasy Realms: Deluxe Edition,23
1780,363307,Evergreen,23
1780,369634,Smitten,23
1780,375651,That's Not a Hat,23
1902,121,Dune,22
1902,169,En Garde,22
1902,361,Hare & Tortoise,22
1902,371,Mystery Rummy: Murders in the Rue Morgue,22
1902,443,Code 777,22
1902,485,Galloping Pigs,22
1902,553,Chez Geek,22
1902,614,Rubik's Race,22
1902,986,Babel,22
1902,1265,Mystery Rummy: Jekyll & Hyde,22
1902,1589,Star Fleet Battles,22
1902,1768,Fireball Island,22
1902,2272,Aggravation,22
1902,2322,Malefiz,22
1902,2338,Starship Catan,22
1902,5445,Rod Hockey,22
1902,6644,Spite & Malice,22
1902,6748,Scum: The Food Chain Game,22
1902,9028,Tongiaki: Journey into the Unknown,22
1902,10283,Monkey Madness,22
1902,10989,ConHex,22
1902,11104,Who's the Ass?,22
1902,11618,Cranium Zigity,22
1902,12902,Carcassonne: The City,22
1902,13362,"Warhammer 40,000 (Fourth Edition)",22
1902,13511,Ninja Versus Ninja,22
1902,13642,Louis XIV,22
1902,13928,Chinagold,22
1902,14634,Homeworlds,22
1902,16216,Carcassonne: The Discovery,22
1902,16362,Hula Hippos,22
1902,17392,Here I Stand,22
1902,17970,Axis & Allies Miniatures,22
1902,18117,Schoko-Hexe,22
1902,19996,Nacht der Magier,22
1902,22192,HeroQuest Advanced Quest,22
1902,22347,Pecking Order,22
1902,22825,Tide of Iron,22
1902,22877,Fields of Fire,22
1902,23686,Gift Trap,22
1902,23878,Star Wars: Stolen Plans Card Game,22
1902,27746,Colosseum,22
1902,28181,Combat Commander: Pacific,22
1902,28396,It's Alive!,22
1902,33643,Whoowasit?,22
1902,34297,The Climbers,22
1902,34969,Ubongo: Duel,22
1902,38054,Snow Tails,22
1902,38506,Witch of Salem,22
1902,38531,Powerboats,22
1902,40004,Contract Rummy,22
1902,40234,Einauge sei wachsam!,22
1902,40990,Word on the Street,22
1902,43868,The Adventurers: The Temple of Chac,22
1902,53093,Heroes of Normandie,22
1902,55253,Atlantis,22
1902,66588,Wits & Wagers Family,22
1902,66797,Heckmeck Junior,22
1902,67492,Battles of Westeros,22
1902,68199,Catchup,22
1902,73171,Earth Reborn,22
1902,84419,Space Empires 4X,22
1902,88147,Adaman,22
1902,93688,The Sneaky Snacky Squirrel Game,22
1902,93971,Nile DeLuxor,22
1902,94104,Omen: A Reign of War,22
1902,97786,Small World Underground,22
1902,97803,Penny Arcade: The Game – Gamers vs. Evil,22
1902,97903,Terror in Meeple City,22
1902,101796,SUTAKKU,22
1902,103185,Walnut Grove,22
1902,105265,Battle of LITS,22
1902,108831,Kulami,22
1902,118695,Riff Raff,22
1902,120515,Chupacabra: Survive the Night,22
1902,125548,Pixel Tactics,22
1902,127127,The Lord of the Rings: The Fellowship of the Ring Deck-Building Game,22
1902,128671,Spartacus: A Game of Blood and Treachery,22
1902,129293,Gauntlet of Fools,22
1902,130680,iKNOW,22
1902,130960,Triumph & Tragedy: European Balance of Power 1936-1945,22
1902,132251,Ghooost!,22
1902,132620,Gobbit,22
1902,134726,Smash Up: Awesome Level 9000,22
1902,136280,La Boca,22
1902,137290,Nosferatu,22
1902,137408,Amerigo,22
1902,140519,Myth,22
1902,141067,History Maker Baseball,22
1902,142057,Carcassonne Big Box,22
1902,142503,One Night Werewolf,22
1902,144239,Impulse,22
1902,144344,Rococo,22
1902,148951,Tiny Epic Kingdoms,22
1902,149869,Sherlock 13,22
1902,150016,Shephy,22
1902,153318,Dimension,22
1902,156455,Viticulture: Complete Collector's Edition,22
1902,157451,Mein erster Spieleschatz,22
1902,157526,Viceroy,22
1902,159504,Folklore: The Affliction,22
1902,160610,Thunderbirds,22
1902,161226,The Builders: Antiquity,22
1902,163474,V-Sabotage,22
1902,163640,Eminent Domain: Microcosm,22
1902,171233,The Big Book of Madness,22
1902,171669,Discoveries: The Journals of Lewis & Clark,22
1902,174570,Legendary Encounters: A Predator Deck Building Game,22
1902,175360,W1815,22
1902,177590,"13 Days: The Cuban Missile Crisis, 1962",22
1902,177678,Signorie,22
1902,178892,Vs System 2PCG: The Marvel Battles,22
1902,180198,Rolling America,22
1902,180511,Shakespeare,22
1902,181687,The Pursuit of Happiness,22
1902,182082,Carcassonne: Over Hill and Dale,22
1902,182116,Dingo's Dreams,22
1902,182189,Treasure Hunter,22
1902,182704,SteamRollers,22
1902,183880,Risk: Star Wars Edition,22
1902,188547,Maximum Apocalypse,22
1902,191055,Kerala: The Way of the Elephant,22
1902,191538,Leo,22
1902,191894,Imagine,22
1902,193214,Meeple Circus,22
1902,193621,Joking Hazard,22
1902,195544,Tides of Madness,22
1902,195571,Legendary Encounters: A Firefly Deck Building Game,22
1902,196496,Warfighter: The WWII Tactical Combat Card Game,22
1902,198522,Archer: Once You Go Blackmail...,22
1902,200456,Ascension X: War of Shadows,22
1902,200632,QANGO,22
1902,201825,Ex Libris,22
1902,202288,Medici: The Card Game,22
1902,210296,DinoGenics,22
1902,215616,Ascension: Gift of the Elements,22
1902,218129,Catch the Moon,22
1902,223215,Flip Ships,22
1902,224821,One Deck Dungeon: Forest of Shadows,22
1902,229130,Kingdom Builder: Big Box (Second Edition),22
1902,231581,AuZtralia,22
1902,233398,Endeavor: Age of Sail,22
1902,233974,Sundae Split,22
1902,236305,Combo Fighter,22
1902,240196,Betrayal Legacy,22
1902,243358,Space Park,22
1902,244114,Yellow & Yangtze,22
1902,251551,Dale of Merchants Collection,22
1902,254708,Roll Player Adventures,22
1902,255262,Agricola: All Creatures Big and Small – The Big Box,22
1902,255683,Roll for Adventure,22
1902,256297,Transformers Trading Card Game,22
1902,256801,Fast Forward: FORTUNE,22
1902,257726,Brikks,22
1902,261114,Men at Work,22
1902,262477,Mercado de Lisboa,22
1902,267609,Guards of Atlantis II,22
1902,271785,Slide Quest,22
1902,272541,Marvel Fluxx,22
1902,284378,Kanban EV,22
1902,285554,Fire!,22
1902,286749,Hansa Teutonica: Big Box,22
1902,288169,The Fox in the Forest Duet,22
1902,290359,Undaunted: North Africa,22
1902,291962,Paper Dungeons: A Dungeon Scrawler Game,22
1902,295192,Tinderblox,22
1902,295374,Long Shot: The Dice Game,22
1902,299027,Colt Super Express,22
1902,301767,Mysterium Park,22
1902,301880,Raiders of Scythia,22
1902,303669,Magic Rabbit,22
1902,312618,Flourish,22
1902,315043,Scape Goat,22
1902,315610,Massive Darkness 2: Hellscape,22
1902,318182,Imperium: Legends,22
1902,318556,Tucano,22
1902,322524,Bardsung,22
1902,329841,Ticket to Ride: Europe – 15th Anniversary,22
1902,330592,Phantom Ink,22
1902,334717,Tranquility: The Ascent,22
1902,338834,MicroMacro: Crime City – Full House,22
1902,340325,Vagrantsong,22
1902,345976,System Gateway (fan expansion for Android: Netrunner),22
1902,350316,Wayfarers of the South Tigris,22
1902,354934,Legacy of Yu,22
1902,365717,Clank!: Catacombs,22
1902,368465,Qawale,22
1902,370193,Roll to the Top: Journeys,22
2090,117,Ta Yü,21
2090,217,A la carte,21
2090,221,Ikusa,21
2090,223,Expedition,21
2090,257,Kill Doctor Lucky,21
2090,287,Bazaar,21
2090,333,Waterworks,21
2090,338,Bargain Hunter,21
2090,891,Cranium,21
2090,1324,Café International: Das Kartenspiel,21
2090,1491,Outpost,21
2090,1545,Flowerpower,21
2090,1608,Ambush!,21
2090,2371,Extra!,21
2090,2541,Cosmic Cows,21
2090,2795,Car Wars,21
2090,3072,Necromunda,21
2090,3093,Croak!,21
2090,3597,Strat-O-Matic Hockey,21
2090,3685,Hammer of the Scots,21
2090,4286,A Game of Thrones Collectible Card Game,21
2090,4637,Max,21
2090,5718,Cranium Cariboo,21
2090,5749,Simon,21
2090,5825,Paris Paris,21
2090,6209,Mag·Blast (Second Edition),21
2090,6481,Ada's Library,21
2090,6541,Articulate!,21
2090,6779,The Ark of the Covenant,21
2090,6931,Katamino,21
2090,7062,Smarty Party!,21
2090,8222,Spank the Monkey,21
2090,10672,"Easy Come, Easy Go",21
2090,10997,Boomtown,21
2090,11231,Snorta!,21
2090,12750,1860: Railways on the Isle of Wight,21
2090,13122,Antiquity,21
2090,17027,Sitting Ducks Gallery,21
2090,19764,PÜNCT,21
2090,24827,Traders of Osaka,21
2090,25794,Axis & Allies: War at Sea,21
2090,26566,Homesteaders,21
2090,26990,Container,21
2090,28620,Phoenicia,21
2090,29937,König von Siam,21
2090,30957,Tribune: Primus Inter Pares,21
2090,31563,Middle-Earth Quest,21
2090,32048,Bobbin' Bumblebee,21
2090,32901,Prawo Dżungli,21
2090,34373,Tiki Topple,21
2090,36946,Red November,21
2090,37836,"Julius Caesar: Caesar, Pompey, and the Roman Civil War",21
2090,39351,Automobile,21
2090,42206,7 Ate 9,21
2090,43691,Delve: The Dice Game,21
2090,46807,Infinite City,21
2090,52328,Malifaux,21
2090,54138,Imperial 2030,21
2090,54307,Chronicle,21
2090,55705,Callisto: The Game,21
2090,60316,Moon Leap,21
2090,65901,Age of Industry,21
2090,66188,Fresco,21
2090,67823,Piou Piou,21
2090,75358,Paris Connection,21
2090,79073,Resident Evil Deck Building Game,21
2090,80771,Dungeon Raiders,21
2090,82168,Escape from the Aliens in Outer Space,21
2090,89910,"Run, Fight, or Die!",21
2090,90040,Pergamon,21
2090,90050,Eleminis,21
2090,99437,Rumble in the House,21
2090,103132,Rapa Nui,21
2090,103814,Streams,21
2090,112102,Pantolino,21
2090,118215,Würfelwurst,21
2090,118497,Trick of the Rails,21
2090,119866,Wings of Glory: WW1 Rules and Accessories Pack,21
2090,121041,Pluckin' Pairs,21
2090,123129,We Didn't Playtest This: Legacies,21
2090,123239,Wits & Wagers Party,21
2090,127784,Suspend,21
2090,129492,Bee Alert,21
2090,129731,DreadBall: The Futuristic Sports Game,21
2090,130006,Mini Kubb,21
2090,132532,"Here, Fishy, Fishy!",21
2090,137909,Bugs in the Kitchen,21
2090,137988,Zombicide Season 2: Prison Outbreak,21
2090,141517,A Study in Emerald,21
2090,142271,Anomia: Party Edition,21
2090,142334,Sushi Dice,21
2090,147370,Robot Turtles,21
2090,147537,Malifaux (Second Edition),21
2090,147790,Buccaneer Bones,21
2090,148641,Yōkaï no Mori,21
2090,155322,Hearts of AttrAction,21
2090,155708,Tiny Epic Defenders,21
2090,155731,Tokaido Collector's Edition,21
2090,156566,Lords of Xidit,21
2090,158243,Dragon Slayer,21
2090,159581,Maskmen,21
2090,160409,Too Many Cinderellas,21
2090,160669,Town Center (Fourth Edition),21
2090,163968,Elysium,21
2090,166158,Dark Tales,21
2090,171726,Project: ELITE,21
2090,172308,Broom Service,21
2090,175293,Trambahn,21
2090,178613,Star Trek: Five-Year Mission,21
2090,180564,Carcassonne: Star Wars,21
2090,184491,Spaceteam,21
2090,186659,Tiny Epic Galaxies: Deluxe Edition,21
2090,191231,Via Nebula,21
2090,191572,Animals on Board,21
2090,192834,Fight for Olympus,21
2090,192860,Oceanos,21
2090,193083,Kribbeln,21
2090,197097,Four Against Darkness,21
2090,205046,Capital Lux,21
2090,205867,Bohnanza: The Duel,21
2090,206803,Warsaw: City of Ruins,21
2090,213953,Pyramid Poker,21
2090,214491,Paku Paku,21
2090,216439,Trash Pandas,21
2090,218603,Photosynthesis,21
2090,222509,Lords of Hellas,21
2090,224272,Hellapagos,21
2090,224783,Vindication,21
2090,225244,Ticket to Ride: Germany,21
2090,228411,Iron Curtain,21
2090,230408,Monopoly Gamer,21
2090,232405,Western Legends,21
2090,237211,Valhalla,21
2090,241266,Little Town,21
2090,243435,Verflucht!,21
2090,245200,Heckmeck Deluxe,21
2090,246200,Piepmatz,21
2090,253759,Paint the Roses,21
2090,255674,Imhotep: The Duel,21
2090,257674,Vampire: The Masquerade – Heritage,21
2090,263155,One Key,21
2090,268504,Adventure Tactics: Domianne's Tower,21
2090,270233,Heul doch! Mau Mau,21
2090,270971,Era: Medieval Age,21
2090,272682,Expedition to Newdale,21
2090,276182,Dead Reckoning,21
2090,277025,Vampire: The Masquerade – CHAPTERS,21
2090,278554,Silver Bullet,21
2090,280453,Masters of Renaissance: Lorenzo il Magnifico – The Card Game,21
2090,281658,Hats,21
2090,282435,1882: Assiniboia,21
2090,283242,The Whatnot Cabinet,21
2090,284108,Pictures,21
2090,286062,Haiclue,21
2090,287607,The Mind Extreme,21
2090,291859,Riftforce,21
2090,293665,Ensemble,21
2090,295607,Canopy,21
2090,299151,Deck of Wonders,21
2090,305986,Sequoia,21
2090,314421,The Fuzzies,21
2090,321108,Riverside,21
2090,324914,Inside Job,21
2090,333055,Subastral,21
2090,335764,"Unmatched: Battle of Legends, Volume Two",21
2090,336847,Tyrants of the Underdark: Board Game,21
2090,338460,The Isle of Cats: Explore & Draw,21
2090,340364,Machi Koro 2,21
2090,341919,Magic Mountain,21
2090,342894,Mythic Mischief,21
2090,344258,That Time You Killed Me,21
2090,351540,Walkie Talkie,21
2090,352606,Naturopolis,21
2090,352697,Resist!,21
2264,28,Illuminati,20
2264,30,Dark Tower,20
2264,71,Civilization,20
2264,75,Falling,20
2264,132,Caesar & Cleopatra,20
2264,163,Balderdash,20
2264,228,Lunch Money,20
2264,237,Wooden Ships & Iron Men,20
2264,386,Pirateer,20
2264,420,Rail Baron,20
2264,424,1870: Railroading Across the Trans Mississippi from 1870,20
2264,434,Yucata',20
2264,589,Wiz-War,20
2264,700,Battle Masters,20
2264,715,Escape from Colditz,20
2264,798,Ace of Aces: Handy Rotary Series,20
2264,875,Roads & Boats,20
2264,939,Star Wars: The Queen's Gambit,20
2264,980,Al Cabohne,20
2264,987,Kingmaker,20
2264,1117,You're Bluffing!,20
2264,1218,Junior Labyrinth,20
2264,1275,221B Baker Street: The Master Detective Game,20
2264,1445,Canasta Caliente,20
2264,1459,Sharp Shooters,20
2264,1544,Beyond Balderdash,20
2264,1549,Password,20
2264,1561,Clue Master Detective,20
2264,1829,Risk 2210 A.D.,20
2264,2238,PanzerBlitz,20
2264,2578,Phase 10 Dice,20
2264,2639,Panzer Leader: Game of Tactical Warfare on the Western Front,20
2264,2679,Mouse Trap,20
2264,3228,Pueblo,20
2264,3727,Carla Cat,20
2264,3728,Ker Plunk,20
2264,3737,Operation,20
2264,3818,Alias,20
2264,3852,Star Trek Customizable Card Game,20
2264,4095,Star Munchkin,20
2264,4229,Spellfire,20
2264,4934,Battling Tops,20
2264,5339,Monopoly Junior,20
2264,5588,Perfection,20
2264,5737,Domaine,20
2264,6366,Dungeons & Dragons: The Fantasy Adventure Board Game,20
2264,7098,Monopoly: Deluxe Edition,20
2264,7290,Dynasty League Baseball,20
2264,8817,Call of Cthulhu: Collectible Card Game,20
2264,10502,Poker Dice,20
2264,10681,Apples to Apples Junior,20
2264,12826,Tumblin' Monkeys,20
2264,13084,Volcano,20
2264,13172,Kung Fu Fighting,20
2264,14035,Piranha Pedro,20
2264,14038,Anachronism,20
2264,15712,Egyptian Ratscrew,20
2264,20551,Shogun,20
2264,21389,Happy Families,20
2264,21441,Mykerinos,20
2264,22847,Connect6,20
2264,24703,Heroscape Marvel: The Conflict Begins,20
2264,24947,The Spoils,20
2264,27976,Heroscape Master Set: Swarm of the Marro,20
2264,37301,Decktet,20
2264,39534,Paper Safari,20
2264,39684,Merkator,20
2264,39872,Guess Who? Extra,20
2264,40107,"Soviet Dawn: The Russian Civil War, 1918-1921",20
2264,40760,Alea Iacta Est,20
2264,41493,Yamslam,20
2264,41636,Abandon Ship,20
2264,41933,Arctic Scavengers,20
2264,46396,Ubongo 3D,20
2264,50750,Belfort,20
2264,50768,Ninjato,20
2264,50849,Le Boomb!,20
2264,55601,Sneaks & Snitches,20
2264,57925,Havana,20
2264,63539,Lupus in Tabula,20
2264,65515,Nuns on the Run,20
2264,70512,Luna,20
2264,71074,Expedition: Northwest Passage,20
2264,80006,Mord im Arosa,20
2264,85250,The Dwarf King,20
2264,88126,Time's Up! Family,20
2264,94483,Hoot Owl Hoot!,20
2264,96913,Lancaster,20
2264,101020,PAX,20
2264,116858,Noah,20
2264,118705,Ghost Blitz 2,20
2264,119506,Freedom: The Underground Railroad,20
2264,119637,Zug um Zug: Deutschland,20
2264,120269,Red White & Blue Racin': Stock Car Action Game,20
2264,124052,Cinque Terre,20
2264,128996,1775: Rebellion,20
2264,129091,Trainmaker,20
2264,129459,Duel of Ages II,20
2264,129614,Rondo,20
2264,129946,AttrAction,20
2264,130592,Clue,20
2264,131904,Heart of Crown,20
2264,134150,Mini Curling Game,20
2264,136192,Dungeon Dice,20
2264,143075,Luchador! Mexican Wrestling Dice,20
2264,144529,Theseus: The Dark Orbit,20
2264,145633,Ascension: Apprentice Edition,20
2264,147305,Om Nom Nom,20
2264,147930,King & Assassins,20
2264,148532,Ghost Blitz: 5 to 12,20
2264,148767,Brandon the Brave,20
2264,151835,Qwixx Card Game,20
2264,153507,Terra,20
2264,154386,Medieval Academy,20
2264,154634,Yardmaster,20
2264,156266,Apex Theropod Deck-Building Game,20
2264,156858,Black Orchestra,20
2264,159508,AquaSphere,20
2264,161547,Timeline: Americana,20
2264,161773,Little Cooperation,20
2264,163370,Carcassonne: Gold Rush,20
2264,166109,Meteor,20
2264,170416,Vast: The Crystal Caverns,20
2264,170969,Gigamons,20
2264,172235,Schrödinger's Cats,20
2264,173064,Leaving Earth,20
2264,174226,Arctic Scavengers: Base Game+HQ+Recon,20
2264,174660,New York 1901,20
2264,175755,The Lord of the Rings: Journey to Mordor,20
2264,175861,Meow,20
2264,178336,World's Fair 1893,20
2264,179572,Dice City,20
2264,179803,Arcadia Quest: Inferno,20
2264,181325,Completto,20
2264,183896,Firefly Fluxx,20
2264,184842,Catan Junior,20
2264,185374,Loot N Run,20
2264,186567,Baseball Highlights: 2045 – Super Deluxe Edition,20
2264,190082,Whitehall Mystery,20
2264,191071,Mino Dice,20
2264,193867,1822: The Railways of Great Britain,20
2264,195043,Welcome Back to the Dungeon,20
2264,195162,Plague Inc.: The Board Game,20
2264,195539,The Godfather: Corleone's Empire,20
2264,200785,Legendary Inventors,20
2264,200954,Fields of Green,20
2264,202737,Are You Dumber Than a Box of Rocks?,20
2264,205420,Gooseberry,20
2264,207242,Pentaquark,20
2264,208024,The Reckoners,20
2264,211364,Seize the Bean,20
2264,214000,In the Year of the Dragon: 10th Anniversary,20
2264,215371,CrossTalk,20
2264,218314,3 Secrets,20
2264,218920,Valletta,20
2264,224904,Sunset Over Water,20
2264,225167,Human Punishment: Social Deduction 2.0,20
2264,225729,Arkham Noir: Case #1 – The Witch Cult Murders,20
2264,228341,Pulsar 2849,20
2264,230200,Overbooked,20
2264,230933,Merlin,20
2264,231824,Blank,20
2264,232353,Costume Party Detective,20
2264,233247,Civilization: A New Dawn,20
2264,234669,Legacy of Dragonholt,20
2264,234931,Star Wars: Destiny – Two-Player Game,20
2264,238656,Tiny Epic Defenders (Second Edition),20
2264,239840,Micropolis,20
2264,240567,Chocolate Factory,20
2264,243538,Goblivion,20
2264,244331,Blue Lagoon,20
2264,244513,ICECOOL2,20
2264,245446,Nimble,20
2264,246639,Patchwork Express,20
2264,247342,Village Pillage,20
2264,248005,Ganymede,20
2264,249821,Codenames: Harry Potter,20
2264,250442,Crypt,20
2264,252153,Tang Garden,20
2264,252526,Pictomania (Second Edition),20
2264,255924,Snowdonia: Deluxe Master Set,20
2264,256680,Return to Dark Tower,20
2264,257732,Pax Transhumanity,20
2264,257733,Fine Sand,20
2264,258437,Bukiet,20
2264,258444,Gingerbread House,20
2264,260316,Art Decko,20
2264,264991,Par Odin,20
2264,269069,Pearls,20
2264,269573,Dracarys Dice,20
2264,269618,Crystallo,20
2264,269752,Noctiluca,20
2264,270847,Set & Match,20
2264,274638,Unmatched: Robin Hood vs. Bigfoot,20
2264,276498,Paris: La Cité de la Lumière,20
2264,279254,Ecos: First Continent,20
2264,280136,Paranormal Detectives,20
2264,280789,Pandemic: Rapid Response,20
2264,283135,Magic Maze on Mars,20
2264,283317,The 7th Continent: Classic Edition,20
2264,283393,Aquatica,20
2264,295490,Dodo,20
2264,295948,Aqualin,20
2264,300327,The Castles of Tuscany,20
2264,300930,Schotten Totten 2,20
2264,309862,Gudetama: The Tricky Egg Card Game,20
2264,318009,Dinosaur Island: Rawr 'n Write,20
2264,319966,The King Is Dead: Second Edition,20
2264,326494,The Adventures of Robin Hood,20
2264,331571,My Gold Mine,20
2264,336755,King of Tokyo: Monster Box,20
2264,337784,Number Drop,20
2264,344341,SolForge Fusion,20
2264,344697,"Warhammer 40,000: Kill Team",20
2264,347137,Chronicles of Avel,20
2264,371942,The White Castle,20
2264,379110,SETUP,20
2481,44,David & Goliath,19
2481,108,TAMSK,19
2481,115,I'm the Boss!,19
2481,165,Black Box,19
2481,176,Give Me the Brain!,19
2481,182,Knights of Charlemagne,19
2481,192,Nicht die Bohne!,19
2481,380,Polarity,19
2481,442,Um Reifenbreite,19
2481,533,Labyrinth: The Card Game,19
2481,748,Trax,19
2481,834,Chronology,19
2481,869,Bongo!,19
2481,902,Meuterer,19
2481,1037,Deadlands: Doomtown,19
2481,1194,Speed Circuit,19
2481,1452,Mhing,19
2481,1484,Clue: The Great Museum Caper,19
2481,1644,Tipp-Kick,19
2481,1799,Warlord: Saga of the Storm,19
2481,1897,The Starfarers of Catan,19
2481,1950,The Mysteries of Peking,19
2481,2399,Senet,19
2481,2922,Chairs,19
2481,3243,Wooly Wars,19
2481,3337,Double Down,19
2481,3452,Emerald,19
2481,3475,Shadowfist,19
2481,3804,Slamwich,19
2481,3845,Yahtzee Jr.,19
2481,4616,Arimaa,19
2481,5314,Hangman,19
2481,5534,Light Speed,19
2481,6137,Drive,19
2481,6546,Labyrinth,19
2481,6795,Battleball,19
2481,8668,Igloo Pop,19
2481,10640,Doom: The Boardgame,19
2481,10659,Hex Hex,19
2481,11028,Lotto,19
2481,11945,Linq,19
2481,12891,Friedrich,19
2481,16035,Cranium Whoonu,19
2481,18333,Nature Fluxx,19
