rank,bgg_id,name,g_index
166,269385,The Lord of the Rings: Journeys in Middle-Earth,72
172,2394,Dominoes,71
172,4390,Carcassonne: Hunters and Gatherers,71
172,38453,Space Alert,71
175,17053,Sleeping Queens,70
175,21804,Traditional Card Games,70
175,117663,Piraten Kapern,70
175,150145,Skull King,70
175,154597,Hive Pocket,70
175,160477,Onitama,70
181,12,Ra,69
181,8098,Jungle Speed,69
181,25669,Qwirkle,69
181,28720,Brass: Lancashire,69
181,40692,Small World,69
181,271320,The Castles of Burgundy,69
181,295770,Frosthaven,69
181,295947,Cascadia,69
189,372,Schotten Totten,68
189,2651,Power Grid,68
189,15987,Arkham Horror,68
189,27225,Bananagrams,68
189,199042,Harry Potter: Hogwarts Battle,68
189,203430,Fuji Flush,68
189,252328,Star Wars: X-Wing (Second Edition),68
189,256589,Rallyman: GT,68
197,258,Fluxx,67
197,2375,Sequence,67
197,19857,Glory to Rome,67
197,356123,Turing Machine,67
201,42,Tigris & Euphrates,66
201,8203,"Hey, That's My Fish!",66
201,113294,Escape: The Curse of the Temple,66
201,143741,BANG! The Dice Game,66
201,217449,NMBR 9,66
201,295486,My City,66
207,681,Quarto,65
207,15985,Blood Bowl: Living Rulebook,65
207,16992,Tsuro,65
207,39953,A Game of Thrones: The Card Game,65
207,182874,Grand Austria Hotel,65
207,193738,Great Western Trail,65
207,209778,Magic Maze,65
207,246761,Cahoots,65
215,11170,Heroscape Master Set: Rise of the Valkyrie,64
215,66171,Dragonheart,64
215,96848,Mage Knight Board Game,64
215,104162,Descent: Journeys in the Dark (Second Edition),64
215,126163,Tzolk'in: The Mayan Calendar,64
215,246192,Gizmos,64
215,274637,"Unmatched: Battle of Legends, Volume One",64
215,284435,Nova Luna,64
215,295564,Unmatched Game System,64
215,307002,Regicide,64
225,21050,Combat Commander: Europe,63
225,37111,Battlestar Galactica: The Board Game,63
225,92415,Skull,63
225,123540,Tokaido,63
225,177736,A Feast for Odin,63
225,194607,Mystic Vale,63
225,239464,Palm Island,63
225,249259,War Chest,63
225,316546,Clever Cubed,63
225,349067,The Lord of the Rings: The Card Game – Revised Core Set,63
235,4154,Yu-Gi-Oh! Trading Card Game,62
235,58281,Summoner Wars,62
235,171623,The Voyages of Marco Polo,62
235,274960,Point Salad,62
239,1269,Skip-Bo,61
239,13823,Fairy Tale,61
239,34219,Biblios,61
239,37046,Ghost Stories,61
239,53953,Thunderstone,61
239,125678,DC Deck-Building Game,61
239,154203,Imperial Settlers,61
239,171273,FUSE,61
239,329839,So Clover!,61
248,16747,Tumblin' Dice,60
248,21632,To Court the King,60
248,23953,Outside the Scope of BGG,60
248,27173,Vikings,60
248,93260,Summoner Wars: Master Set,60
248,117959,Las Vegas,60
248,146021,Eldritch Horror,60
248,148575,Marvel Dice Masters: Avengers vs. X-Men,60
248,192291,Sushi Go Party!,60
248,198773,Codenames: Pictures,60
248,316554,Dune: Imperium,60
259,150,PitchCar,59
259,925,Werewolf,59
259,2251,Strat-O-Matic Baseball,59
259,9446,Blue Moon,59
259,39463,Cosmic Encounter,59
259,122522,Smash Up,59
259,145639,Coconuts,59
259,209685,Century: Spice Road,59
259,244521,The Quacks of Quedlinburg,59
268,19100,Hacienda,58
268,31497,Oregon,58
268,39856,Dixit,58
268,118048,Targi,58
268,144733,Russian Railroads,58
268,153065,Linko,58
268,158600,Hanamikoji,58
268,215311,Downforce,58
268,244115,Shards of Infinity,58
277,624,Quoridor,57
277,943,Ligretto,57
277,1198,SET,57
277,3837,Rat-a-Tat Cat,57
277,15878,Rummy,57
277,17329,Animal Upon Animal,57
277,25821,The Werewolves of Miller's Hollow,57
277,100423,Elder Sign,57
277,206051,Insider,57
277,316377,7 Wonders (Second Edition),57
277,359970,Challengers!,57
288,2448,Kalah,56
288,9441,Ribbit,56
288,11901,Tic-Tac-Toe,56
288,31481,Galaxy Trucker,56
288,35677,Le Havre,56
288,103649,The City,56
288,143884,Machi Koro,56
288,156129,Deception: Murder in Hong Kong,56
288,172225,Exploding Kittens,56
288,180263,The 7th Continent,56
288,184151,Legend of the Five Rings: The Card Game,56
288,201808,Clank!: A Deck-Building Adventure,56
288,230253,Star Realms: Frontiers,56
288,246228,Impact: Battle of Elements,56
288,276042,Conspiracy: Abyss Universe,56
288,281259,The Isle of Cats,56
288,283864,Trails of Tucana,56
288,300753,Cross Clues,56
288,369646,Disney Lorcana,56
307,592,Spades,55
307,929,The Great Dalmuti,55
307,1917,Stratego,55
307,2453,Blokus,55
307,2842,TransAmerica,55
307,31627,Ticket to Ride: Nordic Countries,55
307,38159,Ultimate Werewolf: Ultimate Edition,55
307,46213,Telestrations,55
307,121921,Robinson Crusoe: Adventures on the Cursed Island,55
307,149155,Dead Man's Draw: Captain Carcass,55
307,155426,Castles of Mad King Ludwig,55
307,183006,Qwinto,55
307,183394,Viticulture Essential Edition,55
307,183571,Deep Space D-6,55
307,192135,Too Many Bones,55
307,199478,Flamme Rouge,55
307,245422,Werewords Deluxe Edition,55
324,4098,Age of Steam,54
324,4192,Warhammer: The Mass Combat Fantasy Roleplaying Game (1st Edition),54
324,9220,Saboteur,54
324,11971,Cockroach Poker,54
324,18602,Caylus,54
324,100901,Flash Point: Fire Rescue,54
324,171499,Cacao,54
324,179275,One Deck Dungeon,54
324,182631,Star Realms: Colony Wars,54
324,217547,Can't Stop Express,54
324,256952,Zombie Kidz Evolution,54
324,317985,Beyond the Sun,54
336,51,Ricochet Robots,53
336,116,Guillotine,53
336,478,Citadels,53
336,1295,Pente,53
336,2389,Othello,53
336,24508,Taluva,53
336,25574,Gin Rummy,53
336,91536,Quarriors!,53
336,95064,Ascension: Return of the Fallen,53
