bgg_id,name,rank_h_index,h_index,rank_g_index,g_index
203430,Fuji Flush,189,68,277,99
199042,Harry Potter: Hogwarts Battle,189,68,299,95
15987,Arkham Horror,189,68,308,94
2375,Sequence,197,67,226,111
258,Fluxx,197,67,255,104
19857,Glory to Rome,197,67,293,96
356123,Turing Machine,197,67,299,95
42,Tigris & Euphrates,201,66,247,106
217449,NMBR 9,201,66,269,101
143741,BANG! The Dice Game,201,66,286,97
8203,"Hey, That's My Fish!",201,66,328,91
113294,Escape: The Curse of the Temple,201,66,344,89
295486,My City,201,66,382,84
15985,Blood Bowl: Living Rulebook,207,65,26,350
39953,A Game of Thrones: The Card Game,207,65,169,127
246761,Cahoots,207,65,235,109
681,Quarto,207,65,238,108
182874,Grand Austria Hotel,207,65,250,105
16992,Tsuro,207,65,260,103
193738,Great Western Trail,207,65,308,94
209778,Magic Maze,207,65,416,81
66171,Dragonheart,215,64,216,114
11170,Heroscape Master Set: Rise of the Valkyrie,215,64,222,113
307002,Regicide,215,64,247,106
246192,Gizmos,215,64,250,105
284435,Nova Luna,215,64,260,103
274637,"Unmatched: Battle of Legends, Volume One",215,64,274,100
295564,Unmatched Game System,215,64,274,100
96848,Mage Knight Board Game,215,64,320,92
126163,Tzolk'in: The Mayan Calendar,215,64,337,90
104162,Descent: Journeys in the Dark (Second Edition),215,64,416,81
194607,Mystic Vale,225,63,198,117
249259,War Chest,225,63,198,117
37111,Battlestar Galactica: The Board Game,225,63,208,115
123540,Tokaido,225,63,208,115
177736,A Feast for Odin,225,63,208,115
239464,Palm Island,225,63,216,114
349067,The Lord of the Rings: The Card Game – Revised Core Set,225,63,281,98
21050,Combat Commander: Europe,225,63,293,96
316546,Clever Cubed,225,63,299,95
92415,Skull,225,63,434,79
4154,Yu-Gi-Oh! Trading Card Game,235,62,18,617
58281,Summoner Wars,235,62,202,116
171623,The Voyages of Marco Polo,235,62,320,92
274960,Point Salad,235,62,405,82
1269,Skip-Bo,239,61,185,120
53953,Thunderstone,239,61,260,103
37046,Ghost Stories,239,61,308,94
125678,DC Deck-Building Game,239,61,308,94
171273,FUSE,239,61,344,89
329839,So Clover!,239,61,352,88
13823,Fairy Tale,239,61,356,87
154203,Imperial Settlers,239,61,356,87
34219,Biblios,239,61,371,85
23953,Outside the Scope of BGG,248,60,13,929
93260,Summoner Wars: Master Set,248,60,238,108
21632,To Court the King,248,60,255,104
27173,Vikings,248,60,281,98
148575,Marvel Dice Masters: Avengers vs. X-Men,248,60,286,97
16747,Tumblin' Dice,248,60,337,90
316554,Dune: Imperium,248,60,344,89
146021,Eldritch Horror,248,60,364,86
192291,Sushi Go Party!,248,60,382,84
198773,Codenames: Pictures,248,60,416,81
117959,Las Vegas,248,60,467,77
2251,Strat-O-Matic Baseball,259,59,68,195
925,Werewolf,259,59,216,114
9446,Blue Moon,259,59,238,108
122522,Smash Up,259,59,299,95
39463,Cosmic Encounter,259,59,352,88
150,PitchCar,259,59,405,82
209685,Century: Spice Road,259,59,416,81
145639,Coconuts,259,59,426,80
244521,The Quacks of Quedlinburg,259,59,491,75
19100,Hacienda,268,58,145,138
244115,Shards of Infinity,268,58,177,124
31497,Oregon,268,58,265,102
118048,Targi,268,58,299,95
153065,Linko,268,58,320,92
144733,Russian Railroads,268,58,371,85
215311,Downforce,268,58,371,85
39856,Dixit,268,58,392,83
158600,Hanamikoji,268,58,405,82
624,Quoridor,277,57,4,5224
1198,SET,277,57,127,150
15878,Rummy,277,57,208,115
943,Ligretto,277,57,222,113
316377,7 Wonders (Second Edition),277,57,286,97
25821,The Werewolves of Miller's Hollow,277,57,299,95
359970,Challengers!,277,57,328,91
3837,Rat-a-Tat Cat,277,57,364,86
100423,Elder Sign,277,57,392,83
206051,Insider,277,57,480,76
17329,Animal Upon Animal,277,57,491,75
35677,Le Havre,288,56,137,144
11901,Tic-Tac-Toe,288,56,172,126
184151,Legend of the Five Rings: The Card Game,288,56,286,97
369646,Disney Lorcana,288,56,293,96
230253,Star Realms: Frontiers,288,56,308,94
276042,Conspiracy: Abyss Universe,288,56,315,93
246228,Impact: Battle of Elements,288,56,328,91
31481,Galaxy Trucker,288,56,337,90
281259,The Isle of Cats,288,56,344,89
103649,The City,288,56,352,88
2448,Kalah,288,56,364,86
172225,Exploding Kittens,288,56,364,86
201808,Clank!: A Deck-Building Adventure,288,56,426,80
9441,Ribbit,288,56,434,79
300753,Cross Clues,288,56,448,78
283864,Trails of Tucana,288,56,467,77
143884,Machi Koro,288,56,519,73
180263,The 7th Continent,288,56,567,70
156129,Deception: Murder in Hong Kong,288,56,628,66
592,Spades,307,55,130,149
2842,TransAmerica,307,55,202,116
183571,Deep Space D-6,307,55,260,103
1917,Stratego,307,55,286,97
155426,Castles of Mad King Ludwig,307,55,320,92
183006,Qwinto,307,55,337,90
929,The Great Dalmuti,307,55,371,85
31627,Ticket to Ride: Nordic Countries,307,55,371,85
38159,Ultimate Werewolf: Ultimate Edition,307,55,382,84
2453,Blokus,307,55,392,83
149155,Dead Man's Draw: Captain Carcass,307,55,434,79
183394,Viticulture Essential Edition,307,55,434,79
245422,Werewords Deluxe Edition,307,55,448,78
192135,Too Many Bones,307,55,467,77
199478,Flamme Rouge,307,55,508,74
121921,Robinson Crusoe: Adventures on the Cursed Island,307,55,550,71
46213,Telestrations,307,55,567,70
18602,Caylus,324,54,226,111
182631,Star Realms: Colony Wars,324,54,235,109
4192,Warhammer: The Mass Combat Fantasy Roleplaying Game (1st Edition),324,54,250,105
9220,Saboteur,324,54,328,91
217547,Can't Stop Express,324,54,344,89
317985,Beyond the Sun,324,54,405,82
179275,One Deck Dungeon,324,54,426,80
4098,Age of Steam,324,54,434,79
171499,Cacao,324,54,491,75
11971,Cockroach Poker,324,54,533,72
100901,Flash Point: Fire Rescue,324,54,533,72
256952,Zombie Kidz Evolution,324,54,613,67
95064,Ascension: Return of the Fallen,336,53,111,158
2389,Othello,336,53,130,149
1295,Pente,336,53,250,105
153623,Limes,336,53,308,94
116,Guillotine,336,53,315,93
25574,Gin Rummy,336,53,328,91
329873,Grove: A 9 card solitaire game,336,53,344,89
51,Ricochet Robots,336,53,434,79
478,Citadels,336,53,448,78
157809,Nations: The Dice Game,336,53,448,78
283155,Calico,336,53,448,78
148949,Istanbul,336,53,467,77
152237,Pairs,336,53,467,77
24508,Taluva,336,53,480,76
91536,Quarriors!,336,53,491,75
150658,Pandemic: The Cure,336,53,519,73
712,Blood Bowl (Third Edition),352,52,149,135
3439,HeroClix,352,52,202,116
124361,Concordia,352,52,202,116
2122,Vampire: The Eternal Struggle,352,52,208,115
1116,Oh Hell!,352,52,247,106
1927,Munchkin,352,52,281,98
267378,Chakra,352,52,281,98
5404,Amun-Re,352,52,293,96
175199,Mottainai,352,52,293,96
73439,Troyes,352,52,328,91
24068,Shadow Hunters,352,52,371,85
277085,Love Letter,352,52,392,83
146652,Legendary Encounters: An Alien Deck Building Game,352,52,434,79
224517,Brass: Birmingham,352,52,448,78
268201,Dice Throne,352,52,448,78
134253,Hostage Negotiator,352,52,533,72
41302,First Orchard,352,52,550,71
161936,Pandemic Legacy: Season 1,352,52,567,70
264220,Tainted Grail: The Fall of Avalon,352,52,641,65
4143,Guess Who?,371,51,7,3337
38318,Start Player,371,51,224,112
195314,Herbaceous,371,51,231,110
200680,Agricola (Revised Edition),371,51,320,92
21763,Mr. Jack,371,51,364,86
699,HeroQuest,371,51,426,80
198740,Lovecraft Letter,371,51,467,77
135382,Shadowrun: Crossfire,371,51,491,75
65244,Forbidden Island,371,51,519,73
151007,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,371,51,519,73
251678,Railroad Ink: Blazing Red Edition,371,51,533,72
117942,Zooloretto: The Dice Game,371,51,550,71
229853,Teotihuacan: City of Gods,371,51,550,71
231733,Obsession,371,51,550,71
337,Circus Flohcati,371,51,585,69
247763,Underwater Cities,371,51,601,68
91514,Rhino Hero,371,51,641,65
169427,Middara: Unintentional Malum – Act 1,371,51,661,64
6819,Skat,389,50,109,160
108784,Ascension: Storm of Souls,389,50,126,151
2392,Mastermind,389,50,169,127
2136,Pachisi,389,50,226,111
25554,Notre Dame,389,50,308,94
43022,Yomi,389,50,315,93
2452,Jenga,389,50,320,92
156776,"Warhammer 40,000: Conquest",389,50,337,90
98,Axis & Allies,389,50,356,87
5716,Balloon Cup,389,50,356,87
