rank_h_index,h_index,rank_g_index,g_index,bgg_user_name
362,39,1034,60,raffertya
362,39,1109,59,chelseasquare
362,39,1109,59,ingenes
362,39,1109,59,mattnmanda
362,39,1202,58,brettspielhabicht
362,39,1202,58,jonbob
362,39,1276,57,asta
362,39,1276,57,fender1499
362,39,1276,57,joshstar
362,39,1276,57,kayfree31
362,39,1276,57,sammysnijbonen
362,39,1276,57,sixstrings4one
362,39,1362,56,herebebooks
362,39,1362,56,psson73
362,39,1459,55,cherksken
362,39,1459,55,crowchaser
362,39,1568,54,klaun86
362,39,1906,51,kristabelle
362,39,2204,49,joergboerg
422,38,12,205,knapicrllr
422,38,68,114,buhaj
422,38,127,100,surfitch
422,38,136,98,bretai70
422,38,161,94,mkwg
422,38,273,83,ooogene
422,38,326,79,shobi6669
422,38,326,79,tubarush
422,38,340,78,pgrande
422,38,390,76,darkfinale
422,38,390,76,hebus
422,38,390,76,pilgrim152
422,38,438,74,ardacho
422,38,438,74,dawgfish
422,38,493,72,kalchio
422,38,522,71,stuclifford
422,38,559,70,ummmon
422,38,623,68,nimble123jack
422,38,696,66,friendless
422,38,696,66,stevek2
422,38,696,66,topheth
422,38,741,65,bigmac33070
422,38,741,65,cardboard conundrum
422,38,741,65,mycophagous
422,38,787,64,4rch3r
422,38,787,64,morinio
422,38,787,64,scottcoody
422,38,787,64,sphere
422,38,787,64,weishaupt
422,38,843,63,artb
422,38,843,63,fritz morgan
422,38,843,63,spiderman_
422,38,843,63,xelforp
422,38,914,62,mikemcdasl
422,38,970,61,himmelvis
422,38,970,61,nkerensky
422,38,1034,60,esparver73
422,38,1034,60,marticabre
422,38,1034,60,verdelak
422,38,1109,59,b1sti
422,38,1276,57,madcapmartini
422,38,1362,56,boardgamemamasaurus
422,38,1362,56,jeroen14014
422,38,1362,56,kesulin
422,38,1459,55,theimp
422,38,1459,55,torsten
422,38,1568,54,saremie
422,38,2053,50,fehrmeister
422,38,2053,50,shingj
422,38,2969,45,erfuga
472,37,110,103,dooz
472,37,155,95,hecose
472,37,273,83,taoteo
472,37,298,81,airzonk1
472,37,298,81,machiavelli
472,37,326,79,ralpheous
472,37,340,78,bankler
472,37,361,77,cooking_meeple
472,37,390,76,cthsbg
472,37,413,75,carltonwayne
472,37,413,75,ct5150
