rank,bgg_user_name,g_index
787,b0ardgamer,64
787,blowncover,64
787,brettspieletreff,64
787,carcolo,64
787,cheeseviking,64
787,ciderbandit,64
787,coloringbooks,64
787,cotteux,64
787,doctorgreco69,64
787,dubiouscraft,64
787,fscrazymouse,64
787,geneze_cb,64
787,isandlwana,64
787,iskarioth44,64
787,kr4mp3,64
787,ksuquix,64
787,legothos,64
787,lifesgood14,64
787,mdr69,64
787,meltorefas,64
787,michiel,64
787,moffnathan,64
787,momov,64
787,morinio,64
787,msaya,64
787,murphzone,64
787,nexus roy,64
787,nezade,64
787,nocturnalallen,64
787,onesones,64
787,panoramabeats,64
787,peacmyer,64
787,pedrog,64
787,phil68,64
787,pizzachip,64
787,prestidigitador,64
787,quilzar,64
787,qwertymartin,64
787,ringworm,64
787,rlangewi,64
787,scottcoody,64
787,sdrewthomson,64
787,seramanda,64
787,sphere,64
787,stfrantic,64
787,tallboy,64
787,thip,64
787,thunkd,64
787,troubular,64
787,twiznessasusual,64
787,ukraineboo,64
787,weishaupt,64
787,wtultc,64
787,xaif,64
787,zaki,64
843,arseny_vasily,63
843,artb,63
843,bebbs,63
843,bigred92,63
843,bixby,63
843,bresandor,63
843,camax,63
843,carnage994,63
843,charlymorgoth,63
843,claesar_,63
843,cyol,63
843,diox28010,63
843,dominionfamily,63
843,elbobo,63
843,eluvitar,63
843,ethy21,63
843,facsantos,63
843,ferret33,63
843,fridleiffaehn,63
843,fritz morgan,63
843,galion,63
843,grantf,63
843,happyjosiah,63
843,hiko seijuro,63
843,hyperbolegrant,63
843,immaterial,63
843,infamousdiplomat,63
843,itus,63
843,jakinney,63
843,jappie2005,63
843,jbkennedy,63
843,jeffwolfe,63
843,joelamer,63
843,junesen,63
843,kaichi,63
843,khmelyok,63
843,kldonnelly,63
843,ktprymus,63
843,lachendr0,63
843,ljtrigirl,63
843,magic_erwt,63
843,marcosimona,63
843,marisa_cherry,63
843,minneem,63
843,mrmiyagi,63
843,msmilder,63
843,nubis86,63
843,ostry,63
843,partino,63
843,princeofparsnips,63
843,rahayes413,63
843,rahmich,63
843,rainydaysteve,63
843,ralphnanco,63
843,ravensson,63
843,razzmonid,63
843,sefrite,63
843,sineadk,63
843,spiderman_,63
843,sternenfahrer-muc,63
843,stratonifler,63
843,szutek,63
843,tacox01,63
843,thorphas,63
843,tvrnutter,63
843,vincentdarlage,63
843,viszla,63
843,xelforp,63
843,yokiboy,63
843,zefquaavius,63
843,zioombel,63
914,adamp,62
914,arah,62
914,arges92,62
914,birdbolter,62
914,boardmathias,62
914,boxoftricks_13,62
914,bryanldoughty,62
914,brygmann17,62
914,corylovec14,62
914,csibu,62
914,curtish,62
914,danwojciechowski,62
914,dasdimmo,62
914,dreno3,62
914,gaujoy,62
914,goatcabin,62
914,goodaman,62
914,gos314,62
914,grasa_total,62
914,hartyfarty,62
914,hgtonight,62
914,hiperlink,62
914,howez92,62
914,iglesias,62
914,ipnotistis,62
914,jacksbrains,62
914,katarakt,62
914,lacxox,62
914,lillebror666,62
914,lolcese,62
914,ludomania,62
914,mikemcdasl,62
914,mistefire,62
914,mrguitou,62
914,mrlew507,62
914,neutrinos,62
914,nickster1970,62
914,no_where_dense,62
914,painter3331,62
914,pericles1958,62
914,phil4477,62
914,pisecobabe,62
914,qzhdad,62
914,repna,62
914,rgtft,62
914,robc186,62
914,rynelf,62
914,schwen,62
914,sebsring,62
914,settlerdave,62
914,stonecutter13,62
914,tamn,62
914,tempestblade,62
914,thehunter,62
914,twinge,62
914,wrecktang1e,62
970,alyniana,61
970,austinhaws,61
970,bill21642,61
970,bitforbit,61
970,bobdodgerblue,61
970,bryantdean,61
970,bumpusth,61
970,celiborn,61
970,chadgibbons,61
970,chambarj,61
970,chizcw,61
970,chrb,61
970,crimsondawn,61
970,cunningallusionment,61
970,darthnice,61
970,dorakeen,61
970,elbek,61
970,emperorhand,61
970,exoow,61
970,farmeriusz,61
970,fitzyfitz,61
970,flashshadow69,61
970,flpii,61
970,gamerl3,61
970,greglios,61
970,gregoriusvg,61
970,harveth,61
970,himmelvis,61
970,jaimeocampo,61
970,jamesed84,61
970,janms,61
970,kamaitatchi,61
970,kinga1965,61
970,kingofthegrill,61
970,legendary,61
970,lilalaune,61
970,ludosophicus,61
970,mabby,61
970,mapleleafbc,61
970,metdick,61
970,mlaust10,61
970,molmo,61
970,neolithium,61
970,nkerensky,61
970,ottobre31,61
970,pcacavas,61
970,poor yorick,61
970,pyr-shep,61
970,rapires,61
970,rukus77,61
970,rygel,61
970,sander sijssens,61
970,sirhandsome,61
970,sobo,61
970,squeezel,61
970,stoffey,61
970,strikerj70,61
970,uglywithglasses,61
970,w eric martin,61
970,warlock000,61
970,whiteboy,61
970,willymagic,61
970,yourloveonly,61
970,zenfun,61
1034,1nf1n1ty,60
1034,afaroca,60
1034,agn1964,60
1034,andreman,60
1034,arod324,60
1034,benzebub,60
1034,bigdaddy88,60
1034,butterfly0038,60
1034,cameronwlucas,60
1034,challahback252,60
1034,cjharris30,60
1034,ckruns624,60
1034,count von luckner,60
1034,darkbanan,60
1034,dd gamer,60
1034,dragonster,60
1034,esparver73,60
1034,frothy brew,60
1034,gamerforgod,60
1034,greenlotus284,60
1034,hairypotter,60
1034,hamsteroffury,60
1034,jer29thirteen,60
1034,jfkziegler,60
1034,jharper921,60
1034,johnclark,60
1034,kbkuno,60
1034,kdsz,60
1034,kerbster76,60
1034,keys12345,60
1034,kingmanzoo,60
1034,kocos,60
1034,lamarquise,60
1034,lieds0127,60
1034,ljde70,60
1034,longhunter,60
1034,magicsam,60
1034,maltmanj,60
1034,mamadallama,60
1034,mantheron,60
1034,marticabre,60
1034,matar9000,60
1034,meyesme,60
1034,mike george,60
1034,milan2014,60
1034,molnar,60
1034,muscatgummy,60
1034,nebyeh,60
1034,normandywept,60
1034,octavian,60
1034,ousgg,60
1034,papasmerv,60
1034,pasvik,60
1034,progknight,60
1034,rabk,60
1034,raffertya,60
1034,randomguykyle,60
1034,readyplayer4,60
1034,sahilrhapar,60
1034,sicktag,60
1034,snowhive,60
1034,songlian,60
1034,stratagon,60
1034,styates,60
1034,supergls,60
1034,takada,60
1034,tawnos76,60
1034,theotherring,60
1034,thezooz,60
1034,tinweasel,60
1034,verdelak,60
1034,visard,60
1034,waltzingfox,60
1034,wwwebb,60
1034,yid0,60
1109,100pcblade,59
1109,40thann,59
1109,aaandrew152,59
1109,abhaan,59
1109,aleksi_ahtiainen,59
1109,andarel,59
1109,atos25,59
1109,b factor,59
1109,b1sti,59
1109,balint77,59
1109,bashmore53,59
1109,bbatl77,59
1109,blurrblur,59
1109,boardgamejeff,59
1109,boy_314,59
1109,bpovis,59
1109,canadianwytewolf,59
1109,chahta,59
1109,chelseasquare,59
1109,da pyrate,59
1109,daccic,59
1109,daleygamer,59
1109,davidallves,59
1109,dralius,59
