country_code,population,population_rank,num_users,total_ratings,total_ratings_rank,ratings_per_capita,ratings_per_capita_rank,top_game_bgg_id,top_game_name,top_game_year,top_game_num_ratings,top_game_avg_rating,top_game_bayes_rating
rs,6834326,107,644,24817,49,363.123,37,224517,Brass: Birmingham,2018,78,9.009,8.900
tr,84775404,18,761,24400,50,28.782,56,248562,Mage Knight: Ultimate Edition,2018,10,9.540,8.748
sk,5447247,119,641,23623,51,433.669,34,224517,Brass: Birmingham,2018,78,8.998,8.895
is,372520,176,350,18375,52,4932.621,2,233078,Twilight Imperium: Fourth Edition,2017,34,9.074,8.890
in,1407563842,2,709,17584,53,1.249,62,233078,Twilight Imperium: Fourth Edition,2017,20,9.310,9.002
by,9340314,98,398,17455,54,186.878,43,167791,Terraforming Mars,2016,129,8.541,8.500
lu,640064,167,195,16639,55,2599.584,8,363622,The Castles of Burgundy: Special Edition,2023,5,9.600,8.576
ir,87923432,17,570,15262,56,17.358,58,224517,Brass: Birmingham,2018,111,8.925,8.878
pe,33715471,44,499,14868,57,44.098,55,161533,Lisboa,2017,12,9.508,9.066
cr,5153957,122,270,13175,58,255.629,41,233078,Twilight Imperium: Fourth Edition,2017,12,9.217,8.849
si,2108079,147,338,13014,59,617.339,32,312682,Silver Coin: Age of Monster Hunters,2023,5,10.000,9.071
vn,97468029,15,430,11031,60,11.318,60,162886,Spirit Island,2017,26,9.317,9.162
uy,3426260,133,240,10541,61,307.653,39,291457,Gloomhaven: Jaws of the Lion,2020,27,9.111,8.975
ae,9365145,96,213,10156,62,108.445,49,294788,Conqueror: Final Conquest,2020,26,9.385,9.239
sa,35950396,41,131,7694,63,21.402,,,,,,,
gt,17109746,70,116,5143,64,30.059,,,,,,,
ve,28199867,51,129,4491,65,15.926,,,,,,,
kz,19000988,66,116,4417,66,23.246,,,,,,,
ad,79034,191,68,4416,67,5587.469,,,,,,,
cy,1244188,158,108,3681,68,295.856,,,,,,,
bo,12079472,80,99,3152,69,26.094,,,,,,,
