rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
194,256916,Concordia Venus,2018,97,8.291,7.483,-0.808,6.935,-97
195,503,Through the Desert,1998,600,7.097,7.172,0.076,6.934,405
196,54998,Cyclades,2009,229,7.512,7.091,-0.420,6.934,33
197,199561,Sagrada,2017,200,7.478,7.014,-0.464,6.933,3
198,1111,Taboo,1989,2231,6.302,7.199,0.897,6.933,2033
199,373106,Sky Team,2023,80,8.195,7.297,-0.898,6.930,-119
200,10547,Betrayal at House on the Hill,2004,671,7.029,7.001,-0.028,6.929,471
201,555,The Princes of Florence,2000,252,7.509,7.142,-0.368,6.929,51
202,329839,So Clover!,2021,342,7.591,7.386,-0.205,6.925,140
203,169654,Deep Sea Adventure,2014,813,6.911,7.126,0.215,6.924,610
204,163,Balderdash,1984,2047,6.467,7.457,0.990,6.923,1843
205,397598,Dune: Imperium – Uprising,2023,59,8.730,7.523,-1.207,6.922,-146
206,132531,Roll for the Galaxy,2014,134,7.595,7.025,-0.570,6.921,-72
207,174430,Gloomhaven,2017,3,8.584,6.973,-1.611,6.921,-204
208,43015,Hansa Teutonica,2009,126,7.734,7.135,-0.599,6.920,-82
209,13004,The Downfall of Pompeii,2004,682,7.154,7.314,0.160,6.920,473
210,21241,Neuroshima Hex! 3.0,2006,355,7.391,7.137,-0.254,6.918,145
211,183251,Karuba,2015,592,7.172,7.214,0.042,6.915,381
212,30549,Pandemic,2008,140,7.540,6.939,-0.602,6.912,-72
213,163967,Tiny Epic Galaxies,2015,339,7.337,7.071,-0.266,6.911,126
214,191189,Aeon's End,2016,84,7.898,7.065,-0.833,6.910,-130
215,131260,Qwixx,2012,925,6.863,7.156,0.293,6.910,710
216,127023,Kemet,2012,150,7.655,7.080,-0.576,6.909,-66
217,8098,Jungle Speed,1997,1801,6.465,7.147,0.682,6.905,1584
218,25821,The Werewolves of Miller's Hollow,2001,1364,6.691,7.178,0.487,6.904,1146
219,19857,Glory to Rome,2005,261,7.490,7.128,-0.362,6.900,42
220,90137,Blood Bowl: Team Manager – The Card Game,2011,392,7.392,7.182,-0.210,6.898,172
221,374173,Star Wars: The Deckbuilding Game,2023,282,7.937,7.498,-0.439,6.895,61
222,2223,UNO,1971,25170,5.447,7.012,1.565,6.895,24948
223,929,The Great Dalmuti,1995,1604,6.580,7.300,0.721,6.892,1381
224,244271,Dice Throne: Season Two – Battle Chest,2018,297,8.079,7.614,-0.465,6.892,73
225,715,Escape from Colditz,1973,2095,6.671,7.850,1.179,6.890,1870
226,155068,Arcadia Quest,2014,296,7.609,7.197,-0.412,6.890,70
227,230253,Star Realms: Frontiers,2018,298,7.941,7.530,-0.411,6.888,71
228,156009,Port Royal,2014,552,7.122,7.072,-0.050,6.887,324
229,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,110,7.921,7.087,-0.834,6.886,-119
230,143741,BANG! The Dice Game,2013,767,6.899,7.018,0.119,6.886,537
231,365717,Clank!: Catacombs,2022,108,8.274,7.390,-0.884,6.884,-123
232,48726,Alien Frontiers,2010,331,7.362,7.093,-0.269,6.883,99
233,121288,Dixit: Journey,2012,720,7.398,7.578,0.180,6.882,487
234,169426,Roll Player,2016,249,7.455,7.040,-0.415,6.881,15
235,56692,Parade,2007,899,7.001,7.291,0.290,6.880,664
236,231733,Obsession,2018,60,8.142,7.121,-1.021,6.876,-176
237,351040,Ready Set Bet,2022,496,7.580,7.465,-0.115,6.874,259
238,281259,The Isle of Cats,2019,128,7.716,7.026,-0.689,6.874,-110
239,264055,Draftosaurus,2019,619,7.105,7.111,0.006,6.873,380
240,215311,Downforce,2017,409,7.308,7.106,-0.202,6.872,169
241,123260,Suburbia,2012,208,7.479,6.996,-0.483,6.870,-33
242,93260,Summoner Wars: Master Set,2011,322,7.484,7.156,-0.328,6.869,80
243,3201,Lord of the Rings: The Confrontation,2002,692,7.213,7.321,0.108,6.868,449
244,168584,Love Letter: Batman,2015,748,7.267,7.428,0.161,6.868,504
245,2375,Sequence,1982,3298,6.104,7.185,1.081,6.865,3053
246,270673,Silver & Gold,2019,633,7.211,7.266,0.055,6.865,387
247,198928,Iberia,2016,127,7.890,7.162,-0.728,6.863,-120
248,274638,Unmatched: Robin Hood vs. Bigfoot,2019,411,7.946,7.669,-0.276,6.863,163
249,6249,Alhambra,2003,556,7.033,6.955,-0.078,6.860,307
250,16747,Tumblin' Dice,2004,862,7.234,7.541,0.307,6.858,612
251,15,Cosmic Encounter,1977,1432,6.920,7.645,0.726,6.856,1181
252,158899,Colt Express,2014,489,7.094,6.953,-0.141,6.855,237
253,176920,Mission: Red Planet (Second Edition),2015,363,7.410,7.132,-0.278,6.855,110
254,166669,San Juan (Second Edition),2014,426,7.458,7.283,-0.175,6.854,172
255,245654,Railroad Ink: Deep Blue Edition,2018,543,7.186,7.099,-0.087,6.854,288
256,494,Ave Caesar,1989,1685,6.636,7.509,0.873,6.851,1429
257,293141,King of Tokyo: Dark Edition,2020,442,7.692,7.460,-0.232,6.850,185
258,262712,Res Arcana,2019,141,7.660,6.996,-0.664,6.849,-117
259,390092,Ticket to Ride Legacy: Legends of the West,2023,198,8.738,7.896,-0.842,6.846,-61
260,233398,Endeavor: Age of Sail,2018,154,7.896,7.184,-0.712,6.845,-106
