rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
496,266810,Paladins of the West Kingdom,2019,70,7.979,6.782,-1.197,6.637,-426
492,221107,Pandemic Legacy: Season 2,2017,57,8.029,6.794,-1.236,6.639,-435
531,55690,Kingdom Death: Monster,2015,77,8.494,6.872,-1.622,6.609,-454
519,175914,Food Chain Magnate,2015,39,8.056,6.751,-1.305,6.625,-480
579,192135,Too Many Bones,2017,33,8.340,6.764,-1.576,6.583,-546
644,229853,Teotihuacan: City of Gods,2018,86,7.863,6.664,-1.199,6.544,-558
619,185343,Anachrony,2017,50,8.070,6.689,-1.381,6.560,-569
607,251247,Barrage,2019,35,8.162,6.700,-1.462,6.564,-572
654,321608,Hegemony: Lead Your Class to Victory,2023,66,8.463,6.873,-1.589,6.536,-588
681,284378,Kanban EV,2020,46,8.418,6.819,-1.599,6.521,-635
682,295770,Frosthaven,2022,25,8.826,6.843,-1.983,6.520,-657
750,383179,Age of Innovation,2023,89,8.669,6.984,-1.685,6.477,-661
739,276025,Maracaibo,2019,64,8.011,6.619,-1.392,6.482,-675
780,125153,The Gallerist,2015,71,8.021,6.609,-1.412,6.460,-709
871,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,95,7.741,6.462,-1.279,6.414,-776
1016,161533,Lisboa,2017,56,8.188,6.524,-1.664,6.350,-960
1032,96848,Mage Knight Board Game,2011,34,8.085,6.402,-1.683,6.344,-998
1139,237182,Root,2018,31,8.072,6.332,-1.739,6.297,-1108
1174,184267,On Mars,2020,51,8.187,6.420,-1.768,6.280,-1123
