rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
11262,40949,Nur die Ziege zählt,2009,10493,6.072,6.091,0.018,5.554,-769
11263,396090,Exoworld Survival,2023,13928,7.848,7.486,-0.361,5.554,2665
11264,4917,Great War at Sea: U.S. Navy Plan Black,1999,12946,6.760,7.049,0.289,5.554,1682
11265,394127,Yokai Pagoda,2023,11108,7.735,7.374,-0.361,5.554,-157
11266,104555,The Blue Lion,2011,10597,5.947,5.911,-0.036,5.554,-669
11267,13928,Chinagold,2004,12410,5.863,6.017,0.154,5.554,1143
11268,12253,ATS Stalingrad: Dzerhezinsky Tractor Works 1942,2004,11033,7.332,7.485,0.154,5.554,-235
11269,184117,ManaSurge,2016,10712,6.431,6.259,-0.172,5.554,-557
11270,385799,Scram!,2023,9498,7.196,6.835,-0.361,5.554,-1772
11271,162480,Rise of the Kage,2015,11094,6.621,6.476,-0.144,5.554,-177
11272,150049,Risk: Mass Effect – Galaxy at War Edition,2013,11901,6.838,6.748,-0.090,5.554,629
11273,142333,Mob Town,2013,11054,6.623,6.533,-0.090,5.554,-219
11274,1723,Alpha Omega,1977,23124,5.380,6.266,0.886,5.554,11850
11275,278305,Battlelands,2019,9748,6.456,6.203,-0.253,5.554,-1527
11276,276654,7 Souls,2020,10182,6.736,6.456,-0.280,5.554,-1094
11277,372852,Chesney,2023,17423,8.700,8.339,-0.361,5.554,6146
11278,318638,Union Station,2022,8697,6.740,6.406,-0.334,5.554,-2581
11279,357298,Guns or Treasure,2023,11288,7.389,7.028,-0.361,5.554,9
11280,268846,Improvement of the POLIS,2017,10649,7.244,7.045,-0.199,5.554,-631
11281,181377,The Opulent,2016,10832,7.043,6.872,-0.172,5.554,-449
11282,6735,Star Explorer,1982,14927,7.000,7.751,0.750,5.554,3645
11283,192023,"Demyansk Shield: the Frozen Fortress, February-May 1942",2017,11564,7.567,7.368,-0.199,5.554,281
11284,111119,Perplexus Rookie,2011,10662,6.935,6.900,-0.036,5.554,-622
11285,172596,Monster My Neighbor,2015,9086,6.004,5.860,-0.144,5.554,-2199
11286,172866,Dragon Punch,2014,9498,6.023,5.906,-0.117,5.554,-1788
11287,3485,Anno Domini,1995,15617,5.923,6.321,0.398,5.554,4330
11288,54457,The Arduous Beginning: The Attack of Army Group Center June - August 1941,2009,11492,7.043,7.061,0.018,5.554,204
11289,354806,London Necropolis Railway,2022,8967,7.126,6.792,-0.334,5.554,-2322
11290,93895,Dwarf King's Hold: Dead Rising,2011,11559,6.716,6.680,-0.036,5.554,269
11291,35910,Cannonball Colony,2008,10399,6.996,7.042,0.045,5.554,-892
11292,297821,Magic: The Gathering – Game Night 2019,2019,10971,7.389,7.136,-0.253,5.554,-321
11293,153510,Xalapa,2014,9996,6.679,6.561,-0.117,5.554,-1297
11294,251722,Triad,2018,9828,7.199,6.974,-0.226,5.554,-1466
11295,356796,1944: D-Day to the Rhine,2022,11009,7.672,7.338,-0.334,5.554,-286
11296,5996,"The Battle for Cassino: Assaulting the Gustav Line, 1944",1978,24253,5.429,6.288,0.859,5.554,12957
11297,9858,The Russo-Japanese War: Dawn of the Rising Sun,2004,11886,7.755,7.909,0.154,5.554,589
11298,16149,Up And Down,2005,12050,6.202,6.329,0.127,5.554,752
11299,362600,Abrakadabrien: Das magische Kartenspiel,2022,8826,6.760,6.426,-0.334,5.554,-2473
11300,193122,Stir Fry Eighteen,2015,13800,6.103,5.959,-0.144,5.554,2500
11301,143416,Gothic Doctor,2015,11410,6.746,6.602,-0.144,5.554,109
11302,335492,7 Moons: Heroes of Dragon Reach,2021,11551,7.328,7.021,-0.307,5.554,249
11303,232461,Saigon 75,2023,9908,7.534,7.172,-0.361,5.554,-1395
11304,177160,Frontier Stations,2015,10025,6.663,6.519,-0.144,5.553,-1279
11305,257378,East Indiaman,2018,10276,6.922,6.696,-0.226,5.553,-1029
11306,5012,Snit Smashing,1977,21131,5.544,6.431,0.886,5.553,9825
11307,22111,Double or Nothing,2006,12735,5.699,5.799,0.100,5.553,1428
11308,214123,Moa,2018,9302,6.405,6.179,-0.226,5.553,-2006
11309,8996,Pictionary Junior,1988,22282,5.448,6.036,0.588,5.553,10973
11310,142197,The Phantom Society,2013,9277,5.808,5.717,-0.090,5.553,-2033
11311,190577,Get Adler! Deduction Card Game,2016,14327,6.867,6.695,-0.172,5.553,3016
11312,168882,Race to the North Pole,2015,11004,6.064,5.920,-0.144,5.553,-308
11313,366797,Bag of Dungeon 2: The Cursed Forest,2022,11768,7.895,7.561,-0.334,5.553,455
11314,411115,Squirrels The Card Game,2024,18809,8.978,8.589,-0.388,5.553,7495
11315,145553,Asgard's Chosen,2013,10441,6.169,6.078,-0.090,5.553,-874
11316,215455,ReCURRRing,2016,10632,6.797,6.626,-0.172,5.553,-684
11317,26747,Space Junkyard,2009,11565,6.051,6.069,0.018,5.553,248
11318,4000,Scan,1970,18865,5.733,6.809,1.076,5.553,7547
11319,14441,Kinder Bunnies: Their First Adventure,2005,13847,5.908,6.035,0.127,5.553,2528
11320,19591,Big Manitou,2005,13798,5.819,5.946,0.127,5.553,2478
11321,134804,Nations at War: Stalin's Triumph,2013,12100,7.825,7.734,-0.090,5.553,779
11322,2395,Thoughtwave,1974,15629,6.200,7.167,0.967,5.553,4307
11323,535,Power Barons,1986,22924,5.527,6.169,0.642,5.553,11601
11324,382826,Chrono Fall: At the End of Space and Time,2024,11515,8.478,8.089,-0.388,5.553,191
11325,272223,Invictus: A Team Deck Building Game,2021,14976,8.684,8.377,-0.307,5.553,3651
11326,990,90 Grad,2000,11630,6.806,7.068,0.262,5.553,304
11327,98739,Byzantio,2013,10843,6.262,6.171,-0.090,5.553,-484
11328,41149,Linkage,2009,12732,6.331,6.350,0.018,5.553,1404
11329,6053,Little Big Horn,1981,17351,6.220,6.998,0.778,5.553,6022
11330,197071,Gambler × Gamble!,2016,10220,6.727,6.555,-0.172,5.553,-1110
11331,3100,Backpacks and Blisters,1993,12898,6.210,6.662,0.452,5.553,1567
11332,241829,Movie Empire,2020,9717,6.684,6.404,-0.280,5.553,-1615
11333,118025,Waka Waka,2012,10569,5.999,5.936,-0.063,5.553,-764
11334,64896,Formula D,1996,12479,7.184,7.555,0.371,5.553,1145
11335,26315,WeyKick on Ice,2005,11563,6.977,7.104,0.127,5.553,228
11336,4316,"Belter: Mining the Asteroids, 2076",1979,17878,6.147,6.979,0.832,5.553,6542
11337,371687,A Simple Life,2022,11764,7.767,7.432,-0.334,5.553,427
11338,32150,Ambush Alley! A Game of Modern Urban Combat,2007,12117,7.821,7.893,0.073,5.553,779
11339,8725,Red Star/White Star: Tactical Combat in Europe in the 1970's,1972,22921,5.691,6.712,1.022,5.553,11582
11340,367485,D100 Space,2022,12768,8.471,8.137,-0.334,5.553,1428
11341,372197,Snakes of Wrath,2022,10265,7.710,7.376,-0.334,5.553,-1076
11342,4516,Ragnarok: The Twilight of the Gods,1981,19189,5.722,6.499,0.778,5.553,7847
11343,2709,The Beastlord,1979,18130,5.838,6.670,0.832,5.553,6787
11344,8834,"Dynamo: Dunkirk, 1940",1986,14590,6.789,7.431,0.642,5.553,3246
11345,163798,Nuevo Mundo,2014,12317,7.323,7.205,-0.117,5.553,972
11346,2826,Jackpot Yahtzee,1980,16105,6.067,6.871,0.805,5.553,4759
11347,256568,Adventure Island,2018,8490,6.019,5.793,-0.226,5.553,-2857
11348,154006,Time's Up! Family 2,2012,10692,7.127,7.064,-0.063,5.553,-656
11349,2387,Huggermugger,1989,24687,5.256,5.817,0.561,5.553,13338
11350,18600,Ball Park Baseball,1971,15523,7.600,8.649,1.049,5.553,4173
11351,16499,Architekton,2005,20282,5.545,5.671,0.127,5.553,8931
11352,368103,Pick-a-Pepper,2022,8768,6.647,6.312,-0.334,5.553,-2584
11353,386271,Footprints,2023,9695,7.423,7.062,-0.361,5.553,-1658
11354,11699,Red Steel: Clash Of Armor At Kishinev,1996,13000,6.673,7.044,0.371,5.553,1646
11355,134009,The Hobbit: An Unexpected Journey Strategy Battle Game,2012,11353,7.463,7.400,-0.063,5.553,-2
11356,11708,War Between The States 1861-1865 (Second Edition),2004,12492,7.218,7.372,0.154,5.553,1136
11357,302212,Sebastian Fitzek Safehouse Würfelspiel,2020,9525,6.403,6.123,-0.280,5.553,-1832
11358,16030,Volley & Bayonet,1994,12973,7.600,8.025,0.425,5.553,1615
11359,198328,Clue: Game of Thrones,2016,12054,6.130,5.958,-0.172,5.553,695
11360,257307,Orbital,2018,10902,6.967,6.741,-0.226,5.553,-458
11361,43801,"Afrikakorps: Decision in the Desert, 1941-42",2010,11640,7.379,7.370,-0.009,5.553,279
11362,261831,Avocado Smash!,2018,10018,6.110,5.884,-0.226,5.553,-1344
11363,215392,Flip City: Wilderness,2017,8935,6.209,6.011,-0.199,5.553,-2428
11364,187347,No Honor Among Thieves,2018,10974,7.214,6.988,-0.226,5.553,-390
