,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,463,22846,10,6,15,3,,,,,,,,,,,,,,,,,,,13,5,,,,,,,,,,,19,19,,,,,,,,,8,5,,,,,32,15,,,,,,,235,11,,,,,64,18,2047,15,,,,,,,,,,,10321,9,8,13,942,25,20,14,18,2,47,17,160,25,,,,,987,17,,,,,,,,,,,,,,,,,,,,,,,104,19,,,,,27,14,,,,,73,21,,,,,,,40,13,,,,,,,,,743,12,3335,7,,,,,,,,,,,,,48,20,,,,,,,9,6,,,,,,,,,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,21,7,13,52,23,,,,,,,,,,,,,,,,,,,,,250,23,,,,,757,9,,,,,,,992,13,,,,,,,,,,,,,,,,,,,,,,,15,14,,,,,25,14,,,,,177,19,,,,,,,,,,,,,51,9,,,,,,,44,17,,,,,63,11,,,,,,,,,39,16,,,,,,,,,,,,,,,,,,,,,,,664,13
11,12,811,20358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,5,,,,,,,18,46,,,,,,,2076,14,,,,,,,,,,,7900,17,4,31,1355,18,,,,,,,238,16,,,,,1655,11,,,,,,,,,,,,,,,6,4,,,,,,,673,5,,,,,,,,,,,137,13,,,,,,,,,,,,,,,,,101,66,410,29,,,,,,,,,,,,,196,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304,4,,,67,20,,,,,,,,,,,,,,,,,,,,,408,16,,,,,580,12,,,,,230,2,346,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2556,4
12,13,29351,20217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,189,14,,,,,,,3415,8,,,,,,,,,,,3488,38,,,286,44,146,3,,,,,160,26,,,,,417,43,,,,,,,,,,,,,,,,,,,,,,,270,8,,,,,,,,,,,43,29,53,6,,,,,,,,,,,,,,,,,147,55,,,,,,,,,,,,,17,56,,,,,,,,,,,,,,,,,197,2,79,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,31,,,,,,,,,,,,,,,,,,,,,,,,,1030,6,,,,,,,,,,,,,8623,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,40,,,,,,,,,,,,,,,,,,,,,,,,,,,611,1,,,,,,,,,644,4,,,,,,,,,,,,,,,,,,,,,,,104,44
13,14,13,20062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,6,,,,,,,138,16,,,5,7,37,28,1617,20,,,,,,,43,9,,,9630,10,3,33,1735,12,,,5,11,,,51,40,,,3,2,680,25,,,,,,,,,,,,,3,4,,,,,,,,,990,4,,,,,,,,,,,88,18,,,6,1,,,,,,,,,,,,,312,30,1169,14,,,,,,,,,,,,,67,16,,,,,,,,,,,,,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,10,20,6,117,13,,,,,,,,,,,,,,,,,,,,,193,24,,,,,363,15,,,,,21,10,734,17,,,,,,,,,,,,,,,,,,,,,27,13,60,6,,,,,32,12,,,,,317,12,,,,,,,,,,,,,,,,,,,,,32,24,,,,,,,,,,,,,,,23,20,,,,,,,,,,,,,,,,,,,,,,,567,16
14,15,2425,18376,,,,,,,,,,,181,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,39,13,,,,,,,189,13,,,,,106,11,1664,17,,,,,,,,,,,4693,26,8,15,1834,10,,,3,16,135,11,270,9,,,,,1327,13,,,,,,,,,,,,,,,,,,,,,,,199,10,,,,,,,,,,,155,12,14,9,,,,,,,,,,,,,,,834,10,671,23,,,,,,,,,,,,,7,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,22,,,,,,,,,,,,,,,,,,,,,,,,,847,9,,,,,1136,4,,,,,150,5,2820,7,,,,,,,,,,,,,,,,,,,,,76,9,,,,,,,,,,,,,216,16,,,,,8,8,,,,,,,,,,,,,,,,,,,,,205,5,,,,,,,,,33,18,,,,,,,,,,,,,,,,,,,,,,,204,28
15,16,320,18020,,,,,,,,,,,135,12,,,,,,,17,5,,,,,,,,,,,12,1,,,90,9,,,,,,,,,20,3,,,,,42,10,,,,,,,138,17,,,15,3,57,20,1585,21,,,,,,,110,6,,,6521,21,26,2,1362,17,29,9,,,79,14,343,7,,,,,1986,7,,,,,8,5,12,2,,,,,12,2,,,16,4,,,,,120,17,50,6,,,,,,,,,349,5,,,,,,,243,6,,,,,,,21,4,244,37,292,35,,,,,16,2,,,,,16,3,33,30,,,,,,,15,4,,,,,,,,,45,9,29,9,,,,,,,,,8,7,,,,,53,5,,,,,,,,,,,,,733,12,28,3,100,15,,,,,,,10,5,,,,,,,,,,,,,768,10,,,,,380,14,,,,,90,8,856,14,,,,,,,,,,,,,9,3,,,,,,,79,8,133,4,,,,,26,13,,,,,117,29,,,,,20,5,,,,,,,43,11,,,,,,,39,21,,,14,1,61,12,,,,,,,,,79,14,,,,,,,,,,,12,5,,,,,,,,,,,274,24
16,17,181,17429,13,4,,,,,,,,,113,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,11,,,,,,,,,,,,,157,8,1696,16,,,,,,,,,,,9307,12,,,2200,8,,,9,7,,,86,33,,,,,947,18,,,,,,,,,,,,,,,,,,,,,,,152,15,,,,,171,6,,,,,65,22,,,,,,,,,,,,,,,,,226,43,160,52,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,45,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,20,,,47,26,,,,,,,,,,,,,,,,,,,,,146,27,,,,,155,31,,,,,,,483,23,,,,,,,,,,,,,,,,,253,2,,,,,,,,,,,,,,,,,330,10,,,,,,,,,,,,,22,13,,,,,,,35,22,,,,,39,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,36
17,18,1294,16874,,,,,,,,,,,67,16,,,,,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,12,,,,,,,,,,,,,67,17,1071,26,,,,,,,,,,,9290,13,10,9,979,23,,,7,8,129,12,243,14,,,,,1907,8,,,,,,,,,,,,,,,7,3,,,,,,,183,13,,,,,,,,,,,86,19,,,,,,,26,15,,,,,5,4,40,2,806,11,,,,,,,,,,,,,,,258,3,,,,,,,,,,,,,,,,,,,25,11,,,,,,,,,,,,,,,7,10,,,,,,,,,,,,,456,18,,,46,27,,,,,,,7,7,,,,,,,,,,,,,61,47,,,,,,,,,,,,,435,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,9,,,,,280,13,,,,,,,,,,,,,38,12,,,,,,,23,27,,,,,13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,29
18,19,2136,16526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,8,,,,,,,,,,,,,,,,,,,,,,,355,7,,,,,,,3880,5,,,,,,,,,,,6421,22,5,25,356,39,,,,,1104,4,,,,,,,398,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,8,,,,,226,8,15,8,,,,,,,,,,,,,,,366,28,,,,,,,,,,,,,,,24,41,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,,,,,,,,,,,,,,,,,,,,,1160,5,,,,,,,,,,,,,,,,,,,,,,,,,979,7,,,,,,,,,,,,,82,68,,,,,,,,,,,,,,,,,15,7,,,162,3,,,,,12,2,,,6,4,,,460,8,,,,,,,,,,,,,,,,,,,,,143,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,48
19,20,5072,14215,,,,,,,,,,,431,7,,,,,,,,,,,,,,,,,,,,,,,144,7,,,,,260,2,,,,,,,,,7,55,,,,,,,,,,,,,144,10,478,54,,,,,,,,,,,9561,11,6,21,155,58,,,,,31,19,,,,,,,413,44,,,,,,,,,,,,,,,,,103,2,,,,,,,516,2,,,,,,,,,,,,,,,,,194,9,,,,,,,,,84,77,423,27,,,,,,,,,,,,,41,24,,,,,,,,,,,,,,,,,,,,,,,,,31,1,,,236,2,,,257,2,46,7,,,,,,,,,,,,,54,67,10,9,162,11,,,,,,,,,,,,,,,,,,,,,,,,,,,48,42,,,,,,,119,56,,,,,,,,,,,,,,,,,,,43,2,,,,,,,,,,,,,,,35,51,,,,,128,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,69
20,21,3886,13429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,4,,,,,,,,,,,,,,,25,19,,,,,,,282,10,,,,,89,14,3060,10,,,,,,,,,,,3030,42,5,28,486,32,29,10,7,9,157,10,259,12,,,,,546,33,,,,,10,4,,,,,,,,,,,,,,,,,85,25,,,,,,,,,,,492,2,,,,,,,,,,,,,,,,,917,7,802,18,,,,,,,,,,,,,107,11,,,,,,,,,29,2,,,6,10,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,35,7,14,172,9,,,,,,,,,,,,,,,,,,,,,320,21,,,,,878,5,,,,,122,6,225,38,,,,,,,,,,,,,,,,,,,,,112,6,24,12,,,,,384,2,,,,,168,23,,,,,,,,,,,,,,,,,,,,,113,11,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,51
21,22,2386,12281,,,,,,,,,,,54,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,43,,,,,,,36,34,,,,,40,27,301,80,,,,,,,,,,,6788,19,2,37,2477,7,,,,,,,148,29,,,,,625,30,,,,,,,,,,,,,,,,,,,,,,,41,35,,,,,,,,,,,35,30,58,5,,,,,,,,,,,,,,,279,33,,,,,,,,,,,,,,,43,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,155,12,,,,,,,,,,,,,,,,,,,,,88,36,,,,,184,24,,,,,,,3,129,,,,,,,,,,,,,,,,,,,,,8,24,,,,,,,,,,,,,175,20,,,,,,,,,,,,,22,14,,,,,,,,,,,,,29,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,664,14
22,23,50381,12032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,22,812,35,,,,,,,,,,,8721,14,,,692,27,,,,,44,18,166,23,,,,,196,67,,,,,,,,,,,,,,,,,,,,,,,129,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,15,83,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,1258,11906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,27,,,,,,,1065,27,,,,,,,,,,,10729,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
