,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,463,22564,,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,33,13,,,,,,,,,14,4,,,,,26,18,,,,,,,227,8,,,,,170,6,1859,12,,,,,,,,,12034,8,10,8,,,23,10,10,6,,,118,18,,,,,,,,,,,,,,,,,,,,,,,89,16,,,,,42,14,,,,,70,22,,,,,32,13,,,,,,,,,860,7,2210,7,,,,,,,,,,,,,48,16,,,,,,,10,7,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,19,9,9,59,18,,,,,,,,,,,,,,,,,482,14,,,,,980,3,,,,,1751,10,,,,,,,,,,,,,,,,,,,23,11,,,,,22,9,,,,,190,10,,,,,,,,,,,,,37,9,,,,,70,19,,,,,56,12,,,,,,,,,22,14,,,,,,,,,,,,,,,,,,,,,675,9
11,12,320,17447,,,,,,,,,,,146,8,,,,,,,,,,,,,1,1,,,101,9,,,,,,,,,18,3,,,,,40,7,,,,,,,71,16,,,11,3,60,16,1184,19,,,,,430,4,,,7574,15,26,2,1471,10,32,6,,,20,16,150,12,,,1194,11,,,,,,,6,3,,,6,2,,,10,2,,,71,19,52,6,,,,,,,,,243,7,,,,,275,5,,,,,,,8,6,146,51,379,25,,,,,2,4,,,,,5,3,38,18,,,,,,,15,4,,,,,,,25,10,,,,,,,,,16,4,,,,,50,4,,,,,,,,,,,,,745,8,12,6,64,14,,,,,,,,,,,,,,,,,527,11,,,,,189,22,,,69,7,1151,14,,,,,,,,,6,3,,,,,,,46,10,52,6,,,,,,,,,,,63,27,,,,,12,5,,,19,3,,,23,11,,,,,133,14,,,12,1,62,11,,,,,,,,,36,10,,,,,,,,,,,,,,,,,,,,,350,18
12,13,2425,16694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,29,15,,,,,,,49,20,,,,,83,13,1062,21,,,,,,,,,5687,22,11,7,1226,16,,,7,9,100,9,136,15,,,1167,12,,,,,,,,,,,,,,,,,,,104,12,,,,,,,,,,,175,10,,,,,,,,,,,,,,,718,11,653,17,,,,,,,,,,,,,16,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,21,,,,,,,,,,,,,,,,,,,,,257,24,,,,,606,8,,,150,3,3713,4,,,,,,,,,,,,,,,,,78,6,,,,,,,,,,,,,93,19,,,,,10,7,,,,,,,,,,,,,,,,,,,96,9,,,,,,,,,19,17,,,,,,,,,,,,,,,,,,,,,208,24
13,14,181,16261,6,5,,,,,,,,,292,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,13,,,,,,,,,,,,,139,9,1631,13,,,,,,,,,8731,12,,,1465,11,,,6,10,,,61,29,,,801,19,,,,,,,,,,,,,,,,,,,127,11,,,,,213,4,,,,,147,12,,,,,,,,,,,,,,,172,45,156,42,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,15,,,60,17,,,,,,,,,,,,,,,,,235,26,,,,,147,26,,,,,735,22,,,,,,,,,,,,,145,3,,,,,,,,,1,2,,,,,,,194,9,,,,,,,,,,,,,25,10,,,,,100,16,,,,,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,27
14,15,2243,16200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,15,,,,,,,,,,,,,,,9,45,,,,,,,,,,,,,,,3980,3,,,,,,,,,6600,17,,,,,,,,,,,,,,,1530,9,,,,,,,,,,,,,,,,,,,,,,,,,110,8,,,,,129,14,,,,,,,,,,,,,,,478,21,192,36,,,,,,,,,,,,,10,48,,,,,,,,,,,,,,,44,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,5,,,,,,,,,,,,,,,,,,,,,85,36,,,,,673,7,,,15,11,900,16,,,,,,,7,5,,,,,,,,,,,61,4,,,,,494,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,54
15,16,13,15989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,14,,,,,,,88,15,,,5,6,45,23,1056,22,,,,,,,,,8354,13,6,14,1340,13,,,10,5,,,,,7,2,617,27,,,,,,,,,,,,,,,,,,,432,3,,,,,,,,,,,169,11,,,,,,,,,,,,,,,318,28,1275,10,,,,,,,,,,,,,84,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,126,12,5,54,20,,,,,,,,,,,,,,,,,249,25,,,,,217,19,,,46,9,885,17,,,,,,,,,,,,,,,,,13,15,26,10,,,,,56,5,,,,,119,17,,,,,,,,,,,,,,,,,,,46,23,,,,,,,,,,,,,,,21,15,,,,,,,,,,,,,,,,,,,,,405,17
16,17,50381,15811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,36,,,,,,,,,,,14340,5,,,,,,,,,19,17,156,10,,,150,68,,,,,,,,,,,,,,,,,,,100,14,,,,,,,,,,,,,,,,,,,,,,,,,,,627,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,30,,,,,,,,,,,,,,,,,,,,,,,,,,,262,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,25821,14147,,,,,,,,,,,98,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3115,6,,,,,,,,,1001,86,3,39,1322,14,,,,,,,,,,,3646,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3886,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,3,,,,,,,,,,,,,,,,,,,,,,,,,,,23,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,27443,12966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,31,,,,,,,195,11,,,6,5,50,21,692,38,,,,,,,,,617,128,6,20,516,26,20,12,,,,,138,14,,,551,28,,,,,,,,,,,,,,,,,,,,,,,,,48,13,,,,,,,,,,,,,,,,,,,,,496,20,2492,6,,,,,,,,,,,,,2070,1,,,,,,,,,,,,,,,,,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,155,27,,,,,,,,,,,,,,,,,,,,,489,12,,,,,199,21,,,,,748,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3396,1
19,20,2719,12023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,83,,,,,,,9,48,,,,,24,28,682,39,,,,,,,,,9095,11,5,27,419,30,,,,,,,48,34,,,880,14,,,,,,,,,,,,,,,,,,,71,20,,,,,,,,,,,14,39,,,,,,,,,,,,,,,194,41,,,,,,,,,,,,,,,19,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,47,,,,,,,,,,,,,,,,,,,,,50,48,,,,,,,,,,,191,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,34,,,,,,,,,,,,,,,,,,,,,,,,,4,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,25
20,21,2952,11441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,6,,,,,,,,,,,,,101,10,764,34,,,,,,,,,6292,19,1,48,925,19,,,5,12,,,143,13,,,1997,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,17,,,,,,,,,388,24,34,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,18,,,73,12,,,,,,,,,,,,,,,,,,,,,,,97,31,,,,,127,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,2136,10476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,7,,,,,,,,,,,,,,,,,,,,,,,336,6,,,,,,,2718,9,,,,,,,,,3325,36,5,24,199,42,,,,,458,4,,,,,230,53,,,,,,,,,,,,,,,,,,,,,,,,,123,7,,,,,147,13,,,,,,,,,,,,,,,366,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,,,,844,4,,,,,,,,,,,,,,,,,,,,,900,6,,,,,,,,,,,114,62,,,,,,,,,,,,,20,7,,,89,3,,,,,,,,,6,3,,,287,7,,,,,,,,,,,,,,,,,,,105,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,77
22,23,822,10040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,10,,,,,,,,,,,,,,,22,26,,,,,,,,,,,5,7,34,26,1317,17,,,,,,,,,3881,32,6,15,514,27,,,,,,,178,7,,,449,33,,,,,,,,,,,,,,,,,,,39,28,,,,,,,,,,,105,17,,,,,,,,,,,,,,,550,19,563,18,,,,,,,,,,,,,44,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,14,10,8,62,15,,,,,,,,,,,,,,,,,384,18,,,,,151,25,,,,,596,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,14,,,,,,,,,,,,,,,,,,,,,,,,,13,26,,,,,,,,,20,16,,,,,,,,,,,,,,,,,,,,,489,13
23,24,811,10023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5,,,,,,,15,36,,,,,,,1089,20,,,,,,,,,3983,30,,,1369,12,,,,,,,92,25,,,631,26,,,,,,,,,,,,,5,3,,,,,237,8,,,,,,,,,,,93,20,,,,,,,,,,,,,,,62,86,248,31,,,,,,,,,,,,,199,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,9,,,27,28,,,,,,,,,,,,,,,,,350,19,,,,,422,11,,,67,8,360,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,5072,10013,,,,,,,,,,,4,20,,,,,,,,,,,,,,,,,10,20,,,,,81,2,,,,,,,,,10,44,,,,,,,,,,,,,144,8,533,43,,,,,,,,,7016,16,6,17,77,73,,,,,,,,,,,271,46,,,,,,,,,,,,,,,10,3,,,,,596,2,,,,,,,,,,,,,,,183,7,,,,,,,,,78,75,251,30,,,,,,,,,,,,,13,43,,,,,,,,,,,,,,,,,,,,,5,1,,,13,5,,,293,2,,,,,,,,,,,,,,,59,56,2,16,81,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,54,,,,,,,,,,,,,,,8,3,,,,,,,,,,,,,,,31,41,,,,,49,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,70
25,26,3886,9540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,4,,,,,,,,,,,,,,,11,39,,,,,,,,,,,,,85,12,3785,4,,,,,,,,,19,914,4,34,422,29,9,16,,,47,13,152,11,,,421,35,,,,,2,4,,,,,,,,,,,,,19,39,,,,,,,,,,,700,2,,,,,,,,,,,,,,,672,12,186,37,,,,,,,,,,,,,15,39,,,,,,,,,12,2,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,48,7,12,131,8,,,,,,,,,,,,,,,,,348,20,,,,,817,4,,,204,2,259,39,,,,,,,,,,,,,,,,,84,4,35,8,,,,,,,,,,,79,21,,,,,,,,,,,,,,,,,,,584,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,35
26,27,6819,8051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,19,4830,2,,,,,,,,,1532,67,9,11,74,74,,,,,,,21,50,,,241,50,,,,,,,,,,,,,,,,,,,37,30,,,,,,,,,,,,,,,,,,,,,,,4,5,,,106,63,104,52,,,,,,,,,,,,,14,41,,,,,,,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,97,39,,,22,31,,,,,,,,,,,,,,,,,414,16,,,,,49,40,,,,,213,45,,,,,,,,,,,,,,,,,12,18,,,,,,,,,,,,,49,32,,,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,40
