,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,463,21528,12,5,10,4,,,,,,,,,,,,,,,,,,,17,5,,,,,,,,,,,30,15,,,,,,,,,13,4,,,,,29,15,,,,,,,210,10,,,,,72,17,2039,13,,,,,,,,,,,9805,13,7,15,970,23,25,11,6,12,52,17,168,24,,,,,1102,14,,,,,,,,,,,,,,,,,,,,,,,94,23,,,,,18,14,,,,,73,22,,,,,,,32,13,,,,,,,,,696,12,2593,8,,,,,,,,,,,,,47,19,,,,,,,5,9,,,,,,,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,21,12,8,48,24,,,,,,,,,,,,,,,,,,,,,291,21,,,,,719,8,,,,,,,915,14,,,,,,,,,,,,,,,,,,,,,,,20,13,,,,,18,15,,,,,176,19,,,,,,,,,,,,,62,9,,,,,,,44,19,,,,,55,13,,,,,,,,,47,15,,,,,,,,,,,,,,,,,,,,,,,614,14
11,12,13,20589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,11,,,,,,,166,13,,,7,5,67,18,1528,20,,,,,,,40,11,,,9657,14,7,14,1874,10,,,5,13,,,79,35,,,3,2,776,22,,,,,,,,,,,,,2,4,,,,,,,,,904,3,,,,,,,,,,,102,16,,,12,1,,,,,,,,,,,,,378,25,1308,13,,,,,,,,,,,,,103,9,,,,,,,,,,,,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,10,13,6,98,13,,,,,,,,,,,,,,,,,,,,,216,24,,,,,486,13,,,,,24,10,813,17,,,,,,,,,,,,,,,,,,,,,12,17,56,7,,,,,42,12,,,,,297,13,,,,,,,,,,,,,,,,,,,,,29,24,,,,,,,,,,,,,,,31,19,,,,,,,,,,,,,,,,,,,,,,,541,16
12,13,29351,19730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,178,12,,,,,,,3374,7,,,,,,,,,,,3603,39,,,320,42,138,3,,,,,182,21,,,,,328,46,,,,,,,,,,,,,,,,,,,,,,,232,8,,,,,,,,,,,45,26,27,6,,,,,,,,,,,,,,,,,141,52,,,,,,,,,,,,,5,84,,,,,,,,,,,,,,,,,196,2,121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,31,,,,,,,,,,,,,,,,,,,,,,,,,883,6,,,,,,,,,,,,,8216,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,42,,,,,,,,,,,,,,,,,,,,,,,,,,,605,1,,,,,,,,,708,3,,,,,,,,,,,,,,,,,,,,,,,119,37
13,14,811,19723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,9,,,,,,,21,39,,,,,,,1891,14,,,,,,,,,,,7662,18,5,23,1568,12,,,,,,,254,12,,,,,1329,12,,,,,,,,,,,,,,,8,4,,,,,,,568,5,,,,,,,,,,,181,10,,,,,,,,,,,,,,,,,75,78,332,29,,,,,,,,,,,,,209,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,4,,,29,28,,,,,,,,,,,,,,,,,,,,,398,16,,,,,524,12,,,,,244,2,336,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2827,3
14,15,2425,18686,,,,,,,,,,,148,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,,,67,3,,,,,,,195,11,,,,,91,14,1579,18,,,,,,,,,,,4949,26,9,9,1876,9,,,8,8,139,10,242,15,,,,,1433,11,,,,,,,,,,,,,,,,,,,,,,,163,13,,,,,,,,,,,184,9,,,,,,,,,,,,,,,,,865,10,847,19,,,,,,,,,,,,,15,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,22,,,,,,,,,,,,,,,,,,,,,,,,,868,8,,,,,1054,4,,,,,131,5,2657,7,,,,,,,,,,,,,,,,,,,,,67,10,,,,,,,,,,,,,356,9,,,,,9,7,,,,,,,,,,,,,,,,,,,,,186,6,,,,,,,,,33,18,,,,,,,,,,,,,,,,,,,,,,,162,32
15,16,1294,17478,,,,,,,,,,,57,16,,,,,,,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,16,,,,,,,,,,,,,102,12,1027,25,,,,,,,,,,,10070,12,7,17,935,24,,,11,5,103,14,214,17,,,,,1922,8,,,,,,,,,,,,,,,10,3,,,,,,,174,11,,,,,,,,,,,100,17,,,,,,,27,14,,,,,7,5,,,846,11,,,,,,,,,,,,,,,207,4,,,,,,,,,,,,,,,,,,,19,11,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,496,16,,,43,25,,,,,,,8,5,,,,,,,,,,,,,54,47,,,,,,,,,,,,,396,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,10,,,,,216,15,,,,,,,,,,,,,26,11,,,,,,,18,30,,,,,29,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,25
16,17,320,17312,,,,,,,,,,,112,13,,,,,,,18,4,,,,,,,,,,,9,1,,,108,8,,,,,,,,,9,6,,,,,47,8,,,,,,,76,21,,,15,3,51,21,1565,19,,,,,,,106,6,,,6234,24,12,5,1328,20,37,7,,,68,16,388,8,,,,,2114,7,,,,,11,2,8,3,,,,,14,2,,,11,4,,,,,109,19,74,5,,,,,,,,,392,5,,,,,,,233,8,,,,,,,13,5,216,39,305,32,,,,,8,6,,,,,20,3,23,35,,,,,,,17,4,,,,,,,,,49,8,27,8,,,,,,,,,13,6,,,,,89,4,,,,,,,,,,,,,673,12,24,4,72,17,,,,,,,7,7,,,,,,,,,,,,,615,9,,,,,317,15,,,,,79,8,855,15,,,,,,,,,,,,,10,2,,,,,,,78,6,68,5,,,,,21,14,,,,,120,27,,,,,21,5,,,,,,,43,10,,,,,,,32,22,,,16,1,32,20,,,,,,,,,46,16,,,,,,,,,,,10,8,,,,,,,,,,,244,27
17,18,2386,17027,,,,,,,,,,,53,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,28,,,,,,,57,25,,,,,31,28,334,66,,,,,,,,,,,11562,9,5,26,2569,7,,,,,,,135,30,,,,,524,31,,,,,,,,,,,,,,,,,,,,,,,56,29,,,,,,,,,,,37,29,50,5,,,,,,,,,,,,,,,283,32,,,,,,,,,,,,,,,32,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,158,9,,,,,,,,,,,,,,,,,,,,,107,31,,,,,138,33,,,,,,,5,130,,,,,,,,,,,,,,,,,,,,,11,20,,,,,,,,,,,,,178,18,,,,,,,,,,,,,17,13,,,,,,,,,,,,,15,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,635,13
18,19,181,16073,16,4,,,,,,,,,139,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,14,,,,,,,,,,,,,188,8,1614,17,,,,,,,,,,,7784,17,,,2542,8,,,9,7,,,80,34,,,,,961,19,,,,,,,,,,,,,,,,,,,,,,,154,15,,,,,179,6,,,,,81,20,,,,,,,,,,,,,,,,,148,47,147,50,,,,,,,,,,,,,,,,,,,,,9,6,,,,,,,,,19,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,25,,,60,19,,,,,,,,,,,,,,,,,,,,,124,28,,,,,162,28,,,,,,,565,23,,,,,,,,,,,,,,,,,188,2,,,,,,,,,3,3,,,,,,,326,10,,,,,,,,,,,,,13,14,,,,,,,48,18,,,,,30,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,33
19,20,2136,15906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,7,,,,,,,,,,,,,,,,,,,,,,,311,6,,,,,,,2871,10,,,,,,,,,,,6971,21,5,25,414,37,,,,,991,4,,,,,,,381,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,8,,,,,231,8,10,8,,,,,,,,,,,,,,,401,23,,,,,,,,,,,,,,,11,55,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,,,,,,,,,,,,,,,1178,5,,,,,,,,,,,,,,,,,,,,,,,,,871,7,,,,,,,,,,,,,81,65,,,,,,,,,,,,,,,,,14,7,,,126,4,,,,,5,2,,,5,3,,,514,8,,,,,,,,,,,,,,,,,,,,,154,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,45
20,21,5072,15350,,,,,,,,,,,592,5,,,,,,,,,,,,,,,,,,,,,,,101,9,,,,,302,2,,,,,,,,,7,57,,,,,,,,,,,,,170,9,499,50,,,,,,,,,,,10734,11,4,31,122,60,,,,,24,21,,,,,,,350,44,,,,,,,,,,,,,,,,,79,2,,,,,,,609,2,,,,,,,,,,,,,,,,,233,9,,,,,,,,,102,62,455,26,,,,,,,,,,,,,34,25,,,,,,,,,,,,,,,,,,,,,,,,,36,1,,,65,2,,,147,2,35,7,,,,,,,,,,,,,37,75,9,12,161,8,,,,,,,,,,,,,,,,,,,,,,,,,,,35,51,,,,,,,123,54,,,,,,,,,,,,,,,,,,,39,2,,,,,,,,,,,,,,,36,52,,,,,140,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,56
21,22,50381,15034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,27,898,31,,,,,,,,,,,11727,8,,,588,28,,,,,43,19,164,26,,,,,228,57,,,,,,,,,,,,,,,,,,,,,,,107,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,15,89,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,3886,12645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,4,,,,,,,,,,,,,,,19,26,,,,,,,214,9,,,,,97,13,2936,9,,,,,,,,,,,2874,44,10,8,432,35,20,15,7,10,125,12,230,16,,,,,441,36,,,,,9,4,,,,,,,,,,,,,,,,,33,39,,,,,,,,,,,509,2,,,,,,,,,,,,,,,,,948,8,1064,16,,,,,,,,,,,,,30,30,,,,,,,,,14,2,,,9,7,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,37,10,11,133,11,,,,,,,,,,,,,,,,,,,,,304,20,,,,,824,5,,,,,109,7,190,42,,,,,,,,,,,,,,,,,,,,,76,7,26,11,,,,,288,2,,,,,111,30,,,,,,,,,,,,,,,,,,,,,101,11,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,53
23,24,1258,12139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,23,,,,,,,1031,24,,,,,,,,,,,10981,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
