,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2243,16921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,11,,,,,,,,,,,,,,,4,55,,,,,,,,,,,,,,,5110,1,,,,,,,,,5535,20,,,,,,,,,,,,,,,1464,8,,,,,,,,,,,,,,,,,,,,,,,,,121,6,,,,,151,9,,,,,,,,,,,,,,,523,19,173,40,,,,,,,,,,,,,7,56,,,,,,,,,,,,,28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,9,,,,,,,,,,,,,,,,,,,,,,,684,6,,,,,723,7,,,19,10,969,14,,,,,,,3,6,,,,,,,,,,,51,5,,,,,480,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,42
11,12,19967,15903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15872,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,70
12,13,25821,15675,,,,,,,,,,,308,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3704,4,,,,,,,,,1118,74,14,3,1238,14,,,,,,,,,,,3485,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069,5
13,14,13,15478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,,,,,,,66,16,,,4,6,53,16,992,23,,,,,10,13,,,6841,14,3,24,1421,12,,,7,5,,,,,2,2,539,26,,,,,,,,,,,2,4,,,,,,,1845,1,,,,,,,,,,,112,15,,,,,,,,,,,,,,,348,27,1260,12,,,,,,,,,,,,,114,9,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,8,101,5,12,46,18,,,,,,,,,,,,,,,,,,,211,22,,,,,230,19,,,38,9,783,16,,,,,,,,,,,,,,,,,9,15,49,6,,,,,36,7,,,,,101,19,,,,,,,,,,,,,,,,,17,26,,,,,,,,,,,,,,,10,13,,,,,,,,,,,,,,,,,,,,,,,297,20
14,15,320,15368,,,,,,,,,,,121,8,,,,,,,,,,,,,7,1,,,111,9,,,,,,,,,6,4,,,,,49,7,,,,,,,86,14,,,7,3,43,17,1076,21,,,,,181,6,,,6132,16,25,2,1351,13,17,9,,,49,12,177,10,,,998,13,,,,,,,5,2,,,6,2,,,11,3,,,93,19,35,5,,,,,,,,,175,8,,,,,447,4,,,,,,,11,4,221,37,329,25,,,,,6,4,,,,,14,2,54,13,,,,,6,5,,,,,,,21,10,,,,,,,,,5,5,,,,,33,6,,,,,,,,,,,,,831,5,15,3,43,20,,,,,1,6,,,,,,,,,,,,,684,5,,,,,174,23,,,167,2,829,15,,,,,,,,,9,3,,,,,,,66,5,55,3,,,,,,,,,,,68,25,,,,,14,5,,,5,4,19,11,,,,,43,10,,,10,1,32,14,,,,,,,,,41,10,,,,,,,,,,,,,,,,,,,,,,,354,17
15,16,1294,14789,,,,,,,,,,,42,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,22,,,,,,,,,,,,,68,13,791,28,,,,,,,,,7727,11,8,8,787,22,,,,,,,129,15,,,2224,3,,,,,,,,,,,,,8,3,,,,,244,12,,,,,,,,,,,83,18,,,,,52,13,,,,,5,3,,,1046,6,,,,,,,,,,,,,,,43,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,,,,,,,,,,,,486,11,,,28,27,,,,,4,3,,,,,,,,,,,,,45,44,,,,,,,,,,,491,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,13,,,,,,,,,,,,,,,,,32,15,,,,,7,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,23
16,17,181,14577,12,4,,,,,,,,,181,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,17,,,,,,,,,,,,,123,8,1307,17,,,,,,,,,7437,12,,,1560,9,,,5,8,,,65,27,,,710,20,,,,,,,,,,,,,,,,,,,422,8,,,,,214,4,,,,,93,17,,,,,,,,,,,,,,,413,24,145,44,,,,,,,,,,,,,,,,,,,6,4,,,,,,,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,16,,,43,19,,,,,,,,,,,,,,,,,,,188,25,,,,,123,28,,,,,641,19,,,,,,,,,,,,,138,2,,,,,,,,,2,2,,,,,,,183,10,,,,,,,,,,,13,12,,,,,29,19,,,,,15,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,30
17,18,2425,13976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,21,15,,,,,,,38,20,,,,,112,10,902,25,,,,,,,,,4377,21,4,18,1503,11,,,6,6,70,10,184,9,,,1138,10,,,,,,,,,,,,,,,,,,,114,17,,,,,,,,,,,120,14,,,,,,,,,,,,,,,654,11,694,16,,,,,,,,,,,,,12,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,25,,,,,,,,,,,,,,,,,,,,,,,188,26,,,,,698,8,,,103,6,2372,5,,,,,,,,,,,,,,,,,33,10,,,,,,,,,,,,,125,17,,,,,6,8,,,,,,,,,,,,,,,,,123,5,,,,,,,,,18,12,,,,,,,,,,,,,,,,,,,,,,,172,29
18,19,50381,13712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,21,,,,,,,,,,,11958,6,,,338,35,,,,,16,18,109,18,,,192,60,,,,,,,,,,,,,,,,,,,170,13,,,,,,,,,,,,,,,,,,,,,,,,,,,582,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,27443,12479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,28,,,,,,,49,19,,,3,8,33,23,1332,16,,,,,,,,,490,134,3,31,511,25,33,5,,,,,73,25,,,306,40,,,,,,,,,,,,,,,,,,,,,,,,,33,13,,,,,,,,,,,,,,,,,,,,,463,22,2178,5,,,,,,,,,,,,,2377,1,,,,,,,,,,,,,,,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,197,23,,,,,,,,,,,,,,,,,,,,,,,235,20,,,,,309,15,,,,,768,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3014,1
20,21,811,11082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,5,,,,,,,17,33,,,,,,,986,24,,,,,,,,,3457,31,,,1522,10,,,,,,,98,22,,,757,17,,,,,,,,,,,,,3,5,,,,,1429,3,,,,,,,,,,,94,16,,,,,,,,,,,,,,,79,76,242,31,,,,,,,,,,,,,245,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,6,,,36,24,,,,,,,,,,,,,,,,,,,313,17,,,,,609,10,,,60,8,254,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,5072,10199,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,15,16,,,,,102,2,,,,,,,,,7,44,,,,,,,,,,,,,145,7,373,51,,,,,,,,,7184,13,3,28,94,66,,,,,,,,,,,316,38,,,,,,,,,,,,,,,15,2,,,,,690,2,,,,,,,,,,,,,,,187,8,,,,,,,,,80,75,240,32,,,,,,,,,,,,,15,34,,,,,,,,,,,,,,,,,,,9,1,,,22,2,,,325,2,,,,,,,,,,,,,,,35,63,3,15,101,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,66,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,19,52,,,,,87,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,65
22,23,2136,9457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,5,,,,,,,,,,,,,,,,,,,,,,,225,7,,,,,,,2541,9,,,,,,,,,2873,35,5,15,221,44,,,,,568,4,,,,,242,51,,,,,,,,,,,,,,,,,,,,,,,,,113,7,,,,,141,10,,,,,,,,,,,,,,,315,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,,,,,,,907,4,,,,,,,,,,,,,,,,,,,,,,,532,9,,,,,,,,,,,161,47,,,,,,,,,,,,,34,6,,,88,2,,,,,,,,,5,3,,,264,6,,,,,,,,,,,,,,,,,32,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,88
23,24,5432,8943,,,,,,,,,,,107,9,,,8,2,,,,,,,,,,,,,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,62,,,,,,,,,5876,17,,,1001,18,,,,,168,7,34,38,,,124,72,,,,,,,,,,,,,,,7,4,,,74,22,173,3,,,,,,,,,,,,,,,243,6,,,,,,,,,132,54,113,49,,,,,,,,,,,,,17,31,,,,,,,,,,,,,,,24,7,,,,,,,5,6,,,30,3,,,,,,,,,,,,,,,83,43,5,13,38,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3,,,17,2,234,3,,,,,,,,,,,16,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,34
24,25,2719,7981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,40,,,,,15,29,526,42,,,,,,,,,5570,19,3,26,341,34,,,,,,,29,43,,,647,22,,,,,,,,,,,,,,,,,,,60,26,,,,,,,,,,,10,42,,,,,,,,,,,,,,,240,35,,,,,,,,,,,,,,,12,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,35,,,,,,,,,,,,,,,,,,,,,,,35,50,,,,,,,,,,,208,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,29,,,,,,,,,,,,,,,,,,,,,,,5,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,36
25,26,822,7926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,13,,,,,,,,,,,,,,,15,24,,,,,,,,,,,1,9,7,46,1018,22,,,,,13,12,,,2738,37,2,33,487,27,,,,,,,158,13,,,311,39,,,,,,,,,,,,,,,,,,,65,24,,,,,,,,,,,78,20,,,,,,,,,,,,,,,478,21,636,18,,,,,,,,,,,,,54,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,17,7,7,56,13,,,,,,,,,,,,,,,,,,,265,18,,,,,102,32,,,,,550,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,14,,,,,,,,,,,,,,,,,,,,,,,4,41,,,,,,,,,1,26,,,,,,,,,,,,,,,,,,,,,,,413,14
26,27,2392,7789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,9,,,,,,,106,13,,,,,,,619,37,,,,,38,9,,,4181,24,,,450,28,,,4,10,154,8,44,35,,,683,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,25,,,,,,,,,,,,,,,343,28,214,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,18,,,48,16,,,,,,,,,,,,,,,,,,,226,21,,,,,104,31,,,,,,,,,,,,,,,,,,,,,,,3,28,,,,,,,21,8,,,,,90,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,37
