,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,1294,23433,,,,,,,,,,,60,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,9,,,,,,,,,,,,,69,16,1689,15,,,,,,,,,8596,14,6,25,1437,12,,,,,,,307,7,,,6299,1,,,,,,,,,,,,,,,,,,,161,9,,,,,,,,,,,211,13,,,,,49,11,,,,,5,5,,,1956,6,,,,,,,,,,,,,,,36,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,,,,,,,,,,,,,549,12,,,34,26,,,,,6,4,,,,,,,,,,,108,35,,,,,,,,,,,1303,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,11,,,,,,,,,,,,,,,,,53,24,,,,,16,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,19
11,12,181,22944,13,3,,,,,,,,,251,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,8,,,,,,,,,,,,,106,14,2498,10,,,,,,,,,11742,9,,,2516,6,,,7,9,,,114,22,,,1410,10,,,,,,,,,,,,,,,,,,,142,10,,,,,254,3,,,,,273,7,,,,,,,,,,,,,,,321,44,126,44,,,,,,,,,,,,,,,,,,,,,12,2,,,,,,,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,14,,,62,17,,,,,,,,,,,,,,,,,326,23,,,,,205,20,,,,,1130,17,,,,,,,,,,,,,130,3,,,,,,,,,,,,,,,,,302,8,,,,,,,,,,,23,12,,,,,139,14,,,,,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,20
12,13,13,22643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,3,,,,,,,189,13,,,7,4,111,11,1479,20,,,,,,,,,11870,8,5,32,2216,9,,,8,7,,,,,4,2,1006,18,,,,,,,,,,,1,4,,,,,,,365,5,,,,,,,,,,,422,3,,,,,,,,,,,,,,,762,24,1201,13,,,,,,,,,,,,,105,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,120,8,9,59,19,,,,,,,,,,,,,,,,,560,14,,,,,432,10,,,69,9,954,19,,,,,,,,,,,,,,,,,15,15,55,6,,,,,42,6,,,,,215,10,,,,,,,,,,,,,,,,,40,26,,,,,,,,,,,,,,,14,15,,,,,,,,,,,,,,,,,,,,,331,15
13,14,2181,22256,,,,,,,,,,,,,,,,,,,,,17,2,,,,,201,5,,,,,,,,,,,,,,,45,10,,,,,,,96,15,,,,,143,10,1485,19,,,,,252,5,,,6850,16,19,5,1146,18,87,3,18,2,,,209,15,,,1259,13,,,,,,,,,,,,,,,,,,,253,6,,,,,79,9,,,,,243,11,,,,,388,5,,,,,,,22,2,67,94,1004,14,,,,,,,36,3,,,,,31,26,,,,,,,,,,,,,,,58,7,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,610,11,17,2,164,5,,,,,,,,,,,,,,,,,1305,3,,,,,312,14,,,137,5,2177,8,,,,,,,15,2,,,,,45,5,,,64,6,26,9,,,,,,,20,2,,,1151,2,,,,,,,,,,,165,4,,,,,860,6,,,,,135,6,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,6
14,15,320,21066,,,,,,,,,,,191,7,,,,,,,,,,,,,,,128,8,,,,,,,,,11,5,,,,,56,7,,,,,,,192,11,,,10,3,60,18,1380,22,,,,,147,6,,,9578,13,19,3,1390,13,35,7,,,38,14,255,13,,,1191,14,,,,,,,5,3,,,11,2,,,10,2,,,76,20,33,5,,,,,,,,,373,4,,,,,465,4,,,,,,,17,3,372,39,352,27,,,,,10,3,,,,,21,2,58,14,,,,,,,9,4,,,,,,,39,9,,,,,,,,,8,4,,,,,57,5,,,,,,,,,,,,,740,8,13,4,37,23,,,,,,,,,,,,,,,,,892,7,,,,,238,17,,,91,7,1447,12,,,,,,,,,6,3,,,,,,,52,9,71,3,,,,,,,,,,,88,30,,,,,16,5,13,2,,,28,9,,,,,242,11,,,12,1,123,7,,,,,,,,,42,11,,,,,,,,,,,,,,,,,,,,,318,16
15,16,822,15705,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,,,,,,,,,,,,,,,41,11,,,,,,,,,,,5,6,24,31,1858,14,,,,,,,,,5802,21,5,35,1176,17,,,,,,,482,4,,,898,21,,,,,,,,,,,,,,,,,,,33,29,,,,,,,,,,,235,12,,,,,,,,,,,,,,,1137,11,668,17,,,,,,,,,,,,,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,13,5,14,71,15,,,,,,,,,,,,,,,,,819,9,,,,,142,27,,,,,954,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,9,,,,,,,,,,,,,,,,,,,,,,,13,30,,,,,,,,,59,7,,,,,,,,,,,,,,,,,,,,,452,13
16,17,2243,15509,,,,,,,,,,,,,,,,,,,,,,,,,,,26,13,,,,,,,,,,,,,,,9,46,,,,,,,,,,,,,,,3434,6,,,,,,,,,6568,17,,,,,,,,,,,,,,,1363,11,,,,,,,,,,,,,,,,,,,,,,,,,68,10,,,,,116,18,,,,,,,,,,,,,,,789,20,225,32,,,,,,,,,,,,,17,41,,,,,,,,,,,,,,,56,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822,5,,,,,,,,,,,,,,,,,,,,,49,55,,,,,576,8,,,12,11,879,21,,,,,,,8,5,,,,,,,,,,,53,8,,,,,403,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,64
17,18,2425,15342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,21,27,,,,,,,,,,,,,62,17,1063,28,,,,,,,,,5716,23,11,10,1181,16,,,8,8,83,9,197,18,,,1056,17,,,,,,,,,,,,,,,,,,,115,11,,,,,,,,,,,101,22,,,,,,,,,,,,,,,767,22,637,18,,,,,,,,,,,,,21,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,21,,,,,,,,,,,,,,,,,,,,,341,22,,,,,350,12,,,129,6,2754,6,,,,,,,,,,,,,,,,,70,5,,,,,,,,,,,,,97,28,,,,,23,4,,,,,,,,,,,,,,,,,107,8,,,,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,160,26
18,19,27443,14626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,43,,,,,,,57,20,,,1,9,38,22,771,41,,,,,,,,,590,151,5,39,680,25,20,11,,,,,80,26,,,467,38,,,,,,,,,,,,,,,,,,,,,,,,,51,12,,,,,,,,,,,,,,,,,,,,,1042,16,4074,2,,,,,,,,,,,,,2299,1,,,,,,,,,,,,,,,,,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,185,28,,,,,,,,,,,,,,,,,,,,,356,20,,,,,266,15,,,,,729,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2864,1
19,20,25821,13398,,,,,,,,,,,89,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3431,7,,,,,,,,,879,111,7,24,1522,11,,,,,,,,,,,3486,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2423,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1543,2,,,,,,,,,,,,,,,,,,,,,,,,,,,18,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,2719,13392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,85,,,,,,,3,62,,,,,21,34,675,44,,,,,,,,,10322,12,6,27,465,32,,,,,,,50,36,,,856,23,,,,,,,,,,,,,,,,,,,82,19,,,,,,,,,,,12,47,,,,,,,,,,,,,,,297,46,,,,,,,,,,,,,,,11,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,42,,,,,,,,,,,,,,,,,,,,,58,52,,,,,,,,,,,211,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,,,,,,,,,,,,,,,,,,5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,25
21,22,811,12180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,4,,,,,,,19,39,,,,,,,1061,29,,,,,,,,,3896,38,,,2391,8,,,,,,,211,14,,,878,22,,,,,,,,,,,,,,,,,,,398,4,,,,,,,,,,,174,16,,,,,,,,,,,,,,,133,67,238,30,,,,,,,,,,,,,204,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,7,,,29,27,,,,,,,,,,,,,,,,,798,12,,,,,457,9,,,75,8,358,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,39856,11859,,,,,,,,,,,,,,,,,,,,,,,,,,,129,7,,,,,,,,,,,,,,,36,13,,,,,,,94,16,,,,,20,36,1167,25,,,,,,,,,4200,36,,,,,,,,,,,,,,,1547,7,,,,,,,,,,,,,,,,,,,93,16,,,,,,,,,,,311,6,,,,,,,,,,,,,,,1794,7,,,,,,,,,,,,,,,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,40,,,,,,,,,,,,,,,,,811,11,,,,,,,,,,,1340,14,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,22
23,24,2952,11825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,22,,,,,,,,,,,,,327,4,1609,17,,,,,,,,,5051,30,6,28,1026,21,,,4,12,,,292,10,,,1110,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,17,,,,,,,,,1227,10,26,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,16,,,93,13,,,,,,,,,,,,,,,,,,,,,,,135,28,,,,,204,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,2136,11613,,,,,,,,,,,,,,,,,,,,,,,,,,,158,6,,,,,,,,,,,,,,,,,,,,,,,284,4,,,,,,,3590,5,,,,,,,,,3219,44,13,8,149,56,,,,,332,4,,,,,243,62,,,,,,,,,,,,,,,,,,,,,,,,,116,6,,,,,177,15,,,,,,,,,,,,,,,670,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,865,4,,,,,,,,,,,,,,,,,,,,,1048,4,,,,,,,,,,,88,71,,,,,,,,,,,,,19,7,,,82,3,,,,,,,,,6,3,,,339,6,,,,,,,,,,,,,,,,,167,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,67
25,26,2392,10195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31,,,,,,,203,10,,,,,,,923,33,,,,,,,,,5593,25,,,419,34,,,17,4,155,8,,,,,984,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,30,,,,,,,,,,,,,,,504,35,232,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,27,,,37,24,,,,,,,,,,,,,,,,,509,15,,,,,129,29,,,,,,,,,,,,,,,,,,,,,,,22,12,,,,,,,20,9,,,,,137,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,54
26,27,1111,9916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,26,,,,,,,,,,,,,,,1362,23,,,,,68,7,,,5203,29,,,791,23,,,,,,,,,,,309,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,2921,9828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,29,,,,,,,,,,,,,,,938,32,,,,,,,,,5980,20,,,,,,,,,,,,,,,438,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892,10,,,,,,,,,,,,,137,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,22,,,,,,,,,,,,,,,,,,,,,,,,,,,178,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
