,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
10,11,320,24413,,,,,,,,,,,108,7,,,,,,,,,,,,,,,96,7,,,,,,,,,16,4,,,,,49,4,,,,,,,73,16,,,12,4,56,17,1062,19,,,,,117,6,,,15602,7,19,4,1575,8,20,8,,,,,134,10,,,1224,9,,,,,10,2,,,12,1,,,11,3,71,20,31,4,,,,,,,,,233,6,,,,,272,5,,,,,,,14,4,231,33,345,28,,,25,2,,,,,10,2,40,22,,,,,,,14,3,,,,,,,20,10,,,,,,,,,11,3,,,,,47,4,,,,,,,,,,,,,499,9,15,3,58,13,,,,,,,,,,,,,376,14,,,,,193,19,,,125,3,878,16,,,,,,,,,10,3,,,,,,,73,5,45,4,,,,,,,,,,,72,26,,,,,11,5,13,2,,,39,10,,,,,89,13,,,14,1,46,12,,,,,,,,,32,10,,,,,,,,,,,,,,,,,,,265,17
11,12,2093,23149,,,,,,,,,,,35,10,,,,,,,9,4,,,,,,,33,11,,,,,11,4,8,3,,,,,,,29,11,9,2,,,,,111,13,,,,,49,18,808,27,,,,,,,,,8912,14,8,15,934,16,,,,,17,11,50,25,,,578,24,,,,,,,12,2,,,,,,,52,25,10,5,,,27,13,,,,,70,22,,,,,193,9,,,,,,,,,460,17,5059,2,11,2,,,,,4,3,,,408,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,2,,,,,,,,,,,,,218,21,,,43,18,,,,,,,,,,,,,174,26,,,,,363,11,,,,,1292,12,,,,,9,2,,,,,,,,,,,27,11,8,12,,,,,,,13,1,,,89,20,,,,,,,,,,,210,2,,,,,37,22,,,,,38,13,,,,,,,,,297,3,,,,,,,,,,,26,2,,,,,,,2202,3
12,13,50381,16992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16236,4,,,,,,,,,13,13,138,9,,,,,,,,,,,,,,,,,,,81,18,,,,,,,,,,,,,,,,,,,,,,,,,,,524,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,181,16677,7,4,,,,,,,,,342,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,14,,,,,,,,,,,,,139,5,1409,16,,,,,,,,,9182,12,,,1526,10,,,8,7,,,35,31,,,825,14,,,,,,,,,,,,,,,369,8,,,,,236,2,,,,,106,16,,,,,,,,,,,,,,,176,44,136,42,,,,,,,,,,,,,,,,,,,7,6,,,,,,,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,16,,,51,15,,,,,,,,,,,,,182,24,,,,,144,23,,,,,883,15,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,231,6,,,,,,,,,,,20,12,,,,,82,14,,,,,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,24
14,15,13,15514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,7,,,,,,,126,12,,,4,8,62,15,1017,21,,,,,,,,,8122,16,8,13,1171,12,,,3,11,,,,,4,2,570,25,,,,,,,,,,,,,,,582,5,,,,,,,,,,,124,14,,,,,,,,,,,,,,,328,26,1270,10,,,,,,,,,,,183,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,88,6,11,38,21,,,,,,,,,,,,,312,15,,,,,286,15,,,58,8,708,20,,,,,,,,,,,,,,,,,8,19,43,6,,,,,40,5,,,,,148,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,,,,,,,,,,,,,,,,,,,235,18
15,16,25821,15236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2665,9,,,,,,,,,3,949,13,8,,,,,,,,,,,,,2430,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8984,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115,2,,,,,,,,,,,,,,,,,,,,,,,26,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,19967,12962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12937,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,75
17,18,1294,12418,,,,,,,,,,,40,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,,,,,,,,,,,,,62,16,589,37,,,,,,,,,7400,18,10,10,638,18,,,,,,,93,16,,,1212,11,,,,,,,,,,,,,,,245,11,,,,,,,,,,,86,19,,,,,15,14,,,,,3,4,,,548,9,,,,,,,,,,,,,123,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,,,,,,382,14,,,37,22,,,2,6,,,,,,,,,69,41,,,,,,,,,,,447,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,12,,,,,,,,,,,,,,,,,41,20,,,,,13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,23
18,19,712,11920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,53,,,,,,,,,,,,,34,22,981,22,,,,,,,,,8131,15,,,362,27,,,,,,,88,17,,,1464,6,,,,,,,,,,,,,,,,,,,,,,,,,,,31,24,,,,,,,,,,,,,,,448,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,27,,,,,,,,,,,,,109,31,,,,,,,,,,,125,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,22,,,,,,,,,,,,,,,,,,,,,,,26,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,2425,11543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,8,35,,,,,,,,,,,,,127,6,848,25,,,,,,,,,3952,25,5,25,1062,13,,,6,8,55,8,127,11,,,823,15,,,,,,,,,,,,,,,123,15,,,,,,,,,,,,,,,,,,,,,,,,,,,510,13,735,18,,,,,,,,,,,48,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,30,,,,,,,,,,,,,,,,,243,20,,,,,433,9,,,96,5,1780,10,,,,,,,,,,,,,,,,,62,7,,,,,,,,,,,,,100,17,,,,,,,,,,,,,,,,,,,,,,,144,4,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,91,34
20,21,5072,9344,,,,,,,,,,,7,16,,,,,,,,,,,,,,,19,16,,,,,26,2,,,,,,,,,8,39,,,,,,,,,,,,,85,12,455,43,,,,,,,,,7055,19,4,28,66,68,,,,,,,,,,,237,45,,,,,,,,,,,,,14,2,,,265,2,,,,,,,,,,,,,,,218,6,,,,,,,,,94,62,373,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,,,36,2,,,98,2,,,,,,,,,,,,,,,41,61,4,14,40,20,,,,,,,,,,,,,,,,,,,,,,,,,84,63,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,14,66,,,,,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,59
21,22,822,9016,,,,,,,,,,,,,,,,,,,,,,,,,,,27,14,,,,,,,,,,,,,,,20,15,,,,,,,,,,,6,7,12,42,1050,20,,,,,,,,,3795,28,6,21,474,21,,,,,,,155,7,,,626,21,,,,,,,,,,,,,,,68,21,,,,,,,,,,,98,17,,,,,,,,,,,,,,,404,21,657,19,,,,,,,,,,,47,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,17,8,7,46,16,,,,,,,,,,,,,500,8,,,,,113,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,14,,,,,,,,,,,,,,,,,,,,,,,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,12
22,23,811,8567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,9,,,,,,,27,24,,,,,,,748,28,,,,,,,,,2762,40,,,1214,11,,,,,,,50,24,,,586,23,,,,,,,,,,,,,,,736,4,,,,,,,,,,,76,20,,,,,,,,,,,,,,,48,88,197,39,,,,,,,,,,,352,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,6,,,26,29,,,,,,,,,,,,,444,10,,,,,211,17,,,55,9,257,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,5432,8283,,,,,,,,,,,82,8,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,72,,,,,,,,,5829,20,,,974,15,,,,,71,6,14,56,,,150,65,,,,,,,,,,,,,7,4,46,30,37,3,,,,,,,,,,,,,,,201,7,,,,,,,,,99,60,80,52,,,,,,,,,,,13,40,,,,,,,,,,,,,,,,,25,7,,,,,,,8,5,,,28,3,,,,,,,,,,,,,,,77,46,7,9,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,3,3,,,200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,40
24,25,2136,7835,,,,,,,,,,,,,,,,,,,,,,,,,,,93,8,,,,,,,,,,,,,,,,,,,,,,,202,8,,,,,,,2742,8,,,,,,,,,2381,45,17,5,120,53,,,,,147,4,,,,,188,57,,,,,,,,,,,,,,,,,,,,,100,7,,,,,132,12,,,,,,,,,,,,,,,183,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,,,,,,,624,8,,,,,,,,,,,,,,,,,458,9,,,,,,,,,,,57,72,,,,,,,,,,,,,,,,,84,3,,,,,,,,,6,2,,,221,7,,,,,,,,,,,,,,,,,40,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,67
25,26,6819,7766,,,,,,,,,,,,,,,,,,,,,,,,,,,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,14,4938,2,,,,,,,,,1375,72,8,16,,,,,,,,,22,40,,,341,38,,,,,,,,,,,,,,,49,29,,,,,,,,,,,,,,,,,,,,,,,15,3,,,99,61,,,,,,,,,,,,,19,36,,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,81,42,,,26,30,,,,,,,,,,,,,300,17,,,,,59,33,,,,,163,46,,,,,,,,,,,,,,,,,8,22,,,,,,,,,,,,,68,32,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,36
26,27,2719,7615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,80,,,,,,,,,,,,,29,24,465,42,,,,,,,,,5775,21,4,27,232,35,,,,,,,26,37,,,523,27,,,,,,,,,,,,,,,62,22,,,,,,,,,,,6,46,,,,,,,,,,,,,,,156,47,,,,,,,,,,,,,9,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,54,,,,,,,,,,,,,,,,,36,56,,,,,,,,,,,119,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,40,,,,,,,,,,,,,,,,,,,,,,,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,37
27,28,4192,6857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,38,,,,,,,62,18,,,,,48,19,1143,18,,,,,,,,,3,947,,,311,29,,,,,,,74,20,,,47,126,,,,,,,,,,,13,3,,,26,37,,,,,,,,,,,146,11,,,,,,,,,,,,,,,522,11,800,17,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,19,,,,,,,,,,,,,,,,,178,25,,,,,,,,,,,3105,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,21,,,,,,,,,,,,,,,,,,,,,,,51,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,2392,6593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,30,,,,,,,68,17,,,,,,,526,39,,,,,,,,,3872,26,,,271,33,,,20,4,68,7,,,,,569,26,,,,,,,,,,,,,,,,,,,,,,,,,,,7,44,,,,,,,,,,,,,,,242,32,264,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,24,,,33,24,,,,,,,,,,,,,188,23,,,,,123,24,,,,,,,,,,,,,,,,,,,,,,,7,23,,,,,,,10,10,,,,,67,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,46
