,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,811,23283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,6,,,,,,,14,58,,,,,,,1542,15,,,,,,,,,,,7294,11,2,39,736,20,,,,,,,193,12,,,,,2092,8,,,,,,,,,,,,,,,9,5,,,,,,,547,5,,,,,,,,,,,167,12,,,,,,,,,,,,,,,,,75,72,364,23,,,,,,,,,,,,,504,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197,4,,,32,25,,,,,,,,,,,,,,,,,,,,,400,17,,,,,426,12,,,,,197,3,410,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,19,,,,,47,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6929,1
11,12,29351,21807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,,,,,,,,,,,,,,,,,4,79,,,,,,,170,13,,,,,,,2968,7,,,,,,,,,,,3161,29,,,140,52,122,2,,,,,173,15,,,,,379,46,,,,,,,,,,,,,,,,,,,,,,,220,9,,,,,,,,,,,78,20,41,5,,,,,,,,,,,,,,,,,98,56,,,,,,,,,,,,,23,39,,,,,,,,,,,,,,,,,,,234,2,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,24,,,,,,,,,,,,,,,,,,,,,,,,,946,6,,,,,,,,,,,,,10987,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,34,,,,,,,,,,,,,,,,,,,,,,,,,,,904,1,,,,,,,,,609,5,,,,,,,,,,,,,,,,,,,,,,,112,50
12,13,2243,19580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,12,,,,,,,,,,,,,,,25,18,,,,,,,,,,,,,,,3426,4,,,,,,,,,,,6434,14,,,,,,,,,,,8,110,,,,,1773,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,5,,,,,184,10,,,,,,,,,,,,,,,,,568,16,646,18,,,,,,,,,,,,,25,37,,,,,,,,,,,,,,,,,,,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,2,,,,,,,,,,,5,6,,,,,,,,,,,,,1454,4,,,,,427,11,,,,,42,10,1394,13,,,,,,,,,,,5,6,,,,,,,,,,,277,2,,,,,744,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,33
13,14,1294,16761,,,,,,,,,,,28,23,,,,,,,,,15,4,,,,,,,,,,,,,,,,,5,24,,,,,,,,,,,,,,,31,10,,,,,,,,,,,,,57,18,650,30,,,,,,,,,,,10968,8,5,24,682,23,,,4,11,84,11,153,19,,,,,1406,13,,,,,,,,,,,,,,,5,9,,,,,,,156,11,,,,,,,,,,,70,22,,,,,,,25,13,,,,,11,2,12,8,770,11,,,,,,,,,,,,,,,154,9,,,,,,,,,,,,,,,,,,,,,20,9,,,,,,,6,4,,,,,,,5,11,,,,,,,,,,,,,387,16,,,25,26,,,,,,,7,5,,,,,,,,,,,,,36,55,,,,,,,,,,,,,376,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,13,,,,,129,20,,,,,,,,,,,,,51,11,,,,,,,8,39,,,,,14,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,24
14,15,2425,16421,,,,,,,,,,,134,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,18,30,,,,,,,164,14,,,,,60,17,1403,16,,,,,,,,,,,4856,22,4,29,1135,14,,,4,12,155,9,172,16,,,,,1097,16,,,,,22,2,,,,,,,,,,,,,,,,,177,10,,,,,,,,,,,169,11,13,10,,,,,,,,,,,,,,,738,12,554,20,,,,,,,,,,,,,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,18,,,,,,,,,,,,,,,,,,,,,,,,,605,10,,,,,639,7,,,,,132,7,2897,8,,,,,,,,,,,,,,,,,,,,,68,9,,,,,,,,,,,,,168,16,,,,,7,8,,,,,,,,,,,,,,,112,12,,,,,276,4,,,,,,,,,39,19,,,,,,,,,,,,,,,,,,,,,,,240,31
15,16,25821,16232,,,,,,,,,,,543,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3174,6,,,,,,,,,,,1126,85,13,9,1068,16,,,,,,,,,,,,,5267,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,9,,,,,,,,,,,,,,,,,,,,,,,534,22
16,17,13,15555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,8,,,,,,,95,20,,,6,6,41,24,990,21,,,,,,,48,11,,,6999,12,5,22,1667,8,,,8,4,,,43,43,,,4,2,497,35,,,,,,,,,,,,,,,,,,,,,,,553,4,,,,,,,,,,,100,18,,,6,1,,,,,,,,,,,,,244,33,1067,12,,,,,,,,,,,,,83,13,,,,,,,,,,,,,,,,,,,,,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,14,27,4,60,20,,,,,,,,,,,,,,,,,,,,,220,23,,,,,334,16,,,,,34,12,735,19,,,,,,,,,,,,,,,,,,,,,14,17,41,10,,,,,46,11,,,,,197,13,,,,,,,,,,,,,,,,,,,,,14,34,,,,,29,22,,,,,,,,,29,21,,,,,,,,,,,,,,,,,,,,,,,686,19
17,18,320,14728,,,,,,,,,,,147,14,,,,,,,,,12,6,,,,,,,,,,,,,11,1,,,69,9,,,,,,,,,14,3,,,,,30,12,,,,,,,141,16,,,10,5,28,25,999,20,,,,,,,147,6,,,5016,21,13,7,1091,15,21,8,7,5,72,14,264,8,,,,,2239,7,,,,,18,4,3,3,,,,,10,2,6,7,17,3,,,,,66,25,65,6,,,,,,,,,280,6,,,,,,,182,8,,,,,,,11,9,251,32,232,36,,,,,15,4,,,,,27,3,45,25,,,,,,,4,8,,,,,,,,,,,27,8,13,10,,,,,,,,,4,7,,,,,84,6,,,,,,,,,,,,,602,13,26,5,48,22,,,,,,,10,4,,,,,,,,,,,,,464,12,,,,,194,18,,,,,90,8,833,17,,,,,,,,,,,,,3,3,,,,,,,99,5,63,8,,,,,20,16,,,,,48,39,,,,,10,7,,,,,,,36,14,,,,,16,4,30,26,,,9,1,27,23,,,,,,,,,77,15,,,,,,,,,,,5,9,,,,,,,,,,,327,26
18,19,5072,13885,,,,,,,,,,,362,8,,,,,,,,,,,,,,,,,,,,,,,,,,,14,17,,,,,179,2,,,,,,,,,4,77,,,,,,,,,,,,,119,9,387,52,,,,,,,,,,,10023,10,4,30,124,57,,,,,33,17,,,,,,,430,39,,,,,,,,,,,,,,,,,61,2,,,,,,,282,2,,,,,,,,,,,,,,,,,94,10,,,,,,,,,121,49,299,30,,,,,,,,,,,,,62,19,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,,,26,4,,,477,2,151,3,,,,,,,,,,,,,36,71,15,7,114,14,,,,,,,,,,,,,,,,,,,,,,,,,,,48,41,,,,,,,96,65,,,,,,,,,,,,,,,,,,,37,2,,,,,,,,,,,,,,,25,54,,,,,142,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,62
19,20,2136,13460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,7,,,,,,,,,,,,,,,,,,,,,,,303,8,,,,,,,2337,10,,,,,,,,,,,4025,26,6,20,207,44,,,,,2372,4,,,,,,,408,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,6,,,,,230,9,18,6,,,,,,,,,,,,,,,387,24,,,,,,,,,,,,,,,17,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,858,8,,,,,,,,,,,,,,,,,,,,,,,,,668,9,,,,,,,,,,,,,51,84,,,,,,,,,,,,,,,,,19,7,,,168,4,,,,,4,4,230,5,11,3,,,423,7,,,,,,,,,,,,,,,,,,,,,216,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,59
20,21,3886,10616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,3,,,,,,,,,,,,,,,17,31,,,,,,,197,11,,,,,134,8,2391,8,,,,,,,,,,,2253,47,8,16,386,32,11,13,4,14,148,10,193,13,,,,,666,24,,,,,9,5,,,,,,,,,,,,,,,,,28,41,,,,,,,,,,,585,3,,,,,,,,,,,,,,,,,978,8,180,43,,,,,,,,,,,,,32,31,,,,,,,,,9,3,,,15,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,31,1,18,122,12,,,,,,,,,,,,,,,,,,,,,255,20,,,,,439,10,,,,,133,6,215,43,,,,,,,,,,,,,,,,,,,,,81,8,13,14,,,,,372,3,,,,,102,25,,,,,,,,,,,,,,,,,,,,,77,17,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,48
21,22,181,10397,10,3,,,,,,,,,177,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,25,,,,,,,,,,,,,87,12,853,23,,,,,,,,,,,5414,19,,,865,19,,,3,17,,,45,41,,,,,794,21,,,,,,,,,,,,,,,,,,,,,,,129,15,,,,,155,9,,,,,64,23,,,,,,,,,,,,,,,,,148,46,104,54,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,28,,,70,17,,,,,,,,,,,,,,,,,,,,,108,31,,,,,112,26,,,,,,,399,27,,,,,,,,,,,,,,,,,202,2,,,,,,,,,6,3,,,,,,,141,18,,,,,,,,,,,,,19,15,,,,,,,27,27,,,,,19,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,35
22,23,178900,9651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,42,,,,,,,181,12,,,,,,,418,49,,,,,,,,,,,6067,15,,,,,,,,,,,,,,,,,370,48,,,,,,,,,,,,,,,,,,,,,,,276,7,,,,,,,,,,,27,36,,,,,,,,,,,,,,,,,86,66,1423,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,54,,,,,,,,,,,,,,,,,,,,,,,,,111,30,,,,,,,,,,,,,581,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
