,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
10,11,463,22933,,,9,2,,,,,,,,,,,,,,,,,,,,,,,40,10,,,,,,,,,2,8,,,,,17,18,,,,,,,264,5,,,,,78,12,2111,11,,,,,,,,,11558,7,,,,,13,12,,,,,148,13,,,,,,,,,,,,,,,,,,,89,16,,,,,30,13,,,,,95,19,,,,,22,14,,,,,,,,,886,7,2772,4,,,,,,,,,,,115,9,,,,,,,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,17,15,3,47,20,,,,,,,,,,,,,497,16,,,,,920,3,,,,,1932,10,,,,,,,,,,,,,,,,,,,17,9,,,,,20,7,,,,,149,15,,,,,,,,,,,42,8,,,,,96,16,,,,,35,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,9
11,12,2181,21179,,,,,,,,,,,,,,,,,,,,,10,2,,,,,174,4,,,,,,,,,,,,,,,37,7,,,,,,,109,14,,,,,159,4,1614,14,,,,,199,5,,,6268,16,10,6,1374,9,124,2,7,4,,,180,7,,,1262,12,,,,,,,,,,,,,,,294,5,,,,,74,9,,,,,197,9,,,,,378,5,,,,,,,14,4,139,58,1074,13,,,,,13,3,,,,,21,32,,,,,,,,,,,,,,,43,9,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,682,11,14,4,183,6,,,,,,,,,,,,,1226,3,,,,,267,15,,,154,3,2137,9,,,,,,,4,7,,,,,,,,,58,6,22,8,,,,,,,5,2,,,751,3,,,,,,,,,,,141,5,,,,,785,5,,,,,116,4,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,832,7
12,13,181,20082,15,3,,,,,,,,,195,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,13,,,,,,,,,,,,,123,8,1910,12,,,,,,,,,11286,8,,,1758,5,,,3,12,,,97,21,,,1398,11,,,,,,,,,,,,,,,90,15,,,,,284,2,,,,,159,12,,,,,,,,,,,,,,,187,48,149,40,,,,,,,,,,,,,,,,,,,4,7,,,,,,,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,16,,,73,11,,,,,,,,,,,,,296,24,,,,,164,23,,,,,790,21,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,269,7,,,,,,,,,,,14,11,,,,,83,18,,,,,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,24
13,14,13,18445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,6,,,,,,,164,10,,,4,6,81,11,1371,18,,,,,,,,,9803,11,3,27,1287,10,,,8,3,,,,,5,2,897,20,,,,,,,,,,,,,,,241,7,,,,,,,,,,,240,4,,,,,,,,,,,,,,,367,29,1339,10,,,,,,,,,,,134,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,112,6,11,81,10,,,,,,,,,,,,,477,17,,,,,347,11,,,61,8,862,20,,,,,,,,,,,,,,,,,24,12,44,5,,,,,127,4,,,,,169,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,,,,,,,,,,,,,,,,,,,248,18
14,15,2243,16782,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,,,,,,,,,,,,,,,4,61,,,,,,,,,,,,,,,3350,7,,,,,,,,,7293,14,,,,,,,,,,,,,,,1514,7,,,,,,,,,,,,,,,,,,,,,54,10,,,,,82,20,,,,,,,,,,,,,,,437,23,280,30,,,,,,,,,,,,,,,,,,,,,,,,,,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,9,,,,,,,,,,,,,,,,,1165,4,,,,,334,13,,,41,10,877,19,,,,,,,7,3,,,,,,,,,,,60,3,,,,,364,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,67
15,16,25821,15405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5426,3,,,,,,,,,4,954,7,11,,,,,,,,,,,,,3813,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4957,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187,3,,,,,,,,,,,,,,,,,,,,,,,11,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,1294,14978,,,,,,,,,,,27,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,11,,,,,,,,,,,,,68,14,964,26,,,,,,,,,7337,13,8,7,852,17,,,,,,,218,5,,,1563,5,,,,,,,,,,,,,,,106,10,,,,,,,,,,,139,14,,,,,27,12,,,,,4,5,,,993,6,,,,,,,,,,,,,77,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,554,14,,,44,23,,,4,5,,,,,,,,,83,42,,,,,,,,,,,1492,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,12,,,,,,,,,,,,,,,,,39,21,,,,,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,22
17,18,2425,13164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,25,14,,,,,,,,,,,,,84,10,972,24,,,,,,,,,4576,23,5,16,1058,14,,,2,13,63,8,191,6,,,1078,13,,,,,,,,,,,,,,,92,14,,,,,,,,,,,,,,,,,,,,,,,,,,,565,16,720,17,,,,,,,,,,,10,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,31,,,,,,,,,,,,,,,,,415,19,,,,,457,9,,,107,4,2178,8,,,,,,,,,,,,,,,,,66,5,,,,,,,,,,,,,127,18,,,,,,,,,,,,,,,,,,,,,,,94,6,,,,,,,,,5,18,,,,,,,,,,,,,,,,,,,81,35
18,19,822,11905,,,,,,,,,,,,,,,,,,,,,,,,,,,28,12,,,,,,,,,,,,,,,13,23,,,,,,,,,,,4,7,11,43,1512,15,,,,,,,,,4516,26,7,9,587,23,,,,,,,285,4,,,592,29,,,,,,,,,,,,,,,31,30,,,,,,,,,,,129,16,,,,,,,,,,,,,,,588,13,672,18,,,,,,,,,,,50,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,12,9,7,65,14,,,,,,,,,,,,,835,7,,,,,100,30,,,,,668,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,11,,,,,,,,,,,,,,,,,,,,,,,14,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,11
19,20,811,10426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,,,,,,,32,23,,,,,,,1084,21,,,,,,,,,3238,39,,,1151,13,,,,,,,92,22,,,960,16,,,,,,,,,,,,,,,723,2,,,,,,,,,,,70,21,,,,,,,,,,,,,,,65,86,305,29,,,,,,,,,,,340,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,5,,,44,22,,,,,,,,,,,,,642,10,,,,,221,18,,,54,9,332,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,2136,9639,,,,,,,,,,,,,,,,,,,,,,,,,,,100,8,,,,,,,,,,,,,,,,,,,,,,,243,6,,,,,,,3340,8,,,,,,,,,2583,48,7,10,163,48,,,,,177,4,,,,,250,59,,,,,,,,,,,,,,,,,,,,,125,5,,,,,150,13,,,,,,,,,,,,,,,190,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,,,,,,,849,8,,,,,,,,,,,,,,,,,773,8,,,,,,,,,,,96,62,,,,,,,,,,,,,,,,,90,2,,,,,,,,,3,3,,,383,6,,,,,,,,,,,,,,,,,89,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,82
21,22,27443,9133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,31,,,,,,,40,20,,,5,5,33,23,1250,20,,,,,,,,,921,92,1,43,622,20,15,10,,,,,66,24,,,526,30,,,,,,,,,,,,,,,,,,,,,31,12,,,,,,,,,,,,,,,,,,,,,411,27,,,,,,,,,,,,,687,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,28,,,,,,,,,,,,,,,,,565,14,,,,,177,21,,,,,1172,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2328,1
22,23,2392,8634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16,,,,,,,121,12,,,,,,,961,27,,,,,,,,,4544,24,,,397,28,,,7,5,83,7,,,,,961,15,,,,,,,,,,,,,,,,,,,,,,,,,,,22,30,,,,,,,,,,,,,,,345,32,236,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,26,,,32,25,,,,,,,,,,,,,297,23,,,,,131,25,,,,,,,,,,,,,,,,,,,,,,,5,29,,,,,,,16,9,,,,,141,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,34
23,24,5072,8528,,,,,,,,,,,1,18,,,,,,,,,,,,,,,11,19,,,,,31,2,,,,,,,,,8,37,,,,,,,,,,,,,131,6,597,42,,,,,,,,,5986,17,4,24,88,60,,,,,,,,,,,372,44,,,,,,,,,,,,,7,3,,,97,2,,,,,,,,,,,,,,,275,6,,,,,,,,,105,69,329,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,17,2,,,54,2,,,,,,,,,,,,,,,37,71,13,5,66,13,,,,,,,,,,,,,,,,,,,,,,,,,188,44,,,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,25,47,,,,,42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,71
24,25,2952,8409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,8,,,,,,,,,,,,,101,9,920,29,,,,,,,,,4149,29,8,8,600,22,,,5,9,,,148,14,,,912,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,,,,,,,,,567,15,73,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,19,,,96,7,,,,,,,,,,,,,,,,,,,84,32,,,,,170,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,5432,8277,,,,,,,,,,,66,8,,,10,2,,,,,,,,,,,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,65,,,,,,,,,5564,20,,,1002,16,,,,,121,6,23,47,,,168,69,,,,,,,,,,,,,4,4,105,11,57,3,,,,,,,,,,,,,,,223,7,,,,,,,,,136,59,83,53,,,,,,,,,,,17,40,,,,,,,,,,,,,,,,,19,7,,,,,,,8,5,,,15,3,,,,,,,,,,,,,,,77,53,7,10,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,20,2,,,182,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,46
26,27,2719,7996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,75,,,,,,,,,,,,,28,25,638,41,,,,,,,,,5640,19,3,30,274,35,,,,,,,43,34,,,675,24,,,,,,,,,,,,,,,53,25,,,,,,,,,,,5,49,,,,,,,,,,,,,,,188,47,,,,,,,,,,,,,21,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,51,,,,,,,,,,,,,,,,,39,60,,,,,,,,,,,193,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,31
27,28,6819,7921,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,16,5154,4,,,,,,,,,1338,70,5,18,,,,,,,,,25,43,,,325,53,,,,,,,,,,,,,,,33,28,,,,,,,,,,,,,,,,,,,,,,,5,4,,,89,76,,,,,,,,,,,,,8,52,,,,,,,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,86,49,,,19,30,,,,,,,,,,,,,342,21,,,,,78,33,,,,,139,57,,,,,,,,,,,,,,,,,16,14,,,,,,,,,,,,,53,32,,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,32
28,29,39856,7611,,,,,,,,,,,,,,,,,,,,,,,,,,,102,7,,,,,,,,,,,,,,,26,12,,,,,,,68,17,,,,,30,24,785,36,,,,,,,,,2929,44,,,,,,,,,,,,,,,944,18,,,,,,,,,,,,,,,79,17,,,,,,,,,,,133,15,,,,,,,,,,,,,,,542,19,,,,,,,,,,,,,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,39,,,,,,,,,,,,,562,15,,,,,,,,,,,1107,17,,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,19
