,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,463,24787,4,6,15,2,,,,,,,42,23,,,,,,,,,,,,,,,15,5,,,,,,,,,,,10,18,,,,,,,,,8,4,,,,,16,28,,,,,,,286,9,,,,,58,18,1723,16,,,,,,,,,,,11754,8,3,28,1459,9,12,12,5,8,42,16,120,25,,,,,1227,15,,,,,,,,,,,,,,,,,,,,,,,110,16,,,,,24,14,,,,,88,17,,,,,,,28,12,,,,,,,,,1029,7,2594,4,,,,,,,,,,,,,68,15,3,3,,,,,14,2,,,,,,,,,,,15,11,,,,,,,,,,,,,,,,,7,11,,,,,,,,,,,,,331,18,4,12,53,20,,,,,,,,,,,,,,,,,,,,,389,16,,,,,960,5,,,,,,,999,15,,,,,,,,,,,,,,,,,,,,,,,21,12,,,,,28,14,,,,,166,16,,,,,,,,,,,,,76,7,,,,,,,52,21,,,,,40,20,,,,,,,,,37,18,,,,,,,,,,,,,,,,,,,,,,,852,16
11,12,811,23295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,4,,,,,,,18,51,,,,,,,1719,17,,,,,,,,,,,7622,11,3,30,816,20,,,,,,,263,7,,,,,2049,8,,,,,,,,,,,,,,,10,5,,,,,,,569,4,,,,,,,,,,,167,9,,,,,,,,,,,,,,,,,92,67,313,24,,,,,,,,,,,,,497,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,4,,,29,27,,,,,,,,,,,,,,,,,,,,,427,12,,,,,445,10,,,,,255,3,388,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,20,,,,,47,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6048,3
12,13,29351,22760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,,,,,,,,,,,,,,,,,20,23,,,,,,,201,12,,,,,,,3182,8,,,,,,,,,,,3247,32,,,195,49,171,2,,,,,175,18,,,,,421,41,,,,,,,,,,,,,,,,,,,,,,,208,9,,,,,,,,,,,71,21,120,2,,,,,,,,,,,,,,,,,85,59,,,,,,,,,,,,,19,62,,,,,,,,,,,,,,,,,,,215,2,91,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,26,,,,,,,,,,,,,,,,,,,,,,,,,895,6,,,,,,,,,,,,,11379,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,36,,,,,,,,,,,,,,,,,,,,,,,,,,,946,1,,,,,,,,,659,5,,,,,,,,,,,,,,,,,,,,,,,134,44
13,14,2243,20325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,14,,,,,,,,,,,,,,,15,32,,,,,,,,,,,,,,,3479,7,,,,,,,,,,,7077,13,,,,,,,,,,,11,105,,,,,1732,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,5,,,,,162,11,,,,,,,,,,,,,,,,,561,14,664,16,,,,,,,,,,,,,23,54,,,,,,,,,,,,,,,,,,,41,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715,2,,,,,,,,,,,3,6,,,,,,,,,,,,,1430,4,,,,,415,12,,,,,27,12,1450,13,,,,,,,,,,,3,6,,,,,,,,,,,231,2,,,,,750,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,35
14,15,13,15761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,9,,,,,,,73,23,,,2,11,53,19,1168,21,,,,,,,48,9,,,6819,14,3,26,1829,7,,,3,12,,,42,45,,,1,2,528,32,,,,,,,,,,,,,,,,,,,,,,,479,5,,,,,,,,,,,103,16,,,4,1,,,,,,,,,,,,,248,34,1163,13,,,,,,,,,,,,,69,14,,,,,,,,,,,,,,,,,,,,,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546,14,23,4,48,23,,,,,,,,,,,,,,,,,,,,,229,21,,,,,313,15,,,,,51,10,766,18,,,,,,,,,,,,,,,,,,,,,10,21,46,9,,,,,108,9,,,,,210,13,,,,,,,,,,,,,,,,,,,,,23,32,,,,,44,18,,,,,,,,,20,24,,,,,,,,,,,,,,,,,,,,,,,628,19
15,16,25821,15623,,,,,,,,,,,645,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2681,9,,,,,,,,,,,1000,97,16,5,1110,16,,,,,,,,,,,,,5265,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2198,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,9,,,,,,,,,,,,,,,,,,,,,,,433,21
16,17,320,15282,,,,,,,,,,,126,16,,,,,,,,,14,5,,,,,,,,,,,,,9,1,,,89,8,,,,,,,,,15,3,,,,,36,10,,,,,,,129,15,,,13,4,27,30,1010,23,,,,,,,112,6,,,5224,21,16,4,1136,15,24,7,2,15,81,13,240,8,,,,,2530,7,,,,,20,3,4,2,,,,,6,3,12,4,22,3,,,,,60,27,75,5,,,,,,,,,268,7,,,,,,,200,7,,,,,,,13,6,244,36,284,27,,,,,24,3,,,,,22,3,51,21,,,,,,,5,7,,,,,,,,,,,29,9,16,8,,,,,,,,,15,6,,,,,93,6,,,,,,,,,,,,,567,12,20,5,51,22,,,,,,,9,4,,,,,,,,,,,,,397,14,,,,,183,20,,,,,80,9,929,17,,,,,,,,,,,,,7,3,,,,,,,78,6,85,6,,,,,26,15,,,,,49,39,,,,,9,6,,,,,,,34,14,,,,,11,5,37,25,,,9,1,39,22,,,,,,,,,69,14,,,,,,,,,,,6,8,,,,,,,,,,,291,25
17,18,2425,14861,,,,,,,,,,,156,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,15,34,,,,,,,124,16,,,,,68,13,1069,22,,,,,,,,,,,4191,29,2,39,1178,13,,,2,18,134,10,203,13,,,,,1073,16,,,,,18,4,,,,,,,,,,,,,,,,,167,10,,,,,,,,,,,141,13,4,12,,,,,,,,,,,,,,,482,18,529,19,,,,,,,,,,,,,16,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,25,,,,,,,,,,,,,,,,,,,,,,,,,686,10,,,,,629,6,,,,,149,7,2649,9,,,,,,,,,,,,,,,,,,,,,61,11,,,,,,,,,,,,,135,22,,,,,9,7,,,,,,,,,,,,,,,161,11,,,,,289,5,,,,,,,,,37,19,,,,,,,,,,,,,,,,,,,,,,,220,32
18,19,1294,14743,,,,,,,,,,,47,22,,,,,,,,,10,6,,,,,,,,,,,,,,,,,1,28,,,,,,,,,,,,,,,19,24,,,,,,,,,,,,,51,20,572,37,,,,,,,,,,,9267,10,5,20,656,22,,,2,16,99,11,178,16,,,,,1377,13,,,,,,,,,,,,,,,2,9,,,,,,,164,11,,,,,,,,,,,74,19,,,,,,,16,16,,,,,9,2,5,11,632,13,,,,,,,,,,,,,,,132,10,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,4,4,,,,,,,8,10,,,,,,,,,,,,,371,16,,,35,25,,,,,,,2,8,,,,,,,,,,,,,36,55,,,,,,,,,,,,,353,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,11,,,,,157,18,,,,,,,,,,,,,42,11,,,,,,,14,35,,,,,11,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,24
19,20,300010,14138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,318977,13236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13236,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,2136,13091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,7,,,,,,,,,,,,,,,,,,,,,,,304,8,,,,,,,2030,14,,,,,,,,,,,4373,26,6,17,223,45,,,,,2074,4,,,,,,,392,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,8,,,,,152,12,12,9,,,,,,,,,,,,,,,362,24,,,,,,,,,,,,,,,21,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,913,9,,,,,,,,,,,,,,,,,,,,,,,,,701,9,,,,,,,,,,,,,41,90,,,,,,,,,,,,,,,,,15,7,,,123,4,,,,,7,3,208,5,8,3,,,395,8,,,,,,,,,,,,,,,,,,,,,285,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,51
22,23,181,11308,15,3,,,,,,,,,252,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,13,,,,,,,,,,,,,93,11,938,24,,,,,,,,,,,5945,18,,,980,18,,,7,6,,,49,38,,,,,810,19,,,,,,,,,,,,,,,,,,,,,,,116,15,,,,,140,9,,,,,43,27,,,,,,,,,,,,,,,,,131,50,126,51,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,32,,,53,19,,,,,,,,,,,,,,,,,,,,,114,30,,,,,115,26,,,,,,,482,23,,,,,,,,,,,,,,,,,193,2,,,,,,,,,6,4,,,,,,,144,20,,,,,,,,,,,,,37,12,,,,,,,33,26,,,,,27,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,31
