,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,811,20595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,11,,,,,,,11,56,,,,,,,1319,15,,,,,,,,,,,6592,13,6,14,736,22,,,,,,,132,19,,,,,1201,9,,,,,,,,,,,,,,,5,5,,,,,,,420,5,,,,,,,,,,,117,12,,,,,,,,,,,,,,,,,66,78,234,34,,,,,,,,,,,,,150,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,7,,,17,28,,,,,,,,,,,,,,,,,,,,,286,19,,,,,309,13,,,,,202,3,259,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,26,,,,,35,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7911,1
11,12,2425,18392,,,,,,,,,,,137,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,,,,,,,48,7,,,,,,,168,10,,,,,50,13,1203,16,,,,,,,,,,,4894,21,5,23,2007,7,,,14,3,194,9,195,9,,,,,1090,12,,,,,13,3,,,,,,,,,,,,,,,,,111,10,,,,,,,,,,,199,8,9,8,,,,,,,,,,,,,,,913,7,497,20,,,,,,,,,,,,,7,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,19,,,,,,,,,,,,,,,,,,,,,,,,,682,7,,,,,1231,3,,,,,192,4,3069,6,,,,,,,,,,,,,,,,,,,,,51,8,,,,,,,,,,,,,267,7,,,,,5,7,,,,,,,,,,,,,,,215,10,,,,,347,3,,,,,,,,,33,19,,,,,,,,,,,,,,,,,,,,,,,279,28
12,13,29351,17511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,,,,,,,,,,,,,7,66,,,,,,,84,21,,,,,,,2506,5,,,,,,,,,,,2733,37,,,166,48,147,2,,,,,116,23,,,,,322,43,,,,,,,,,,,,,,,,,,,,,,,209,9,,,,,,,,,,,29,32,24,5,,,,,,,,,,,,,,,,,112,54,,,,,,,,,,,,,19,42,,,,,,,,,,,,,,,,,,,170,2,90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,31,,,,,,,,,,,,,,,,,,,,,,,,,511,10,,,,,,,,,,,,,8625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,44,,,,,,,,,,,,,,,,,,,,,,,,,,,699,1,,,,,,,,,677,4,,,,,,,,,,,,,,,,,,,,,,,113,46
13,14,320,16239,,,,,,,,,,,92,18,,,,,,,,,10,6,,,,,,,,,,,,,16,1,,,74,9,,,,,,,,,10,4,,,,,46,8,,,,,,,119,15,,,14,3,22,26,1040,20,,,,,,,115,6,,,6192,14,15,5,1349,11,20,8,7,10,93,12,148,15,,,,,2100,5,,,,,10,4,3,3,,,,,20,1,13,4,17,3,,,,,53,29,93,5,,,,,,,,,192,9,,,,,,,133,8,,,,,,,8,8,234,30,268,30,,,,,6,6,,,,,25,2,87,13,,,,,,,9,5,,,,,,,,,,,31,9,6,14,,,,,,,,,10,6,,,,,202,3,,,,,,,,,,,,,405,10,36,2,59,12,,,,,,,17,3,,,,,,,,,,,,,479,12,,,,,196,19,,,,,108,8,939,15,,,,,,,,,,,,,5,3,,,,,,,124,3,302,2,,,,,30,15,,,,,53,30,,,,,13,5,,,,,,,32,13,,,,,27,2,53,23,,,12,1,44,18,,,,,,,,,72,16,,,,,,,,,,,2,11,,,,,,,,,,,329,26
14,15,5072,15759,,,,,,,,,,,373,7,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,,,,,207,2,,,,,,,,,13,41,,,,,,,,,,,,,115,6,315,55,,,,,,,,,,,12141,7,7,13,89,71,,,,,27,18,,,,,,,326,42,,,,,,,,,,,,,,,,,45,2,,,,,,,378,2,,,,,,,,,,,,,,,,,109,10,,,,,,,,,63,81,245,32,,,,,,,,,,,,,78,14,,,,,,,,,,,,,,,,,,,,,,,,,,,44,1,,,56,2,,,393,2,132,6,,,,,,,,,,,,,37,62,18,4,62,11,,,,,,,,,,,,,,,,,,,,,,,,,,,29,51,,,,,,,80,65,,,,,,,,,,,,,,,,,,,44,2,,,,,,,,,,,,,,,31,41,,,,,189,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,59
15,16,2243,15226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15,,,,,,,,,,,,,,,7,65,,,,,,,,,,,,,,,2381,6,,,,,,,,,,,5895,15,,,,,,,,,,,7,118,,,,,918,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,7,,,,,80,15,,,,,,,,,,,,,,,,,522,16,762,16,,,,,,,,,,,,,18,43,,,,,,,,,,,,,,,,,,,48,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,5,,,,,,,,,,,3,6,,,,,,,,,,,,,979,5,,,,,528,9,,,,,32,12,1699,12,,,,,,,,,,,1,7,,,,,,,,,,,65,6,,,,,356,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,31
16,17,13,13800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,24,,,,,,,66,22,,,8,6,30,21,894,22,,,,,,,43,11,,,6622,12,12,8,1534,8,,,9,8,,,26,49,,,5,2,404,29,,,,,,,,,,,,,2,4,,,,,,,,,431,4,,,,,,,,,,,73,17,,,3,1,,,,,,,,,,,,,196,37,966,13,,,,,,,,,,,,,51,17,,,,,,,,,,,,,,,,,,,,,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,16,9,9,30,21,,,,,,,,,,,,,,,,,,,,,189,23,,,,,268,15,,,,,56,9,628,18,,,,,,,,,,,,,,,,,,,,,11,22,27,9,,,,,50,10,,,,,84,22,,,,,,,,,,,,,,,,,,,,,27,30,,,,,37,19,,,,,,,,,29,20,,,,,,,,,,,,,,,,,,,,,,,648,20
17,18,25821,12965,,,,,,,,,,,333,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,13,,,,,,,,,,,1035,81,4,35,1075,15,,,,,,,,,,,,,5225,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,10,,,,,,,,,,,,,,,,,,,,,,,519,21
18,19,1294,12116,,,,,,,,,,,38,22,,,,,,,,,15,4,,,,,,,,,,,,,,,,,8,20,,,,,,,,,,,,,,,29,17,,,,,,,,,,,,,44,15,617,29,,,,,,,,,,,7135,11,5,20,643,24,,,10,6,99,11,153,14,,,,,1091,11,,,,,,,,,,,,,,,4,7,,,,,,,101,12,,,,,,,,,,,63,18,,,,,,,15,15,,,,,7,4,13,6,686,10,,,,,,,,,,,,,,,117,10,,,,,,,,,,,,,,,,,,,,,17,11,,,,,,,8,4,,,,,,,7,10,,,,,,,,,,,,,247,17,,,27,24,,,,,,,5,4,,,,,,,,,,,,,29,59,,,,,,,,,,,,,312,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,14,,,,,107,18,,,,,,,,,,,,,61,10,,,,,,,19,33,,,,,14,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,24
19,20,2136,12058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,4,,,,,,,,,,,,,,,,,,,,,,,173,9,,,,,,,1842,10,,,,,,,,,,,4806,22,2,44,198,43,,,,,1714,4,,,,,,,327,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,6,,,,,181,10,6,9,,,,,,,,,,,,,,,270,25,,,,,,,,,,,,,,,19,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,583,4,,,,,,,,,,,,,,,,,,,,,,,,,694,6,,,,,,,,,,,,,43,89,,,,,,,,,,,,,,,,,19,6,,,87,5,,,,,5,3,185,4,4,3,,,190,11,,,,,,,,,,,,,,,,,,,,,254,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,58
20,21,181,10118,12,3,,,,,,,,,174,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,20,,,,,,,,,,,,,56,11,855,23,,,,,,,,,,,5690,16,,,836,21,,,6,12,,,53,31,,,,,564,20,,,,,,,,,,,,,,,,,,,,,,,53,28,,,,,116,9,,,,,38,23,,,,,,,,,,,,,,,,,152,42,113,53,,,,,,,,,,,,,,,,,,,,,7,8,,,,,,,,,,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,29,,,20,26,,,,,,,,,,,,,,,,,,,,,101,33,,,,,114,27,,,,,,,496,21,,,,,,,,,,,,,,,,,135,2,,,,,,,,,4,4,,,,,,,109,17,,,,,,,,,,,,,20,15,,,,,,,40,24,,,,,33,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,39
21,22,5432,9779,,,,,,,,,,,320,9,,,,,7,2,,,,,,,,,,,,,,,,,,,,,36,11,,,,,45,3,,,,,,,,,25,19,,,,,,,,,,,,,,,253,62,,,,,,,,,,,4969,20,,,1374,10,,,,,505,7,15,74,,,,,180,60,,,,,,,,,,,,,,,,,17,4,,,,,97,13,244,3,,,,,,,,,,,,,,,,,260,6,,,,,,,,,128,50,128,49,,,,,,,,,,,,,151,8,,,,,,,,,,,,,6,8,,,,,,,41,5,,,,,,,,,31,4,,,45,3,,,,,,,,,,,,,,,90,36,13,6,19,27,,,,,,,,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,11,,,,,21,52,,,,,152,3,,,63,2,,,302,5,,,,,,,,,,,,,33,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,38
22,23,3886,9660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,3,,,,,,,,,,,,,,,10,47,,,,,,,129,14,,,,,31,19,1999,8,,,,,,,,,,,2215,44,3,38,543,28,19,9,10,7,137,10,167,11,,,,,375,32,,,,,7,6,,,,,,,,,,,,,,,,,22,43,,,,,,,,,,,464,2,,,,,,,,,,,,,,,,,728,9,230,36,,,,,,,,,,,,,28,29,,,,,,,,,11,2,,,19,2,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,41,5,11,55,14,,,,,,,,,,,,,,,,,,,,,248,21,,,,,747,5,,,,,184,5,217,42,,,,,,,,,,,,,,,,,,,,,75,6,16,13,,,,,248,3,,,,,117,14,,,,,,,,,,,,,,,,,,,,,208,11,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,49
