bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
181,17322,11,13,3,,,,,,,,,334,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,9,,,,,,,,,,,,,67,10,1063,19,,,,,,,,,11108,9,,,1396,11,,,9,6,,,60,27,,,688,21,,,,,,,,,,,,,,,,,136,10,,,,,164,4,,,,,105,12,,,,,,,,,,,,,,,166,42,125,43,,,,,,,,,,,,,,,,,,,,,9,6,,,,,,,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,19,,,47,13,,,,,,,,,,,,,190,23,,,,,121,25,,,,,755,19,,,,,,,,,,,,,9,6,,,,,,,,,2,3,,,,,,,150,13,,,,,,,,,,,7,15,,,,,62,20,,,,,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,21
320,17055,12,,,,,,,,,,,138,8,,,,,,,,,,,,,,,59,9,,,,,,,,,18,2,,,,,39,6,,,,,,,68,15,,,9,4,25,22,960,20,,,,,86,6,,,8229,13,27,2,1441,10,15,9,,,,,126,12,,,1337,7,,,,,9,3,,,5,2,,,8,2,,,65,21,76,3,,,,,,,,,168,8,,,,,258,5,,,,,,,18,3,145,46,356,27,,,,,15,4,,,,,25,2,50,17,,,,,,,15,2,,,,,,,29,8,,,,,,,,,2,6,,,,,97,4,,,,,,,,,,,,,475,11,81,1,28,23,,,,,,,,,,,,,324,12,,,,,180,19,,,68,6,1122,14,,,,,,,,,11,2,,,,,,,74,4,39,5,,,,,,,,,,,63,24,,,,,7,7,7,3,,,26,9,,,,,265,8,,,10,1,42,11,,,,,,,,,41,9,,,,,,,,,,,,,,,,,,,,,274,19
50381,15868,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14903,4,,,,,,,,,9,16,197,8,,,,,,,,,,,,,,,,,,,,,92,15,,,,,,,,,,,,,,,,,,,,,,,,,,,611,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25821,15124,14,,,,,,,,,,,46,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3131,7,,,,,,,,,7,957,15,4,,,,,,,,,,,,,5606,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4943,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,1,,,,,,,,,,,,,,,,,,,,,,,16,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,14502,15,,,,,,,,,,,,,,,,,,,,,,,,,,,10,17,,,,,,,,,,,,,,,7,42,,,,,,,,,,,,,,,3195,5,,,,,,,,,6326,19,,,,,,,,,,,,,,,1129,10,,,,,,,,,,,,,,,,,,,,,,,41,10,,,,,69,19,,,,,,,,,,,,,,,394,24,149,40,,,,,,,,,,,,,15,48,,,,,,,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,4,,,,,,,,,,,,,,,,,744,6,,,,,335,10,,,21,10,892,17,,,,,,,4,5,,,,,,,,,,,47,4,,,,,326,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,60
13,14331,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,,,,,,,74,14,,,12,3,33,18,892,22,,,,,,,,,7623,14,7,19,1312,12,,,8,7,,,,,1,2,620,24,,,,,,,,,,,,,,,,,264,6,,,,,,,,,,,94,16,,,,,,,,,,,,,,,342,25,1034,13,,,,,,,,,,,,,159,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,110,4,17,13,36,,,,,,,,,,,,,158,25,,,,,359,9,,,22,9,724,20,,,,,,,,,,,,,,,,,7,23,29,6,,,,,57,4,,,,,129,15,,,,,,,,,,,,,,,,,35,26,,,,,,,,,,,,,,,8,14,,,,,,,,,,,,,,,,,,,,,286,18
5894,13955,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,44,,,,,,,,,,,,,,,375,46,,,,,,,,,10355,11,,,398,27,,,,,,,25,43,,,352,36,,,,,,,,,,,,,,,,,66,20,,,,,,,,,,,,,,,,,,,,,,,,,,,232,34,566,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,25,,,,,,,,,,,,,,,,,,,,,,,226,16,,,,,1006,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,13,,,,,29,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,13150,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,7,43,,,,,,,,,,,,,58,13,930,21,,,,,,,,,4115,24,6,25,2037,6,,,7,8,111,8,114,14,,,1061,14,,,,,,,,,,,,,,,,,106,12,,,,,,,,,,,45,25,,,,,,,,,,,,,,,569,13,796,17,,,,,,,,,,,,,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,24,,,,,,,,,,,,,,,,,258,17,,,,,421,8,,,113,3,1858,10,,,,,,,,,,,,,,,,,48,8,,,,,,,,,,,,,102,17,,,,,7,8,,,,,,,,,,,,,,,,,54,10,,,,,,,,,16,11,,,,,,,,,,,,,,,,,,,,,121,29
5072,12475,19,,,,,,,,,,,10,17,,,,,,,,,,,,,,,8,18,,,,,74,2,,,,,,,,,16,22,,,,,,,,,,,,,149,5,442,41,,,,,,,,,9841,12,8,15,86,61,,,,,,,,,,,315,44,,,,,,,,,,,,,8,3,,,,,274,2,,,,,,,,,,,,,,,243,7,,,,,,,,,93,59,398,26,,,,,,,,,,,,,11,51,,,,,,,,,,,,,,,,,,,,,24,1,,,7,5,,,39,2,,,,,,,,,,,,,,,60,52,8,8,72,8,,,,,,,,,,,,,,,,,,,,,,,,,111,56,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,35,39,,,,,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,36
1294,12037,20,,,,,,,,,,,46,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,23,,,,,,,,,,,,,45,16,542,37,,,,,,,,,6853,16,13,5,623,21,,,,,,,132,10,,,1237,8,,,,,,,,,,,,,,,,,135,11,,,,,,,,,,,86,17,,,,,59,11,,,,,3,5,,,743,7,,,,,,,,,,,,,,,88,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,321,13,,,32,17,,,9,3,,,,,,,,,47,46,,,,,,,,,,,550,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,16,,,,,,,,,,,,,,,,,71,17,,,,,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,20
27443,11873,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,37,,,,,,,40,18,,,4,8,31,20,1211,18,,,,,,,,,628,118,6,30,465,24,25,7,,,,,81,23,,,334,40,,,,,,,,,,,,,,,,,,,,,,,33,11,,,,,,,,,,,,,,,,,,,,,312,26,1839,9,,,,,,,,,,,,,2168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,21,,,,,,,,,,,,,,,,,211,21,,,,,213,17,,,,,642,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3401,1
5432,11609,22,,,,,,,,,,,175,6,,,24,2,,,,,,,,,,,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,53,,,,,,,,,6463,17,,,1121,16,,,,,2205,1,14,69,,,171,67,,,,,,,,,,,,,8,4,,,69,18,72,4,,,,,,,,,,,,,,,259,4,,,,,,,,,118,50,105,49,,,,,,,,,,,,,20,41,,,,,,,,,,,,,,,,,36,5,,,,,,,8,4,,,16,3,,,,,,,,,,,,,,,90,40,9,7,33,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,8,2,,,149,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,40
2392,11413,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,5,,,,,,,81,13,,,,,,,4788,2,,,,,,,,,3796,27,,,317,31,,,14,4,123,7,,,,,621,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,26,,,,,,,,,,,,,,,299,27,275,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,15,,,21,27,,,,,,,,,,,,,240,18,,,,,322,11,,,,,,,,,,,,,,,,,,,,,,,4,35,,,,,,,11,9,,,,,80,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,48
2719,9215,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,81,,,,,,,,,,,,,13,32,607,33,,,,,,,,,6866,15,6,26,286,34,,,,,,,20,52,,,710,19,,,,,,,,,,,,,,,,,66,19,,,,,,,,,,,8,44,,,,,,,,,,,,,,,177,41,,,,,,,,,,,,,,,10,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,44,,,,,,,,,,,,,,,,,35,55,,,,,,,,,,,178,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,46,,,,,,,,,,,,,,,,,,,,,,,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,30
822,8758,25,,,,,,,,,,,,,,,,,,,,,,,,,,,23,13,,,,,,,,,,,,,,,16,21,,,,,,,,,,,6,7,13,30,880,24,,,,,,,,,3566,28,11,9,444,25,,,,,,,212,5,,,334,38,,,,,,,,,,,,,,,,,26,31,,,,,,,,,,,65,21,,,,,,,,,,,,,,,486,21,621,18,,,,,,,,,,,,,64,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,17,13,6,45,14,,,,,,,,,,,,,342,10,,,,,130,23,,,,,548,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,14,,,,,,,,,,,,,,,,,,,,,,,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,11
2136,8715,26,,,,,,,,,,,,,,,,,,,,,,,,,,,93,7,,,,,,,,,,,,,,,,,,,,,,,165,9,,,,,,,2761,8,,,,,,,,,2459,45,10,11,128,52,,,,,408,4,,,,,212,59,,,,,,,,,,,,,,,,,,,,,,,102,7,,,,,106,11,,,,,,,,,,,,,,,245,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,,,,,,,,,,513,10,,,,,,,,,,,,,,,,,518,7,,,,,,,,,,,65,71,,,,,,,,,,,,,,,,,170,2,,,,,,,,,3,3,,,668,3,,,,,,,,,,,,,,,,,54,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,80
4192,8124,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,25,,,,,,,109,11,,,,,51,14,2023,11,,,,,,,,,7,955,,,351,30,,,,,,,93,21,,,331,41,,,,,,,,,,,7,3,,,,,16,40,,,,,,,,,,,168,9,,,,,,,,,,,,,,,726,9,466,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,14,,,,,,,,,,,,,,,,,170,24,,,,,,,,,,,3164,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,22,,,,,,,,,,,,,,,,,,,,,,,34,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,7773,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,11,,,,,,,14,33,,,,,,,731,29,,,,,,,,,2926,37,,,1028,17,,,,,,,56,28,,,599,26,,,,,,,,,,,,,,,,,351,4,,,,,,,,,,,55,24,,,,,,,,,,,,,,,56,85,175,36,,,,,,,,,,,,,449,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,7,,,17,29,,,,,,,,,,,,,131,28,,,,,208,18,,,43,8,274,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
