,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,13,38155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,8,,,,,,,221,14,,,7,5,34,28,3369,16,,,,,,,149,8,,,17339,9,6,20,3822,14,,,21,2,,,74,37,,,12,2,1586,22,,,,,,,,,,,,,2,4,,,,,,,,,2085,4,,,,,,,,,,,269,13,,,16,1,,,,,,,,,,,,,773,31,1526,11,,,,,,,,,,,,,66,19,,,,,,,,,,,,,,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,6,25,2,121,17,,,,,,,,,,,,,,,,,,,,,445,22,,,,,681,16,,,,,62,10,1370,14,,,,,,,,,,,,,,,,,,,,,31,14,107,8,,,,,940,4,,,,,213,12,,,,,,,,,,,,,,,,,,,92,16,,,,,,,,,,,,,,,13,23,,,,,,,,,,,,,,,,,,,,,,,453,20
11,12,181,37150,13,4,,,,,,,,,654,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,14,,,,,,,,,,,,,197,8,3592,12,,,,,,,,,,,18126,7,,,4788,12,,,10,8,,,99,29,,,,,2656,13,,,,,,,,,,,,,,,,,,,,,,,350,11,,,,,1405,2,,,,,117,20,,,,,,,,,,,,,,,,,547,39,215,39,,,,,,,,,,,,,,,,,,,,,3,8,,,,,,,,,66,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,15,,,147,14,,,,,,,,,,,,,,,,,,,,,348,24,,,,,424,18,,,,,,,741,21,,,,,,,,,,,,,,,,,1081,2,,,,,,,,,1,4,,,,,,,205,13,,,,,,,,,,,,,33,11,,,,,100,14,,,,,37,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,27
12,13,2136,36582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,5,,,,,,,,,,,,,,,,,,,,,,,860,3,,,,,,,7561,5,,,,,,,,,,,10148,22,12,7,992,29,,,,,3509,4,,,,,,,1076,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312,3,,,,,679,5,4,11,,,,,,,,,,,,,,,1461,18,,,,,,,,,,,,,,,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,66,3,,,,,,,,,,,,,,,,,,,,,3092,3,,,,,,,,,,,,,,,,,,,,,,,,,3250,5,,,,,,,,,,,,,88,72,,,,,,,,,,,,,,,,,27,6,,,459,2,,,,,22,2,,,11,3,,,311,8,,,,,,,,,,,,,,,,,,,815,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,47
13,14,2093,35968,,,,,,,,,,,125,15,,,,,,,18,4,,,,,,,,,,,65,13,,,,,10,6,13,2,,,,,,,64,13,12,2,,,,,153,20,,,,,53,23,1865,26,,,,,,,,,,,14144,13,14,5,1901,23,,,,,108,15,114,28,,,,,1342,28,,,,,,,,,13,2,,,,,,,,,24,2,,,141,21,19,7,,,86,12,,,,,98,22,7,7,,,,,84,11,,,,,,,,,1034,22,5341,2,,,25,3,7,5,,,,,,,144,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,7,,,,,,,,,,,,,580,25,,,59,22,,,,,,,,,,,,,,,,,,,,,489,21,,,,,701,15,,,,,,,1622,11,,,,,15,2,,,,,,,,,,,,,,,58,12,33,13,,,,,,,18,2,,,137,21,,,12,2,,,,,,,,,410,3,,,,,94,15,,,,,82,14,,,,,,,,,664,5,,,,,,,,,,,18,3,,,,,,,,,13,1,3902,2
14,15,3886,31735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108,1,,,,,,,,,,,,,,,53,17,,,,,,,381,10,,,,,105,11,7808,4,,,,,,,,,,,4936,42,6,26,1300,26,34,11,5,16,889,7,213,18,,,,,1269,29,,,,,9,5,,,,,,,,,,,,,,,,,44,38,,,,,,,,,,,1635,2,,,,,,,,,,,,,,,,,3482,6,294,33,,,,,,,,,,,,,31,32,,,,,,,,,16,2,,,10,4,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,42,6,15,178,12,,,,,,,,,,,,,,,,,,,,,686,16,,,,,1304,9,,,,,1048,3,282,41,,,,,,,,,,,,,,,,,,,,,165,6,39,12,,,,,3536,2,,,,,103,26,,,,,,,,,,,,,,,,,,,464,8,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,42
15,16,2181,30474,,,,,,,,,,,128,14,,,,,,,,,,,14,3,,,,,,,360,7,,,,,,,,,,,,,,,27,29,,,,,,,211,16,,,,,320,4,2305,21,,,,,,,364,6,,,8731,26,12,8,2023,19,206,2,6,12,,,304,10,,,,,1508,24,,,,,,,,,,,,,,,,,,,,,,,359,10,,,,,291,11,,,,,328,12,,,,,,,277,8,,,,,,,15,6,1646,15,864,14,,,,,,,91,3,,,,,41,25,,,,,,,,,,,,,,,18,3,39,10,51,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,24,23,5,133,16,,,,,,,,,,,,,,,,,,,,,1708,9,,,,,528,17,,,,,267,8,2323,10,,,,,,,,,,,16,4,,,,,39,5,,,62,10,67,10,,,,,87,12,21,1,,,2156,1,,,,,,,,,,,,,109,6,,,,,228,11,,,,,282,6,33,2,,,,,,,,,,,,,,,,,,,11,7,,,,,,,,,,,1250,9
16,17,1294,28083,,,,,,,,,,,106,16,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,19,,,,,,,,,,,,,60,17,1995,24,,,,,,,,,,,13340,15,6,22,1902,22,,,8,10,202,13,194,19,,,,,4406,9,,,,,,,,,,,,,,,6,4,,,,,,,282,14,,,,,,,,,,,230,14,,,,,,,29,16,,,,,9,4,,,2669,9,,,,,,,,,,,,,,,311,4,,,,,,,,,,,,,,,,,,,18,11,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,923,14,,,55,24,,,,,,,5,5,,,,,,,,,,,,,72,49,,,,,,,,,,,,,638,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,10,,,,,174,15,,,,,,,,,,,,,42,10,,,,,33,27,,,,,22,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,30
17,18,50381,28059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,20,3023,18,,,,,,,,,,,20593,5,,,909,32,,,,,95,16,148,23,,,,,702,48,,,,,,,,,,,,,,,,,,,,,,,221,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1631,16,94,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,29351,27620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,,,,,,,,,,,,,,,,,,,,,,,,212,15,,,,,,,3585,13,,,,,,,,,,,4818,43,,,497,45,165,3,,,,,99,30,,,,,655,50,,,,,,,,,,,,,,,,,,,,,,,688,6,,,,,,,,,,,73,24,35,5,,,,,,,,,,,,,,,,,154,50,,,,,,,,,,,,,16,50,,,,,,,,,,,,,,,,,530,1,161,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,39,,,,,,,,,,,,,,,,,,,,,,,,,1950,6,,,,,,,,,,,,,11734,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,36,,,,,,,,,,,,,,,,,,,,,,,,,1112,1,,,,,,,,,779,4,,,,,,,,,,,,,,,,,,,,,,,78,51
19,20,5072,27070,,,,,,,,,,,2,27,,,,,,,,,,,,,,,,,,,58,14,,,,,262,2,,,,,,,,,16,41,,,,,,,,,,,,,198,7,974,50,,,,,,,,,,,19767,6,3,40,194,66,,,,,34,19,,,,,,,819,44,,,,,,,,,,,,,,,,,235,2,,,,,,,1668,2,,,,,,,,,,,,,,,,,227,9,,,,,,,,,169,69,412,25,,,,,,,,,,,,,27,34,,,,,,,,,,,,,,,,,,,,,,,,,48,1,,,172,2,,,426,2,53,6,,,,,,,,,,,,,116,53,7,12,312,7,,,,,,,,,,,,,,,,,,,,,,,,,,,57,46,,,,,,,128,60,,,,,,,,,,,,,,,,,,,52,2,,,,,,,,,,,,,,,106,25,,,,,470,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,64
20,21,25821,24930,,,,,,,,,,,426,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,25,,,,,,,,,,,1972,74,9,12,1937,20,,,,,,,,,,,,,11656,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1861,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,7,,,,,,,,,,,,,,,,,,,,,,,2298,6
21,22,30549,23855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,30,,,,,,,130,22,,,,,17,38,2332,20,,,,,,,,,,,14739,11,,,934,30,,,10,9,,,,,,,,,1426,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,44,,,,,,,,,,,,,,,,,787,29,860,15,,,,,,,,,,,,,190,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,21,,,290,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,2162,23607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,16,39,,,,,,,170,19,,,,,18,36,1362,33,,,,,,,,,,,11038,20,,,821,35,,,,,,,157,22,,,,,1084,36,,,,,13,3,,,,,,,,,,,,,,,,,27,44,,,,,,,,,,,174,15,,,,,,,18,18,,,,,,,15,5,863,27,201,40,,,,,,,12,4,,,,,56,20,,,,,,,,,,,,,,,,,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,54,6,14,,,,,,,,,,,,,,,,,,,,,,,525,20,,,,,258,29,,,,,24,12,5177,5,,,,,,,,,,,,,,,,,8,8,,,,,11,16,,,,,28,14,,,,,160,16,,,,,,,,,,,,,,,,,,,23,28,,,,,129,9,,,,,,,,,30,18,,,,,,,,,,,,,,,,,,,,,,,1034,10
23,24,463,23316,11,5,11,3,,,,,,,,,,,,,,,12,5,,,,,,,,,,,31,17,,,,,,,,,10,4,,,,,41,22,,,,,,,207,18,,,,,55,22,1759,29,,,,,,,,,,,11482,19,6,21,917,31,27,14,13,5,34,18,124,27,,,,,972,43,,,,,,,,,,,,,,,,,,,,,,,113,25,,,,,27,15,,,,,123,19,,,,,,,47,12,,,,,,,,,1000,24,2453,6,,,,,,,,,,,,,40,26,,,,,,,7,5,,,,,,,,,31,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,33,127,1,45,29,,,,,,,,,,,,,,,,,,,,,339,25,,,,,808,14,,,,,,,1102,16,,,,,,,,,,,,,,,,,,,,,,,27,14,,,,,14,18,,,,,127,23,,,,,,,,,,,,,44,9,,,,,66,18,,,,,47,21,,,,,,,,,34,17,,,,,,,,,,,,,,,,,,,,,,,684,14
