,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
10,11,320,21719,,,,,,,,,,,143,7,,,,,,,,,,,,,,,82,9,,,,,,,,,12,4,,,,,54,5,,,,,,,130,12,,,5,3,53,18,1294,19,,,,,104,6,,,11733,8,10,7,1372,10,29,7,,,,,138,14,,,1400,8,,,,,6,2,,,7,2,,,6,4,36,28,17,4,,,,,,,,,200,6,,,,,373,4,,,,,,,7,4,269,34,403,22,,,8,4,,,,,10,2,64,13,,,,,,,6,4,,,,,,,37,10,,,,,,,,,5,4,,,,,48,5,,,,,,,,,,,,,628,12,12,3,55,12,,,1,7,,,,,,,,,511,13,,,,,229,19,,,106,4,1326,14,,,,,,,,,5,3,,,,,,,74,4,56,4,,,,,,,,,,,145,16,,,,,11,4,5,3,,,28,9,,,,,96,15,,,10,1,54,10,,,,,,,,,43,10,,,,,,,,,,,,,,,,,,,263,17
11,12,50381,21488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20691,3,,,,,,,,,17,11,143,13,,,,,,,,,,,,,,,,,,,40,27,,,,,,,,,,,,,,,,,,,,,,,,,,,597,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,181,19473,7,4,,,,,,,,,179,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,21,,,,,,,,,,,,,125,8,2108,12,,,,,,,,,10509,9,,,1694,6,,,5,7,,,94,20,,,1329,10,,,,,,,,,,,,,,,148,10,,,,,241,2,,,,,155,11,,,,,,,,,,,,,,,180,46,155,39,,,,,,,,,,,,,,,,,,,5,6,,,,,,,39,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,14,,,82,9,,,,,,,,,,,,,267,22,,,,,182,23,,,,,800,22,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,284,6,,,,,,,,,,,12,11,,,,,64,18,,,,,22,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,21
13,14,2243,15938,,,,,,,,,,,,,,,,,,,,,,,,,,,25,13,,,,,,,,,,,,,,,3,58,,,,,,,,,,,,,,,2984,9,,,,,,,,,7100,15,,,,,,,,,,,,,,,1493,7,,,,,,,,,,,,,,,,,,,,,44,11,,,,,73,22,,,,,,,,,,,,,,,483,22,218,33,,,,,,,,,,,,,,,,,,,,,,,,,,,63,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,7,,,,,,,,,,,,,,,,,848,5,,,,,415,10,,,29,10,995,19,,,,,,,7,3,,,,,,,,,,,44,6,,,,,317,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,68
14,15,13,15855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,9,,,,,,,194,9,,,4,5,62,16,1162,20,,,,,,,,,7727,14,1,36,1260,12,,,4,9,,,,,6,2,909,18,,,,,,,,,3,3,,,,,297,6,,,,,,,,,,,164,10,,,,,,,,,,,,,,,332,29,1258,10,,,,,,,,,,,64,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,126,7,8,58,11,,,,,,,,,,,,,359,18,,,,,340,11,,,57,9,999,18,,,,,,,,,,,,,,,,,11,15,21,9,,,,,44,4,,,,,154,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,,,,,,,,,,,,,,,,,,,312,15
15,16,1294,15834,,,,,,,,,,,43,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19,,,,,,,,,,,,,80,13,1494,15,,,,,,,,,7974,13,8,9,1068,16,,,,,,,196,6,,,1592,6,,,,,,,,,,,,,,,128,11,,,,,,,,,,,145,12,,,,,37,12,,,,,6,3,,,867,7,,,,,,,,,,,,,80,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,655,11,,,30,25,,,5,4,,,,,,,,,73,39,,,,,,,,,,,922,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,11,,,,,,,,,,,,,,,,,36,23,,,,,11,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,22
16,17,25821,13212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132,8,,,,,,,,,5,951,15,4,,,,,,,,,,,,,3288,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5532,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215,3,,,,,,,,,,,,,,,,,,,,,,,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,2425,12994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,14,30,,,,,,,,,,,,,87,11,859,31,,,,,,,,,4424,22,2,32,1218,14,,,3,11,58,8,146,10,,,1053,13,,,,,,,,,,,,,,,110,13,,,,,,,,,,,,,,,,,,,,,,,,,,,592,13,656,17,,,,,,,,,,,17,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,28,,,,,,,,,,,,,,,,,332,19,,,,,475,8,,,105,5,2267,8,,,,,,,,,,,,,,,,,66,7,,,,,,,,,,,,,103,20,,,,,,,,,,,,,,,,,,,,,,,77,8,,,,,,,,,8,12,,,,,,,,,,,,,,,,,,,119,27
18,19,822,10428,,,,,,,,,,,,,,,,,,,,,,,,,,,30,11,,,,,,,,,,,,,,,13,31,,,,,,,,,,,4,6,16,37,1075,21,,,,,,,,,4184,25,5,13,510,23,,,,,,,218,5,,,503,31,,,,,,,,,,,,,,,34,29,,,,,,,,,,,135,13,,,,,,,,,,,,,,,516,20,610,19,,,,,,,,,,,31,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597,13,4,13,52,15,,,,,,,,,,,,,594,10,,,,,98,29,,,,,596,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,10,,,,,,,,,,,,,,,,,,,,,,,5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,13
19,20,811,9795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,7,,,,,,,30,25,,,,,,,981,25,,,,,,,,,2847,38,,,1307,11,,,,,,,96,19,,,898,19,,,,,,,,,,,,,,,227,7,,,,,,,,,,,89,19,,,,,,,,,,,,,,,58,82,289,29,,,,,,,,,,,435,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,4,,,28,27,,,,,,,,,,,,,532,11,,,,,336,12,,,60,8,368,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,27443,9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,32,,,,,,,51,20,,,,,28,27,1331,18,,,,,,,,,877,97,2,35,495,26,8,14,,,,,102,17,,,381,37,,,,,,,,,,,,,,,,,,,,,46,10,,,,,,,,,,,,,,,,,,,,,436,25,,,,,,,,,,,,,1300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,20,,,,,,,,,,,,,,,,,423,16,,,,,240,18,,,,,1476,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898,2
21,22,2136,8938,,,,,,,,,,,,,,,,,,,,,,,,,,,118,8,,,,,,,,,,,,,,,,,,,,,,,201,8,,,,,,,3135,7,,,,,,,,,2519,44,10,8,151,48,,,,,168,4,,,,,204,64,,,,,,,,,,,,,,,,,,,,,126,6,,,,,134,15,,,,,,,,,,,,,,,243,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,,,,,,,,,,747,9,,,,,,,,,,,,,,,,,656,7,,,,,,,,,,,84,64,,,,,,,,,,,,,,,,,71,5,,,,,,,,,7,2,,,250,7,,,,,,,,,,,,,,,,,81,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,84
22,23,5072,8523,,,,,,,,,,,8,16,,,,,,,,,,,,,,,12,16,,,,,35,2,,,,,,,,,15,27,,,,,,,,,,,,,138,4,631,39,,,,,,,,,6117,16,3,23,64,71,,,,,,,,,,,333,43,,,,,,,,,,,,,9,2,,,159,2,,,,,,,,,,,,,,,211,7,,,,,,,,,75,76,276,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,,,5,6,,,51,2,,,,,,,,,,,,,,,60,61,5,12,55,13,,,,,,,,,,,,,,,,,,,,,,,,,139,53,,,,,,,,,,,,,,,9,3,,,,,,,,,,,,,,,15,62,,,,,42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,61
23,24,2952,8455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,4,,,,,,,,,,,,,123,9,909,29,,,,,,,,,3984,26,1,39,756,19,,,5,8,,,169,9,,,915,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,,,,,,,,,551,17,50,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,19,,,70,10,,,,,,,,,,,,,,,,,,,108,27,,,,,229,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,2392,8407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,15,,,,,,,76,17,,,,,,,993,24,,,,,,,,,4294,23,,,547,21,,,12,2,109,6,,,,,803,22,,,,,,,,,,,,,,,,,,,,,,,,,,,33,27,,,,,,,,,,,,,,,325,30,294,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,24,,,30,26,,,,,,,,,,,,,234,24,,,,,159,25,,,,,,,,,,,,,,,,,,,,,,,8,20,,,,,,,10,10,,,,,125,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,29
25,26,5432,8208,,,,,,,,,,,68,8,,,7,2,,,,,,,,,,,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,72,,,,,,,,,5561,18,,,976,17,,,,,93,7,9,81,,,172,71,,,,,,,,,,,,,8,3,163,9,35,3,,,,,,,,,,,,,,,242,6,,,,,,,,,111,60,86,51,,,,,,,,,,,15,38,,,,,,,,,,,,,,,,,21,7,,,,,,,7,3,,,4,3,,,,,,,,,,,,,,,76,51,13,2,37,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,14,2,,,175,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,49
26,27,5894,7979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,33,,,,,,,,,,,,,,,373,54,,,,,,,,,3511,31,,,497,25,,,,,,,34,37,,,455,34,,,,,,,,,,,,,,,74,19,,,,,,,,,,,,,,,,,,,,,,,,,,,354,28,779,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,40,,,,,,,,,,,,,,,,,,,,,,,304,13,,,,,1311,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,13,,,,,51,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,6819,7663,,,,,,,,,,,,,,,,,,,,,,,,,,,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,17,4882,2,,,,,,,,,1353,73,3,24,,,,,,,,,36,35,,,350,41,,,,,,,,,,,,,,,24,35,,,,,,,,,,,,,,,,,,,,,,,4,5,,,93,69,,,,,,,,,,,,,13,41,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,58,63,,,14,32,,,,,,,,,,,,,288,21,,,,,80,32,,,,,163,51,,,,,,,,,,,,,,,,,10,16,,,,,,,,,,,,,91,21,,,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,38
28,29,2719,7646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,,,,,,,,,,,36,21,580,43,,,,,,,,,5407,19,1,38,265,33,,,,,,,53,31,,,665,24,,,,,,,,,,,,,,,63,22,,,,,,,,,,,14,37,,,,,,,,,,,,,,,144,51,,,,,,,,,,,,,11,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,,,,,,,,,,,,,,,,,44,53,,,,,,,,,,,165,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,30
