,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
10,11,50381,19850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18954,3,,,,,,,,,12,12,181,5,,,,,,,,,,,,,,,,,,,69,20,,,,,,,,,,,,,,,,,,,,,,,,,,,634,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,320,17793,,,,,,,,,,,127,7,,,,,,,,,,,,,,,78,9,,,,,,,,,6,5,,,,,36,4,,,,,,,94,15,,,11,2,54,20,1297,17,,,,,114,6,,,7767,12,17,4,1306,11,20,9,,,,,114,16,,,1501,9,,,,,4,2,,,4,3,,,8,4,46,23,7,5,,,,,,,,,219,6,,,,,375,4,,,,,,,8,6,220,32,499,23,,,14,3,,,,,10,2,65,13,,,,,,,6,3,,,,,,,34,9,,,,,,,,,9,4,,,,,63,5,,,,,,,,,,,,,610,10,16,2,41,20,,,,,,,,,,,,,471,11,,,,,229,16,,,176,3,1461,12,,,,,,,,,13,2,,,,,,,53,8,54,4,,,,,,,,,,,70,27,,,,,6,7,3,4,,,20,9,,,,,95,14,,,2,1,49,10,,,,,,,,,40,8,,,,,,,,,,,,,,,,,,,251,17
12,13,181,17409,19,2,,,,,,,,,178,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,14,,,,,,,,,,,,,149,4,1732,14,,,,,,,,,9157,9,,,1532,8,,,10,4,,,80,23,,,1378,11,,,,,,,,,,,,,,,104,13,,,,,225,2,,,,,154,12,,,,,,,,,,,,,,,151,43,172,38,,,,,,,,,,,,,,,,,,,3,6,,,,,,,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,15,,,57,15,,,,,,,,,,,,,184,26,,,,,119,26,,,,,852,19,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,308,6,,,,,,,,,,,12,12,,,,,103,13,,,,,29,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,24
13,14,2243,16774,,,,,,,,,,,,,,,,,,,,,,,,,,,22,12,,,,,,,,,,,,,,,6,42,,,,,,,,,,,,,,,3701,4,,,,,,,,,6549,14,,,,,,,,,,,,,,,1904,6,,,,,,,,,,,,,,,,,,,,,63,10,,,,,107,17,,,,,,,,,,,,,,,453,20,216,35,,,,,,,,,,,,,,,,,,,,,,,,,,,46,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166,4,,,,,,,,,,,,,,,,,897,4,,,,,330,9,,,35,10,884,18,,,,,,,7,4,,,,,,,,,,,35,6,,,,,325,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,59
14,15,1294,15354,,,,,,,,,,,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,21,,,,,,,,,,,,,100,14,949,26,,,,,,,,,8950,11,8,10,745,17,,,,,,,179,6,,,1729,8,,,,,,,,,,,,,,,131,11,,,,,,,,,,,119,16,,,,,12,15,,,,,,,,,694,8,,,,,,,,,,,,,81,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,542,13,,,41,22,,,2,5,,,,,,,,,52,49,,,,,,,,,,,612,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,12,,,,,,,,,,,,,,,,,29,24,,,,,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,25
15,16,13,14402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,6,,,,,,,144,9,,,3,7,73,18,1164,22,,,,,,,,,7002,13,3,24,1220,12,,,4,9,,,,,5,2,787,22,,,,,,,,,,,,,,,226,6,,,,,,,,,,,161,10,,,,,,,,,,,,,,,304,29,1313,10,,,,,,,,,,,58,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,115,5,8,39,23,,,,,,,,,,,,,354,16,,,,,216,17,,,56,9,757,20,,,,,,,,,,,,,,,,,24,13,19,9,,,,,39,5,,,,,168,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,,,,,,,,,,,,,,,,,,,216,20
16,17,2425,13026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,18,20,,,,,,,,,,,,,122,9,841,31,,,,,,,,,4138,24,3,28,1505,9,,,4,10,56,8,182,4,,,1070,14,,,,,,,,,,,,,,,81,17,,,,,,,,,,,,,,,,,,,,,,,,,,,671,9,768,17,,,,,,,,,,,8,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,21,,,,,,,,,,,,,,,,,338,17,,,,,361,8,,,156,4,2092,10,,,,,,,,,,,,,,,,,43,10,,,,,,,,,,,,,133,19,,,,,,,,,,,,,,,,,,,,,,,81,6,,,,,,,,,9,11,,,,,,,,,,,,,,,,,,,98,33
17,18,25821,12563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,9,,,,,,,,,1,951,14,6,,,,,,,,,,,,,3887,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4279,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337,3,,,,,,,,,,,,,,,,,,,,,,,15,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,822,9949,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,,,,,,,,,,,,,,,11,25,,,,,,,,,,,3,9,10,44,1284,18,,,,,,,,,3939,25,6,13,426,26,,,,,,,165,7,,,469,34,,,,,,,,,,,,,,,34,29,,,,,,,,,,,80,20,,,,,,,,,,,,,,,392,23,721,19,,,,,,,,,,,50,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,12,5,10,43,19,,,,,,,,,,,,,537,8,,,,,118,27,,,,,479,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,10,,,,,,,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,11
19,20,27443,9143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,22,,,,,,,75,17,,,8,5,37,24,1090,23,,,,,,,,,742,103,6,18,673,19,27,8,,,,,85,22,,,338,44,,,,,,,,,,,,,,,,,,,,,42,11,,,,,,,,,,,,,,,,,,,,,473,18,,,,,,,,,,,,,2038,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,20,,,,,,,,,,,,,,,,,275,21,,,,,192,20,,,,,681,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063,2
20,21,4192,9111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,23,,,,,,,64,19,,,,,79,17,1240,20,,,,,,,,,2,949,,,269,30,,,,,,,98,18,,,200,67,,,,,,,,,,,3,5,,,10,43,,,,,,,,,,,141,14,,,,,,,,,,,,,,,514,14,860,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,24,,,,,,,,,,,,,,,,,144,28,,,,,,,,,,,5043,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,17,,,,,,,,,,,,,,,,,,,,,,,48,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,811,8974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,5,,,,,,,21,27,,,,,,,1083,24,,,,,,,,,2758,37,,,1164,13,,,,,,,74,25,,,1124,13,,,,,,,,,,,,,,,207,7,,,,,,,,,,,75,22,,,,,,,,,,,,,,,66,77,171,39,,,,,,,,,,,339,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,6,,,41,21,,,,,,,,,,,,,285,19,,,,,197,19,,,75,8,272,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,5072,8923,,,,,,,,,,,9,16,,,,,,,,,,,,,,,22,13,,,,,33,2,,,,,,,,,11,28,,,,,,,,,,,,,120,10,553,44,,,,,,,,,6457,15,3,31,62,69,,,,,,,,,,,345,43,,,,,,,,,,,,,13,3,,,246,2,,,,,,,,,,,,,,,242,7,,,,,,,,,77,68,297,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,,,15,2,,,126,2,,,,,,,,,,,,,,,30,68,5,11,61,13,,,,,,,,,,,,,,,,,,,,,,,,,91,62,,,,,,,,,,,,,,,12,2,,,,,,,,,,,,,,,16,61,,,,,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,69
23,24,2136,8758,,,,,,,,,,,,,,,,,,,,,,,,,,,106,7,,,,,,,,,,,,,,,,,,,,,,,164,8,,,,,,,3080,8,,,,,,,,,2616,41,8,11,164,46,,,,,139,5,,,,,256,56,,,,,,,,,,,,,,,,,,,,,134,5,,,,,172,9,,,,,,,,,,,,,,,219,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,677,9,,,,,,,,,,,,,,,,,574,7,,,,,,,,,,,67,71,,,,,,,,,,,,,,,,,71,5,,,,,,,,,6,2,,,231,8,,,,,,,,,,,,,,,,,53,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,85
24,25,2392,8590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,,,,,,,101,14,,,,,,,840,32,,,,,,,,,4279,22,,,274,29,,,19,2,93,6,,,,,934,17,,,,,,,,,,,,,,,,,,,,,,,,,,,18,34,,,,,,,,,,,,,,,315,28,330,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,27,,,32,26,,,,,,,,,,,,,518,10,,,,,112,28,,,,,,,,,,,,,,,,,,,,,,,3,39,,,,,,,9,11,,,,,421,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,39
25,26,5432,8115,,,,,,,,,,,69,8,,,5,2,,,,,,,,,,,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,81,,,,,,,,,5421,18,,,1060,15,,,,,74,7,12,73,,,202,66,,,,,,,,,,,,,14,2,136,10,74,3,,,,,,,,,,,,,,,268,6,,,,,,,,,88,61,89,48,,,,,,,,,,,8,52,,,,,,,,,,,,,,,,,27,6,,,,,,,5,6,,,10,3,,,,,,,,,,,,,,,89,47,5,12,30,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,14,2,,,141,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,51
26,27,2719,7495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,79,,,,,,,,,,,,,36,25,487,46,,,,,,,,,5362,19,4,22,198,39,,,,,,,25,40,,,740,25,,,,,,,,,,,,,,,72,18,,,,,,,,,,,7,45,,,,,,,,,,,,,,,173,38,,,,,,,,,,,,,9,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,43,,,,,,,,,,,,,,,,,33,58,,,,,,,,,,,146,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,52,,,,,,,,,,,,,,,,,,,,,,,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,35
27,28,6819,7405,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,19,4690,2,,,,,,,,,1406,67,4,23,,,,,,,,,23,42,,,305,49,,,,,,,,,,,,,,,16,40,,,,,,,,,,,,,,,,,,,,,,,7,3,,,70,73,,,,,,,,,,,,,11,44,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,70,50,,,19,29,,,,,,,,,,,,,280,20,,,,,74,31,,,,,170,47,,,,,,,,,,,,,,,,,14,16,,,,,,,,,,,,,59,30,,,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,42
28,29,2952,7197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,35,,,,,,,,,,,,,137,6,872,29,,,,,,,,,3473,30,2,38,547,21,,,4,11,,,131,12,,,729,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,,,,,,,,,482,17,75,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,23,,,84,8,,,,,,,,,,,,,,,,,,,89,30,,,,,177,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
