,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,25821,19196,,,,,,,,,,,339,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2773,10,,,,,,,,,980,86,5,17,1913,7,,,,,,,,,,,6267,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2849,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,6,,,,,,,,,,,,,,,,,,,,,,,2432,2
11,12,2398,18604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,237,72,,,,,,,,,17338,3,1,47,117,58,,,,,,,40,32,,,350,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,51,,,,,,,,,,,,,,,,,,,,,,,,,121,30,,,,,,,,,,,,,127,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,50,,,,,,,,,,,,,,,,,,,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,2243,17529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,14,,,,,,,,,,,,,,,7,39,,,,,,,,,,,,,,,5522,1,,,,,,,,,5401,17,,,,,,,,,,,,,,,1476,8,,,,,,,,,,,,,,,,,,,,,,,,,,,79,9,,,,,182,9,,,,,,,,,,,,,,,,,461,18,191,38,,,,,,,,,,,,,9,52,,,,,,,,,,,,,,,,,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444,1,,,,,,,,,,,,,,,,,,,,,,,,,818,6,,,,,389,12,,,,,12,11,843,15,,,,,,,,,,,5,3,,,,,,,,,,,59,5,,,,,503,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,41
13,14,1294,17050,,,,,,,,,,,62,12,,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,8,,,,,,,,,,,,,53,19,942,25,,,,,,,,,10072,11,8,8,1003,20,,,17,2,41,17,146,13,,,2153,6,,,,,,,,,,,,,8,3,,,,,,,225,8,,,,,,,,,,,77,17,,,,,,,36,14,,,,,8,2,,,935,6,,,,,,,,,,,,,,,17,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,402,16,,,30,24,,,,,,,4,5,,,,,,,,,,,,,46,40,,,,,,,,,,,,,337,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,11,,,,,,,,,,,,,21,12,,,,,20,20,,,,,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,27
14,15,2425,15604,,,,,,,,,,,65,11,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,43,6,,,,,,,105,14,,,,,151,7,1437,17,,,,,,,,,3914,22,3,29,1292,16,,,3,11,158,8,159,10,,,1000,16,,,,,,,,,,,,,,,,,,,,,124,12,,,,,,,,,,,147,12,,,,,,,,,,,,,,,,,792,8,632,17,,,,,,,,,,,,,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,21,,,,,,,,,,,,,,,,,,,,,,,,,983,5,,,,,871,6,,,,,132,4,2809,5,,,,,,,,,,,,,,,,,,,,,42,10,,,,,,,,,,,,,164,12,,,,,2,7,,,,,,,,,,,,,,,,,,,168,5,,,,,,,,,27,15,,,,,,,,,,,,,,,,,,,,,,,120,30
15,16,13,15190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,13,,,,,,,84,18,,,1,12,31,26,1047,22,,,,,23,11,,,7130,12,1,46,1666,10,,,4,9,,,22,48,2,2,535,26,,,,,,,,,,,,,,,,,,,,,895,2,,,,,,,,,,,85,16,,,3,1,,,,,,,,,,,,,234,31,1177,12,,,,,,,,,,,,,32,15,,,,,,,,,,,,,,,,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,13,9,6,41,18,,,,,,,,,,,,,,,,,,,,,216,24,,,,,281,18,,,,,27,9,590,20,,,,,,,,,,,,,,,,,,,,,21,13,7,14,,,,,30,9,,,,,87,18,,,,,,,,,,,,,,,,,,,16,25,,,,,,,,,,,,,,,16,17,,,,,,,,,,,,,,,,,,,,,,,298,21
16,17,320,15186,,,,,,,,,,,134,8,,,,,12,5,,,,,,,,,10,1,,,63,9,,,,,,,,,11,3,,,,,36,11,,,,,,,87,17,,,11,4,38,22,1224,20,,,,,74,7,,,6610,15,24,2,975,22,33,9,,,61,14,223,7,,,1232,11,,,,,,,11,2,,,7,2,,,15,3,,,,,80,21,51,6,,,,,,,,,210,8,,,,,,,272,5,,,,,,,9,4,158,41,291,26,,,,,10,3,,,,,12,3,14,37,,,,,,,11,2,,,,,,,,,28,11,14,9,,,,,,,,,11,7,,,,,91,3,,,,,,,,,,,,,634,10,12,2,49,16,,,,,,,10,3,,,,,,,,,,,,,514,10,,,,,297,16,,,,,78,7,854,14,,,,,,,,,,,,,5,2,,,,,,,49,8,61,4,,,,,,,,,,,60,30,,,,,29,5,,,11,4,,,20,13,,,,,16,26,,,9,1,52,11,,,,,,,,,46,12,,,,,,,,,,,13,3,,,,,,,,,,,214,24
17,18,811,15171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,12,,,,,,,17,42,,,,,,,1764,14,,,,,,,,,4371,20,4,18,1397,13,,,,,,,102,23,,,1391,9,,,,,,,,,,,,,3,5,,,,,,,524,5,,,,,,,,,,,110,14,,,,,,,,,,,,,,,,,62,81,234,31,,,,,,,,,,,,,247,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182,4,,,20,29,,,,,,,,,,,,,,,,,,,,,332,16,,,,,547,9,,,,,101,6,395,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2328,4
18,19,50381,13511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,31,1047,23,,,,,,,,,10189,10,,,556,27,,,,,102,12,138,14,,,265,49,,,,,,,,,,,,,,,,,,,,,123,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,14,67,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,181,13130,9,4,,,,,,,,,92,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,15,,,,,,,,,,,,,75,13,1240,18,,,,,,,,,7094,13,,,1447,12,,,5,7,,,41,31,,,1018,15,,,,,,,,,,,,,,,,,,,,,109,15,,,,,166,5,,,,,50,24,,,,,,,,,,,,,,,,,202,33,127,46,,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,,,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,19,,,27,25,,,,,,,,,,,,,,,,,,,,,122,29,,,,,130,25,,,,,,,515,21,,,,,,,,,,,,,,,,,63,3,,,,,,,,,2,3,,,,,,,126,14,,,,,,,,,,,,,6,16,,,,,29,13,,,,,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,34
20,21,2136,11380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,6,,,,,,,,,,,,,,,,,,,,,,,287,6,,,,,,,3059,9,,,,,,,,,3424,25,4,21,226,42,,,,,822,4,,,,,359,43,,,,,,,,,,,,,,,,,,,,,,,,,,,92,8,,,,,161,11,,,,,,,,,,,,,,,,,291,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,,,,,,,,,,,,,,,,,,,,,1125,5,,,,,,,,,,,,,,,,,,,,,,,,,770,7,,,,,,,,,,,,,52,79,,,,,,,,,,,,,,,,,12,7,,,107,2,,,,,7,2,,,3,3,,,326,7,,,,,,,,,,,,,,,,,,,48,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,50
21,22,3886,10301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,5,,,,,,,,,,,,,,,10,33,,,,,,,150,9,,,,,73,14,3601,6,,,,,,,,,1665,50,6,12,426,32,14,14,3,12,88,13,152,12,,,456,32,,,,,4,4,,,,,,,,,,,,,,,21,37,,,,,,,,,,,510,3,,,,,,,,,,,,,,,,,706,9,148,44,,,,,,,,,,,,,18,28,,,,,,,,,8,2,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,34,2,16,68,12,,,,,,,,,,,,,,,,,,,,,211,25,,,,,686,7,,,,,169,2,269,32,,,,,,,,,,,,,,,,,,,,,52,7,16,9,,,,,247,3,,,,,86,19,,,,,,,,,,,,,,,,,,,30,12,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,42
22,23,27443,10231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,25,,,,,,,53,22,,,15,3,37,24,1144,21,,,,,25,10,,,441,152,6,14,430,31,96,3,,,,,120,18,,,360,42,,,,,,,,,,,,,,,,,,,,,44,27,,,,,44,12,,,,,,,,,,,,,,,,,,,,,,,338,23,2037,8,,,,,,,,,,,,,396,2,,,,,,,,,,,,,,,,,,,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,28,,,,,,,,,,,,,,,,,,,,,,,,,257,21,,,,,124,27,,,,,,,667,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,2,,,,,,,,,,,39,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2884,1
23,24,5072,9772,,,,,,,,,,,3,21,,,,,,,,,,,,,,,,,,,11,17,,,,,164,2,,,,,,,,,3,69,,,,,,,,,,,,,118,9,369,52,,,,,,,,,6436,16,4,24,79,70,,,,,43,16,,,,,322,45,,,,,,,,,,,,,,,21,2,,,,,,,790,2,,,,,,,,,,,,,,,,,159,9,,,,,,,,,91,60,514,20,,,,,,,,,,,,,19,25,,,,,,,,,,,,,,,,,,,,,,,,,27,1,,,32,2,,,86,2,19,7,,,,,,,,,,,,,31,69,6,9,103,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,65,,,,,,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,27,44,,,,,174,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,57
24,25,4192,7510,,,,,,,,,,,,,,,,,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,32,,,,,,,39,25,,,,,54,18,837,29,,,,,,,,,3654,24,,,189,46,,,,,,,28,42,,,205,54,,,,,,,,,,,,,1,8,,,,,,,14,42,,,,,,,,,,,59,20,,,,,,,,,,,,,,,,,406,21,490,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,35,,,,,,,,,,,,,,,,,,,,,,,,,84,34,,,,,,,,,,,,,1172,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,34,,,,,,,,,,,,,,,,,,,,,,,,,29,18,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,52,45
