bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
50381,21660,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20930,2,,,,,,,,,12,14,18,49,,,,,,,,,,,,,,,,,,,41,25,,,,,,,,,,,,,,,,,,,,,,,,,,,659,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,21045,12,8,3,,,,,,,,,456,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,26,,,,,,,,,,,,,189,5,1719,15,,,,,,,,,11940,9,,,1965,7,,,1,12,,,81,21,,,1387,11,,,,,,,,,,,,,,,152,8,,,,,244,4,,,,,128,12,,,,,,,,,,,,,,,181,39,123,40,,,,,,,,,,,,,,,,,5,7,,,,,,,38,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,16,,,124,9,,,,,,,,,,,,,217,23,,,,,199,20,,,,,838,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,7,,,,,,,,,,,18,10,,,,,105,13,,,,,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,23
2181,19751,13,,,,,,,,,,,,,,,,,,,,,8,2,,,,,157,3,,,,,,,,,,,,,,,22,13,,,,,,,137,12,,,,,129,8,1574,17,,,,,122,6,,,5701,22,13,4,1251,10,80,3,6,7,,,158,9,,,1380,12,,,,,,,,,,,,,,,176,6,,,,,83,9,,,,,183,8,,,,,179,7,,,,,,,11,3,70,74,852,15,,,,,22,3,,,,,25,25,,,,,,,,,,,,,67,6,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,691,9,10,5,223,6,,,,,,,,,,,,,1010,5,,,,,335,11,,,93,5,2288,9,,,,,,,7,4,,,,,,,,,67,6,39,7,,,,,,,11,2,,,819,3,,,,,,,,,,,141,3,,,,,547,6,,,,,219,3,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,807,6
2243,19183,14,,,,,,,,,,,,,,,,,,,,,,,,,,,19,14,,,,,,,,,,,,,,,3,66,,,,,,,,,,,,,,,4897,5,,,,,,,,,6216,18,,,,,,,,,,,,,,,2274,7,,,,,,,,,,,,,,,,,,,,,51,10,,,,,120,14,,,,,,,,,,,,,,,454,18,166,34,,,,,,,,,,,,,,,,,,,,,,,,,67,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1586,1,,,,,,,,,,,,,,,,,1250,3,,,,,502,8,,,54,9,893,15,,,,,,,5,5,,,,,,,,,,,50,4,,,,,535,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,56
13,14409,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,8,,,,,,,104,14,,,4,6,83,13,1102,21,,,,,,,,,7217,14,3,28,1107,12,,,4,10,,,,,2,2,837,19,,,,,,,,,,,,,,,206,5,,,,,,,,,,,132,11,,,,,,,,,,,,,,,253,32,1141,12,,,,,,,,,,,188,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,110,3,14,51,20,,,,,,,,,,,,,286,21,,,,,296,14,,,29,10,724,19,,,,,,,,,,,,,,,,,22,13,37,8,,,,,39,6,,,,,216,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,11,,,,,,,,,,,,,,,,,,,263,19
25821,13968,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2993,8,,,,,,,,,2,945,8,9,,,,,,,,,,,,,4851,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4688,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408,2,,,,,,,,,,,,,,,,,,,,,,,18,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,12079,17,,,,,,,,,,,51,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,14,,,,,,,,,,,,,47,22,712,30,,,,,,,,,6305,16,6,17,763,18,,,,,,,158,8,,,1395,10,,,,,,,,,,,,,,,123,10,,,,,,,,,,,104,16,,,,,10,15,,,,,4,3,,,765,8,,,,,,,,,,,,,87,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,,,,,,,,,,,,,419,15,,,31,26,,,3,4,,,,,,,,,66,41,,,,,,,,,,,546,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,16,,,,,,,,,,,,,,,,,58,19,,,,,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,20
811,11251,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4,,,,,,,20,30,,,,,,,1067,22,,,,,,,,,3580,33,,,1844,8,,,,,,,86,19,,,1081,14,,,,,,,,,,,,,,,166,7,,,,,,,,,,,98,18,,,,,,,,,,,,,,,74,71,160,36,,,,,,,,,,,442,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329,4,,,41,24,,,,,,,,,,,,,561,9,,,,,322,12,,,56,8,289,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,10943,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,6,43,,,,,,,,,,,,,57,17,978,24,,,,,,,,,4011,30,7,12,891,16,,,5,9,63,8,135,11,,,900,18,,,,,,,,,,,,,,,100,14,,,,,,,,,,,,,,,,,,,,,,,,,,,504,13,770,17,,,,,,,,,,,12,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,27,,,,,,,,,,,,,,,,,291,20,,,,,318,13,,,80,6,1266,12,,,,,,,,,,,,,,,,,45,11,,,,,,,,,,,,,108,23,,,,,,,,,,,,,,,,,,,,,,,56,10,,,,,,,,,13,15,,,,,,,,,,,,,,,,,,,160,24
822,9662,20,,,,,,,,,,,,,,,,,,,,,,,,,,,13,17,,,,,,,,,,,,,,,14,21,,,,,,,,,,,2,8,38,24,955,28,,,,,,,,,4501,24,8,7,518,22,,,,,,,205,6,,,487,31,,,,,,,,,,,,,,,37,27,,,,,,,,,,,87,21,,,,,,,,,,,,,,,335,26,451,21,,,,,,,,,,,35,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,12,3,15,59,18,,,,,,,,,,,,,503,11,,,,,171,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,11,,,,,,,,,,,,,,,,,,,,,,,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,12
5072,9624,21,,,,,,,,,,,4,17,,,,,,,,,,,,,,,9,18,,,,,21,2,,,,,,,,,8,37,,,,,,,,,,,,,153,7,408,47,,,,,,,,,7113,15,7,13,56,70,,,,,,,,,,,346,44,,,,,,,,,,,,,63,2,,,254,2,,,,,,,,,,,,,,,326,3,,,,,,,,,80,68,303,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,1,,,10,2,,,89,2,,,,,,,,,,,,,,,31,70,8,8,60,17,,,,,,,,,,,,,,,,,,,,,,,,,69,62,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,16,60,,,,,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,59
5432,9325,22,,,,,,,,,,,80,8,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,81,,,,,,,,,7489,13,,,608,21,,,,,93,7,9,86,,,107,81,,,,,,,,,,,,,4,4,64,20,27,3,,,,,,,,,,,,,,,143,9,,,,,,,,,96,57,75,49,,,,,,,,,,,8,44,,,,,,,,,,,,,,,15,7,,,,,,,7,4,,,10,3,,,,,,,,,,,,,,,70,52,7,9,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,12,2,,,116,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,46
2136,7965,23,,,,,,,,,,,,,,,,,,,,,,,,,,,87,7,,,,,,,,,,,,,,,,,,,,,,,146,11,,,,,,,2185,12,,,,,,,,,2756,40,7,10,161,45,,,,,179,3,,,,,217,57,,,,,,,,,,,,,,,,,,,,,100,8,,,,,99,17,,,,,,,,,,,,,,,289,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,,,,,,,,,,,,,,,702,8,,,,,,,,,,,,,,,,,486,14,,,,,,,,,,,52,68,,,,,,,,,,,,,,,,,57,8,,,,,,,,,7,3,,,313,9,,,,,,,,,,,,,,,,,76,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,76
6819,7811,24,,,,,,,,,,,,,,,,,,,,,,,,,,,47,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,14,4956,4,,,,,,,,,1566,64,7,14,,,,,,,,,36,32,,,173,62,,,,,,,,,,,,,,,16,40,,,,,,,,,,,,,,,,,,,,,,,4,4,,,112,52,,,,,,,,,,,,,14,37,,,,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,70,53,,,25,30,,,,,,,,,,,,,333,17,,,,,61,32,,,,,142,47,,,,,,,,,,,,,,,,,9,21,,,,,,,,,,,,,73,31,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,44
2719,7473,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,76,,,,,,,,,,,,,52,21,546,40,,,,,,,,,5721,21,,,149,46,,,,,,,35,34,,,491,30,,,,,,,,,,,,,,,43,23,,,,,,,,,,,13,40,,,,,,,,,,,,,,,137,48,,,,,,,,,,,,,8,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,58,,,,,,,,,,,,,,,,,24,69,,,,,,,,,,,95,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,53,,,,,,,,,,,,,,,,,,,,,,,3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,37
2398,7351,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,62,,,,,,,,,6221,17,3,31,,,,,,,,,14,63,,,509,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,38,,,,,,,,,,,,,,,,,24,68,,,,,,,,,,,143,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,44,,,,,,,,,,,,,,,,,51,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,7242,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,23,,,,,,,154,10,,,,,,,594,38,,,,,,,,,4220,26,,,246,34,,,8,5,114,6,,,,,543,25,,,,,,,,,,,,,,,,,,,,,,,,,,,11,42,,,,,,,,,,,,,,,294,28,293,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,21,,,58,19,,,,,,,,,,,,,142,31,,,,,118,26,,,,,,,,,,,,,,,,,,,,,,,9,20,,,,,,,8,11,,,,,138,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,41
2952,6966,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,19,,,,,,,,,,,,,104,10,761,29,,,,,,,,,3571,34,4,27,514,23,,,6,8,,,116,14,,,721,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,,,,,,,,,459,16,28,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,24,,,73,12,,,,,,,,,,,,,,,,,,,111,27,,,,,108,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36218,6684,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,38,,,,,,,41,19,,,,,11,45,970,25,,,,,,,,,4120,27,,,,,,,,,,,36,33,,,192,60,,,,,,,,,,,,,,,24,34,,,,,,,,,,,,,,,,,,,,,,,,,,,83,67,791,16,,,,,,,,,,,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,55,,,31,27,,,,,,,,,,,,,66,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,30
