,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,463,24075,7,5,5,3,,,,,,,44,23,,,,,,,,,,,,,,,20,4,,,,,,,,,,,27,15,,,,,,,,,5,7,,,,,25,21,,,,,,,333,8,,,,,80,12,1869,12,,,,,,,,,,,11119,7,3,20,1184,12,16,9,4,11,74,14,174,15,,,,,1535,14,,,,,,,,,,,,,,,,,,,,,,,114,15,,,,,37,14,,,,,50,23,,,,,,,27,14,,,,,,,,,952,8,2314,6,,,,,,,,,,,,,45,18,1,3,,,,,16,4,,,,,,,,,,,9,13,,,,,,,,,,,,,,,,,6,11,,,,,,,,,,,,,384,16,4,14,64,17,,,,,,,,,,,,,,,,,,,,,475,14,,,,,925,5,,,,,,,984,16,,,,,,,,,,,,,,,,,,,,,,,34,11,,,,,18,16,,,,,136,19,,,,,,,,,,,,,83,8,,,,,,,58,19,,,,,70,14,,,,,,,,,34,18,,,,,,,,,,,,,,,,,,,,,,,711,16
11,12,29351,23290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,21,26,,,,,,,232,12,,,,,,,3796,5,,,,,,,,,,,3401,29,,,162,51,136,2,,,,,160,19,,,,,587,37,,,,,,,,,,,,,,,,,,,,,,,249,8,,,,,,,,,,,68,21,50,6,,,,,,,,,,,,,,,,,106,52,,,,,,,,,,,,,25,34,,,,,,,,,,,,,,,,,,,206,2,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,25,,,,,,,,,,,,,,,,,,,,,,,,,1015,6,,,,,,,,,,,,,10931,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,34,,,,,,,,,,,,,,,,,,,,,,,,,,,894,1,,,,,,,,,688,5,,,,,,,,,,,,,,,,,,,,,,,103,46
12,13,2243,21584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,13,,,,,,,,,,,,,,,18,31,,,,,,,,,,,,,,,4027,3,,,,,,,,,,,6364,15,,,,,,,,,,,5,121,,,,,2469,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,5,,,,,174,10,,,,,,,,,,,,,,,,,682,12,660,15,,,,,,,,,,,,,15,46,,,,,,,,,,,,,,,,,,,61,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,1,,,,,,,,,,,7,6,,,,,,,,,,,,,1760,3,,,,,347,14,,,,,42,10,1334,12,,,,,,,,,,,2,7,,,,,,,,,,,237,2,,,,,805,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,35
13,14,320,16183,,,,,,,,,,,129,14,,,,,,,,,10,5,,,,,,,,,,,,,17,1,,,67,9,,,,,,,,,7,4,,,,,39,11,,,,,,,162,15,,,12,5,32,22,1118,22,,,,,,,117,6,,,5318,20,6,12,1071,15,20,8,5,7,67,15,216,12,,,,,3069,7,,,,,11,2,4,3,,,,,10,2,21,3,13,3,,,,,65,25,62,5,,,,,,,,,202,8,,,,,,,197,8,,,,,,,4,10,213,36,219,36,,,,,15,5,,,,,13,3,40,20,,,,,,,22,3,,,,,,,,,,,23,9,9,13,,,,,,,,,10,6,,,,,299,3,,,,,,,,,,,,,665,13,25,4,39,23,,,,,,,12,4,,,,,,,,,,,,,500,12,,,,,191,19,,,,,89,9,944,17,,,,,,,,,,,,,2,3,,,,,,,117,7,69,7,,,,,15,17,,,,,61,31,,,,,5,8,,,,,,,33,12,,,,,5,5,28,26,,,17,1,28,24,,,,,,,,,102,13,,,,,,,,,,,5,8,,,,,,,,,,,297,26
14,15,13,15962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,10,,,,,,,120,19,,,6,7,40,18,1133,20,,,,,,,41,9,,,6898,14,2,34,1683,7,,,8,5,,,50,38,,,7,2,702,29,,,,,,,,,,,,,4,4,,,,,,,,,579,4,,,,,,,,,,,132,13,,,3,1,,,,,,,,,,,,,309,29,1056,13,,,,,,,,,,,,,45,17,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,11,17,5,66,16,,,,,,,,,,,,,,,,,,,,,238,22,,,,,352,13,,,,,24,12,728,18,,,,,,,,,,,,,,,,,,,,,33,13,85,6,,,,,40,13,,,,,175,14,,,,,,,,,,,,,,,,,,,,,34,24,,,,,25,25,,,,,,,,,27,19,,,,,,,,,,,,,,,,,,,,,,,529,19
15,16,25821,15097,,,,,,,,,,,826,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1862,13,,,,,,,,,,,870,107,13,4,934,17,,,,,,,,,,,,,6398,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,11,,,,,,,,,,,,,,,,,,,,,,,457,21
16,17,2425,14968,,,,,,,,,,,116,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,16,33,,,,,,,205,13,,,,,58,15,1111,23,,,,,,,,,,,4602,23,3,25,1044,16,,,1,20,185,8,156,20,,,,,1104,18,,,,,11,3,,,,,,,,,,,,,,,,,142,11,,,,,,,,,,,148,11,10,8,,,,,,,,,,,,,,,582,15,466,19,,,,,,,,,,,,,13,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,26,,,,,,,,,,,,,,,,,,,,,,,,,667,9,,,,,637,6,,,,,133,7,2436,10,,,,,,,,,,,,,,,,,,,,,78,8,,,,,,,,,,,,,93,25,,,,,7,7,,,,,,,,,,,,,,,134,14,,,,,224,5,,,,,,,,,47,16,,,,,,,,,,,,,,,,,,,,,,,245,31
17,18,2136,13579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,6,,,,,,,,,,,,,,,,,,,,,,,319,9,,,,,,,2398,10,,,,,,,,,,,4555,24,8,9,204,44,,,,,1756,4,,,,,,,419,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,8,,,,,177,9,5,11,,,,,,,,,,,,,,,338,27,,,,,,,,,,,,,,,12,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,,,,,,,,,,1090,7,,,,,,,,,,,,,,,,,,,,,,,,,760,8,,,,,,,,,,,,,55,77,,,,,,,,,,,,,,,,,10,7,,,187,3,,,,,11,3,209,4,22,3,,,376,8,,,,,,,,,,,,,,,,,,,,,222,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,61
18,19,1294,12885,,,,,,,,,,,33,24,,,,,,,,,8,6,,,,,,,,,,,,,,,,,3,26,,,,,,,,,,,,,,,25,22,,,,,,,,,,,,,34,21,702,28,,,,,,,,,,,7070,13,3,23,657,23,,,3,13,102,11,149,21,,,,,1599,13,,,,,,,,,,,,,,,4,6,,,,,,,132,12,,,,,,,,,,,71,20,,,,,,,28,13,,,,,11,3,4,11,637,14,,,,,,,,,,,,,,,117,10,,,,,,,,,,,,,,,,,,,,,19,10,,,,,,,8,4,,,,,,,7,10,,,,,,,,,,,,,378,17,,,45,22,,,,,,,3,7,,,,,,,,,,,,,42,49,,,,,,,,,,,,,400,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,11,,,,,177,13,,,,,,,,,,,,,51,10,,,,,,,12,38,,,,,12,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,27
19,20,3886,11676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,4,,,,,,,,,,,,,,,22,25,,,,,,,290,10,,,,,87,11,2841,7,,,,,,,,,,,2334,47,7,10,391,32,22,7,1,21,155,10,177,14,,,,,805,25,,,,,5,5,,,,,,,,,,,,,,,,,21,45,,,,,,,,,,,686,3,,,,,,,,,,,,,,,,,906,9,217,37,,,,,,,,,,,,,30,28,,,,,,,,,10,3,,,8,4,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,31,9,10,88,12,,,,,,,,,,,,,,,,,,,,,312,20,,,,,424,10,,,,,345,2,253,42,,,,,,,,,,,,,,,,,,,,,120,6,20,14,,,,,350,3,,,,,106,24,,,,,,,,,,,,,,,,,,,,,80,16,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,57
20,21,5072,11530,,,,,,,,,,,318,9,,,,,,,,,,,,,,,,,,,,,,,,,,,23,16,,,,,213,2,,,,,,,,,10,49,,,,,,,,,,,,,107,8,493,43,,,,,,,,,,,7937,9,3,29,109,63,,,,,24,22,,,,,,,461,44,,,,,,,,,,,,,,,,,43,2,,,,,,,275,2,,,,,,,,,,,,,,,,,133,9,,,,,,,,,95,66,238,33,,,,,,,,,,,,,12,62,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,,,45,4,,,174,2,124,4,,,,,,,,,,,,,45,66,5,13,101,11,,,,,,,,,,,,,,,,,,,,,,,,,,,49,41,,,,,,,110,57,,,,,,,,,,,,,,,,,,,51,2,,,,,,,,,,,,,,,55,38,,,,,169,3,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,64
21,22,181,11331,15,3,,,,,,,,,172,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,16,,,,,,,,,,,,,88,9,1040,24,,,,,,,,,,,5920,16,,,863,19,,,2,16,,,65,31,,,,,946,19,,,,,,,,,,,,,,,,,,,,,,,112,16,,,,,189,9,,,,,43,27,,,,,,,,,,,,,,,,,154,46,116,50,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,28,,,48,20,,,,,,,,,,,,,,,,,,,,,112,31,,,,,119,27,,,,,,,419,29,,,,,,,,,,,,,,,,,159,3,,,,,,,,,2,5,,,,,,,140,18,,,,,,,,,,,,,22,14,,,,,,,29,25,,,,,16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,33
22,23,5432,9475,,,,,,,,,,,336,8,,,,,8,2,,,,,,,,,,,,,,,,,,,,,29,14,,,,,31,3,,,,,,,,,10,50,,,,,,,,,,,,,,,250,70,,,,,,,,,,,5276,21,,,692,21,,,,,439,6,12,81,,,,,182,76,,,,,,,,,,,,,,,,,7,4,,,,,83,22,239,3,,,,,,,,,,,,,,,,,364,6,,,,,,,,,153,48,97,54,,,,,,,,,,,,,24,35,,,,,,,,,,,,,10,3,,,,,,,42,5,,,,,,,,,48,3,,,39,3,,,,,,,,,,,,,,,164,34,9,11,12,36,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,10,,,,,36,46,,,,,216,2,,,44,2,,,406,4,,,,,,,,,,,,,30,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,43
