,designer,winner,winner,winner,winner,nominated,nominated,nominated,nominated,recommended,recommended,recommended,recommended,sonderpreis,sonderpreis,sonderpreis,sonderpreis,all,all,all
9733,Jarratt Gray,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,7.68295,2,48
12367,Dirk Baumann,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,6.42407,2,50
85283,Lena Burkhardt,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5.9888,2,51
44,Yves Hirschfeld,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5.67804,2,52
580,Christian Wolf,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5.62179,2,53
579,Stefanie Rohner,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5.62179,2,53
1391,Geni Wyss,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.0,2,55
8324,Peter Schackert,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5.53317,2,56
140103,Luc Rémond,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.89065,1,57
39436,Hisashi Hayashi,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.62999,1,58
51055,Bruno Sautter,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.43692,1,59
51255,Ludovic Roudy,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.43692,1,59
1219,Gary Grady,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.35969,1,61
1221,Raymond Edwards,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.35969,1,61
1220,Suzanne Goldberg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.35969,1,61
70631,Johannes Sich,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.2109,1,64
11547,Jean-Louis Roubira,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.06454,1,65
28912,Christophe Raimbault,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.95284,1,66
6569,Karen Seyfarth,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.9083,1,67
25,Richard Borg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.72563,1,68
7708,Susan McKinley Ross,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.61211,1,69
60694,Christian Stöhr,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.58517,1,70
119515,Daniela Stöhr,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.58517,1,70
5491,Dorothy Garrels,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3432,1,72
5492,Fritz Ifland,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3432,1,72
4088,Manfred Burggraf,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3432,1,72
5493,Werner Scheerer,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3432,1,72
5490,Werner Schlegel,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3432,1,72
5495,Wolf Hoermann,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3432,1,72
634,Ephraim Hertzano,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.33675,1,78
166,David Parlett,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.24082,1,79
4155,Thomas Liesching,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.22604,1,80
210,Rob Bontenbal,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.14795,1,81
1056,Bill Payne,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0872,1,82
130,Werner Hodel,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.01569,1,83
121032,Martin Ang,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.73996,1,84
250,David G. Watts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.68312,1,85
432,Michel Matschoss,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.61337,1,86
111338,Elizabeth Hargrave,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.84376,1,87
92425,Peter Rustemeyer,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.3058,1,88
135581,Matteo Menapace,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.05809,1,89
133041,Aske Christiansen,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.793,1,90
42380,Johannes Krenner,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.67669,1,91
66638,Brian Gomez,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.55006,1,92
1496,Brian Yu,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.52207,1,93
137,Carol Wiseley,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.47462,1,94
83763,Masaru Aoki,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.47462,1,94
3882,Michelle Schanen,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.90753,1,96
3337,Arno Steinwender,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.75675,1,97
44455,Carmen Kleinert,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.70686,1,98
91325,Antonin Boccara,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6717,1,99
260,Armin Müller,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.61791,1,100
259,Martin Arnold,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.61791,1,100
42714,Arthur Drescher,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.53317,1,102
3244,Heike Baum,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.5123,1,103
442,Rob Daviau,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,8.34461,3,104
10,Uwe Rosenberg,0,0,0,0,0,0,1,1,2,0,4,6,0,0,1,1,7.7227,8,105
142,Michael Rieneck,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,7.0288,3,106
7391,Stefan Stadler,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,7.0288,2,107
295,Serge Laget,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,6.92487,2,108
5629,William Attia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.48917,1,109
5,Jean du Poël,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.97778,1,110
7176,Nick Kellet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.95664,1,111
301,Torsten Marold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.52689,1,112
1791,Johannes Tranelis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.51864,1,113
176,Thomas Fackler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.5064,1,114
130986,Jeremy Koch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.54348,1,115
130658,Mathieu Casnin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.54348,1,115
10394,Thomas Cauët,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.54348,1,115
4009,Cyril Demaegd,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.24505,1,118
272,Jürgen P. Grunau,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,5.73398,5,119
13,Stefan Dorra,0,0,0,0,0,1,2,3,0,1,6,7,0,0,0,0,6.37871,10,120
4958,Stefan Feld,0,0,0,0,3,0,0,3,1,0,5,6,0,0,0,0,8.03225,9,121
138,Leo Colovini,0,0,0,0,0,1,2,3,0,0,5,5,0,0,0,0,6.39739,8,122
69007,Matthew Dunstan,0,0,0,0,2,0,1,3,0,0,1,1,0,0,0,0,7.13229,4,123
2268,Hans Raggan,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,5.70376,3,124
3990,Wolfgang Dirscherl,0,0,0,0,0,2,0,2,0,4,0,4,0,0,0,0,5.5942,6,125
314,Ralf zur Linde,0,0,0,0,0,0,2,2,0,0,3,3,0,0,0,0,6.70607,5,126
60151,Corentin Lebrat,0,0,0,0,1,1,0,2,1,0,2,3,0,0,0,0,7.26822,5,127
7640,Paolo Mori,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,7.16557,4,128
95143,Kasper Lapp,0,0,0,0,0,0,2,2,0,1,1,2,0,0,0,0,6.77403,4,129
10614,Manfred Reindl,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,5.5942,4,130
928,Bernd Brunnhofer,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,7.37917,3,131
56058,Brett J. Gilbert,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,7.13229,3,132
3540,Carlo A. Rossi,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,5.76429,3,133
11781,Steffen Benndorf,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6.65719,2,134
34699,Matthias Cramer,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,7.16044,2,135
3432,Kirsten Becker,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,5.88273,2,136
12,Reinhard Staupe,0,0,0,0,0,1,0,1,0,2,7,9,0,0,0,0,6.04855,10,137
141,Friedemann Friese,0,0,0,0,0,0,1,1,1,0,3,4,0,0,0,0,7.68171,5,138
6736,Sébastien Pauchon,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,7.36141,4,139
249,Wolfgang Panning,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,6.96542,4,140
8347,Phil Walker-Harding,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,6.89778,4,141
235,Aaron Weissblum,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,6.60327,4,142
961,Oliver Igelhaut,0,0,0,0,0,1,0,1,0,2,1,3,0,0,0,0,5.52164,4,143
1,Karl-Heinz Schmiel,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,6.97989,3,144
125,Bruno Faidutti,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,6.92938,3,145
124,Corné van Moorsel,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,6.89005,3,146
79,Dominique Ehrhard,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,6.62145,3,147
57,Franz-Benno Delonge,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,6.40996,3,148
119408,Grégory Grard,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,7.33923,3,149
3327,Laurent Escoffier,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,6.4965,3,150
12547,Shem Phillips,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,7.65912,3,151
816,Hajo Bücken,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,5.52495,3,152
748,Markus Nikisch,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,5.54448,3,153
50969,Marc André,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,7.29305,2,154
85,Thorsten Gimmler,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,6.9538,2,155
6046,Ted Alspach,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,6.85351,2,156
11782,Wolfgang Sentker,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,6.70607,2,157
316,Tom Schoeps,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,5.56411,2,158
44054,Annick Lobet,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,6.9367,2,159
8132,Alain Rivollet,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,6.58078,2,160
65537,Gaëtan Beaujannot,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,6.58078,2,160
6045,Mac Gerdts,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,7.92442,2,162
92370,Paul Dennen,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,8.22124,2,163
6008,Alessandro Zucchini,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,7.16557,2,164
3612,Thomas Daum,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.57183,2,165
37919,Violetta Leitner,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.57183,2,165
3343,Andrew Lawson,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.52889,2,167
3342,Jack Lawson,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.52889,2,167
942,Thierry Denoual,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.52141,2,169
9792,Andreas Frei,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.51539,2,170
9794,Lukas Frei,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.51539,2,170
9793,Ueli Frei,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.51539,2,170
116503,Kei Kajino (梶野 桂),0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7.57911,1,173
14171,Eric Olsen,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.99364,1,174
34866,Marcel Süßelbeck,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.96542,1,175
34864,Marco Ruskowski,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.96542,1,175
4299,Peter Prinz,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.79572,1,177
6651,Corey Konieczka,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.78258,1,178
124205,Aurélien Picolet,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.77128,1,179
49759,Remo Conzadori,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.71959,1,180
123695,Matthieu Verdier,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.54708,1,181
68814,Masao Suganuma,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.47321,1,182
6741,Amanda Kohout,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.23157,1,183
6740,William Jacobson,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.23157,1,183
1532,Régis Bonnessée,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.22394,1,185
157836,Die 7 Bazis,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.09514,1,186
48,Wilko Manz,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5.95803,1,187
840,Martin Schlegel,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5.83232,1,188
3513,Norbert Proena,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5.75684,1,189
52075,Jacob Fryxelius,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8.18243,1,190
127823,Elwen,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.91655,1,191
127822,Mín,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.91655,1,191
158,Reiner Stockhausen,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.85934,1,193
77564,Adam Rehberg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.4159,1,194
98336,Ryan Lambert,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.4159,1,194
57305,Andreas Steiger,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.40004,1,196
109218,Jordy Adan,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.38797,1,197
113774,Johannes Goupy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.26822,1,198
3440,Bruce Glassco,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.23956,1,199
107037,Hal Duncan,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.16102,1,200
107036,Ruth Veevers,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.16102,1,200
54146,Louis Malz,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.16044,1,202
54147,Stefan Malz,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.16044,1,202
4735,Ignacy Trzewiczek,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.15653,1,204
108405,Jakub Łapot,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.15653,1,204
99503,Przemysław Rymer,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.15653,1,204
69927,Manuel Rozoy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.13708,1,207
87947,Peggy Chassenet,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.13708,1,207
30744,Andreas Schmidt,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.09755,1,209
91211,Hjalmar Hach,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.0947,1,210
28238,Lorenzo Silva,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.0947,1,210
77702,Koota Yamada,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.02438,1,212
7324,Adam Kałuża,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.70592,1,213
34672,Charles Chevallier,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.30927,1,214
130905,Fertessa Allyse,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.71459,1,215
80520,Asger Aleksandrov Granerud,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.6853,1,216
80521,Daniel Skjold Pedersen,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.6853,1,216
66521,Johannes Zirm,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.67307,1,218
78240,Johann Roussel,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.6641,1,219
78238,Karim Aouidad,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.6641,1,219
1379,Fréderic Moyersoen,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.60866,1,221
6647,Christian Tiggemann,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.60765,1,222
6589,Maja Dorn,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.59454,1,223
34434,Jürgen Adams,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.54991,1,224
545,Ronald Hofstätter,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.54516,1,225
82239,Thomas Dagenais-Lespérance,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.54255,1,226
113106,Sara Zarian,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.53231,1,227
8360,Ariel Laden,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.53176,1,228
106414,Michael Kallauch,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.53037,1,229
89781,Dave Campbell (II),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.52141,1,230
97601,Christophe Lauras,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.5201,1,231
60914,Karin Hetling,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.51727,1,232
11222,Dale Yu,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.5135,1,233
427,Hanno Girke,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.5135,1,233
11507,Klemens Franz,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.5135,1,233
94040,Benoit Turpin,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.51134,1,236
64163,Iris Rossbach,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.49736,1,237
817,Dirk Hanneforth,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,1,238
6330,Rüdiger Husmeier,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,1,238
94,Reinhold Wittig,0,0,0,0,0,0,0,0,0,1,10,11,0,0,0,0,5.55608,11,240
244,Kris Burm,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,7.26159,6,241
365,Roland Siegers,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,5.52696,6,242
1210,Haim Shafir,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,5.74906,6,243
144,Jacques Zeimet,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,6.60321,5,244
59,Marcel-André Casasola Merkle,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6.57282,4,245
172,Urs Hostettler,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6.29563,4,246
233,Johann Rüttinger,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5.53485,4,247
4337,Ludovic Maublanc,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,6.85602,4,248
72628,Théo Rivière,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,7.26958,4,249
35418,Simone Luciani,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,7.83692,4,250
491,Gunter Baars,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5.54689,4,251
104,Eric Solomon,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5.89945,3,252
4308,Bernhard Lach,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,6.4111,3,253
4307,Uwe Rapp,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,6.4111,3,253
68073,Ken Gruhl,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,6.0606,3,255
1318,Hervé Marly,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,7.00896,2,256
132,Günter Cornett,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.57166,2,257
219,Philippe des Pallières,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.41536,2,258
74,Doris Matthäus,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.27225,2,259
