,designer,winner,winner,winner,winner,nominated,nominated,nominated,nominated,recommended,recommended,recommended,recommended,sonderpreis,sonderpreis,sonderpreis,sonderpreis,all,all,all
bgg_id,name,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,best_rating,total,rank
112154,Florian Biege,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.5334,1,510
44443,Marek Zoschl,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.52867,1,511
85285,Tim Rogasch,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.52471,1,512
7282,Chislaine van den Bulk,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.52402,1,513
942,Thierry Denoual,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.52312,1,514
6623,Jürgen Then,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.5188,1,515
80476,Florian Nadler,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.51479,1,516
607,Walter Obert,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.51168,1,517
3778,Manfred Kapp,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.51079,1,518
3777,Ulrike Gattermeyer-Kapp,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.51079,1,518
236,Christine Lehmann,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.50952,1,520
3841,Eligio Cazzato,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.50796,1,521
1726,Frank Stark,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.50759,1,522
111812,Justin Lee,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.50597,1,523
8022,Rita Franz,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.50297,1,524
8566,Helmut Hecht,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.49246,1,525
4677,Steffen Mühlhäuser,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.47893,1,526
113670,Seven Towns,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.47634,1,527
59321,Alex Sanders,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
30759,Alix-Kis Bouguerra,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
6334,Aniwat Rerkrai,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
3735,Anja Dreier-Brückner,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
3505,Annette Birlenbach,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
5070,Barbara Schyns,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
3980,Brian S. Spence,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
69969,Christian Hutzler,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
10264,Christine Basler,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
483,Edith Grein-Böttcher,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
1794,Eugen Wyss,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
315,Garrett J. Donner,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
9695,Grégory Kirszbaum,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
1898,Helmut Huber,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
4809,Helmut Punke,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
64767,Ivan de Faveri,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
8888,Jörg Domberger,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
62766,Kerstin Wallner,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
10669,Laima Kikutienè,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
73432,Laima Zulonė,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
130860,Laurent Toulouse,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
37907,Manuela Hintner,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
8766,Margret Lochner,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
10246,Matthias Prinz,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
3397,Max Gerchambeau,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
1050,Michael S. Steer,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
597,Peter Neugebauer,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
405,Peter Wichmann,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
9962,Prof. Dr. Gerhard Friedrich,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
6525,Stefan Olschewski,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
2302,Susanne Armbruster,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
10407,Susanne Galonska,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
79777,Sébastien Decad,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
5108,Tanja Engel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
305,Thilo Hutzler,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
37906,Thomas Strolz,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
951,Uli Geissler,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
4849,Viola de Galgóczy,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
111422,Yann Dupont,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,528
