,designer,winner,winner,winner,winner,nominated,nominated,nominated,nominated,recommended,recommended,recommended,recommended,sonderpreis,sonderpreis,sonderpreis,sonderpreis,all,all,all
bgg_id,name,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,best_rating,total,rank
3244,Heike Baum,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.51498,1,94
378,Matt Leacock,0,0,0,0,1,0,3,4,0,0,0,0,1,0,0,1,8.38212,5,95
10,Uwe Rosenberg,0,0,0,0,0,0,1,1,2,0,4,6,0,0,1,1,7.75163,8,96
142,Michael Rieneck,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,7.05777,3,97
442,Rob Daviau,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,8.38212,2,98
7391,Stefan Stadler,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,7.05777,2,99
295,Serge Laget,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,6.94328,2,100
5629,William Attia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.51968,1,101
5,Jean du Poël,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.9781,1,102
7176,Nick Kellet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.98886,1,103
301,Torsten Marold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.53102,1,104
1791,Johannes Tranelis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.51669,1,105
176,Thomas Fackler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.50621,1,106
130986,Jeremy Koch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.26391,1,107
130658,Mathieu Casnin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.26391,1,107
156823,Mathieu Cassin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.26391,1,107
10394,Thomas Cauët,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.26391,1,107
4009,Cyril Demaegd,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.06605,1,111
272,Jürgen P. Grunau,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,5.75894,5,112
13,Stefan Dorra,0,0,0,0,0,1,2,3,0,1,6,7,0,0,0,0,6.392,10,113
4958,Stefan Feld,0,0,0,0,3,0,0,3,1,0,5,6,0,0,0,0,8.01499,9,114
138,Leo Colovini,0,0,0,0,0,1,2,3,0,0,5,5,0,0,0,0,6.42728,8,115
2268,Hans Raggan,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,5.73354,3,116
3990,Wolfgang Dirscherl,0,0,0,0,0,2,0,2,0,4,0,4,0,0,0,0,5.60879,6,117
314,Ralf zur Linde,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,6.71118,4,118
95143,Kasper Lapp,0,0,0,0,0,0,2,2,0,1,1,2,0,0,0,0,6.8049,4,119
10614,Manfred Reindl,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,5.60879,4,120
928,Bernd Brunnhofer,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,7.40643,3,121
69007,Matthew Dunstan,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,6.89958,3,122
3540,Carlo A. Rossi,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,5.78455,3,123
11781,Steffen Benndorf,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6.65441,2,124
34699,Matthias Cramer,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,7.1853,2,125
3432,Kirsten Becker,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,5.92321,2,126
12,Reinhard Staupe,0,0,0,0,0,1,0,1,0,2,7,9,0,0,0,0,6.10395,10,127
141,Friedemann Friese,0,0,0,0,0,0,1,1,1,0,3,4,0,0,0,0,7.70232,5,128
6736,Sébastien Pauchon,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,7.37335,4,129
249,Wolfgang Panning,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,7.00095,4,130
235,Aaron Weissblum,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,6.6397,4,131
961,Oliver Igelhaut,0,0,0,0,0,1,0,1,0,2,1,3,0,0,0,0,5.52336,4,132
1,Karl-Heinz Schmiel,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,7.04394,3,133
125,Bruno Faidutti,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,6.94743,3,134
8347,Phil Walker-Harding,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,6.9294,3,135
124,Corné van Moorsel,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,6.89511,3,136
79,Dominique Ehrhard,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,6.61952,3,137
57,Franz-Benno Delonge,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,6.42593,3,138
12547,Shem Phillips,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,7.68019,3,139
60151,Corentin Lebrat,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,6.8641,3,140
816,Hajo Bücken,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,5.52654,3,141
748,Markus Nikisch,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,5.55318,3,142
50969,Marc André,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,7.30295,2,143
85,Thorsten Gimmler,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,6.95337,2,144
7640,Paolo Mori,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,6.90018,2,145
6046,Ted Alspach,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,6.89571,2,146
11782,Wolfgang Sentker,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,6.71118,2,147
316,Tom Schoeps,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,5.52062,2,148
44054,Annick Lobet,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,6.95362,2,149
8132,Alain Rivollet,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,6.61285,2,150
65537,Gaëtan Beaujannot,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,6.61285,2,150
6045,Mac Gerdts,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,7.94407,2,152
