bgg_id,name,year,award,winner,nominated,recommended,sonderpreis,bayes_rating,designer
1012,Die Magier,1985,spiel,False,False,True,,5.51353,581
1041,San Marco,2001,spiel,False,False,True,,6.6397,9
1041,San Marco,2001,spiel,False,False,True,,6.6397,235
1045,Malawi,1986,spiel,False,False,True,,5.52441,1130
1063,Schraumen,1992,spiel,False,False,True,,5.48856,172
1071,Aztec,1995,spiel,False,False,True,,5.53274,83
1072,Wat'n dat!?,1996,spiel,False,False,True,,5.63861,2077
1077,Baubylon,1981,spiel,False,False,True,,5.51666,94
1082,Invers,1991,spiel,False,False,True,,5.52718,244
1101,Flying Carpet,1987,spiel,False,False,True,,5.54467,511
1101,Flying Carpet,1987,spiel,False,False,True,,5.54467,513
1111,Taboo,1989,spiel,False,False,True,,6.13093,3233
1117,You're Bluffing!,1985,spiel,False,False,True,,6.19093,7101
1132,Top Secret,1985,spiel,False,False,True,,5.51351,24
1155,Capitol,2001,spiel,False,False,True,,6.04901,9
1155,Capitol,2001,spiel,False,False,True,,6.04901,235
1173,Millionenspiel,1982,spiel,False,False,True,,5.51398,7101
1174,Minister,1975,spiel,False,False,True,,5.46089,154
1197,Blink,1995,spiel,False,False,True,,5.68805,12
1219,Labyrinth,1986,spiel,False,False,True,,6.23243,217
1231,Bausack,1987,spiel,False,False,True,,6.35463,267
1345,Genoa,2001,spiel,False,False,True,,6.63024,381
1350,Das Amulett,2001,spiel,False,True,True,,5.73774,9
1350,Das Amulett,2001,spiel,False,True,True,,5.73774,235
1356,Hexen Rennen,2001,spiel,False,False,True,,5.57237,249
1379,Ebbe & Flut,2000,spiel,False,False,True,,5.72255,331
1382,Winner's Circle,2001,spiel,False,False,True,,6.57633,2
1387,Alaska,1979,spiel,False,False,True,,5.5537,104
1390,Auf Kurs,1987,spiel,False,False,True,,5.52898,94
1403,Turn the Tide,1997,spiel,False,False,True,,6.392,13
1451,Dimenticato,1998,spiel,False,False,True,,5.50704,609
1520,Monad,1969,spiel,False,False,True,,5.62687,4
1547,Janus,1975,spiel,False,False,True,,5.5355,154
1588,Bauernschlau,1991,spiel,False,False,True,,5.52062,316
1597,Streetcar,1995,spiel,False,False,True,,5.92214,13
1702,Klondike,1993,kinder,True,True,True,,5.63641,579
1702,Klondike,1993,kinder,True,True,True,,5.63641,580
1703,Kula Kula,1991,spiel,False,False,True,,5.4856,94
1733,Iago,1984,spiel,False,False,True,,,24
1753,Im Märchenwald,2000,kinder,False,True,True,,5.51828,748
1806,The Piggyback Brigade,2001,kinder,False,True,True,,5.59447,24
1816,Mississippi,1987,spiel,False,False,True,,5.52866,365
1910,Venice Connection,1988,spiel,False,False,True,,5.587,24
1992,Stop Thief,1979,spiel,False,False,True,,5.74523,8795
1998,Tutankhamen's Revenge,1990,spiel,False,False,True,,5.49428,579
1998,Tutankhamen's Revenge,1990,spiel,False,False,True,,5.49428,580
2043,Shogun,1976,spiel,False,False,True,,5.54195,287
2043,Shogun,1976,spiel,False,False,True,,5.54195,4363
2075,Restaurant,1987,spiel,False,False,True,,5.48477,365
2087,Magic Dance,1988,spiel,False,False,True,,5.54733,862
2186,Dino,1987,spiel,False,False,True,,5.49468,94
2197,Kensington,1979,spiel,False,False,True,,5.46304,912
2197,Kensington,1979,spiel,False,False,True,,5.46304,911
2226,Greyhounds,1985,spiel,False,False,True,,5.55543,928
2229,Spiel,1980,spiel,False,False,True,,5.55915,94
2290,Good & Bad Ghosts,1980,spiel,False,False,True,,5.86927,24
2346,DVONN,2001,spiel,False,False,True,,6.87348,244
2363,Orient Express,1985,spiel,False,False,True,,5.78734,3548
2363,Orient Express,1985,spiel,False,False,True,,5.78734,3082
2453,Blokus,2000,spiel,False,False,True,,6.71761,1001
2473,Winkeladvokat,1986,spiel,False,False,True,,5.50866,365
2492,Doctor Faust,1990,spiel,False,False,True,,5.49368,94
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,spiel,True,True,True,,7.4123,1221
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,spiel,True,True,True,,7.4123,1220
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,spiel,True,True,True,,7.4123,1219
2533,Kupferkessel Co.,2001,spiel,False,False,True,,6.02315,173
2558,Comeback,1996,spiel,False,False,True,,5.50726,12
2570,Atlantic Star,2001,spiel,False,False,True,,6.13013,60
2596,Villa Paletti,2001,spiel,True,True,True,,6.11925,1056
2651,Power Grid,2004,spiel,False,False,True,,7.70232,141
2672,Der Herr der Ringe: Die Gefährten – Das Kartenspiel,2001,spiel,False,False,True,,5.55145,2
2694,Donnerwetter,1991,spiel,False,False,True,,,523
2759,Havannah,1980,spiel,False,False,True,,5.64654,1126
2840,Heuchel und Meuchel,1990,spiel,False,False,True,,5.48832,154
2842,TransAmerica,2001,spiel,False,True,True,,6.42593,57
2938,Zatre,1990,spiel,False,False,True,,5.61069,1205
3015,Claim,1983,spiel,False,False,True,,5.57501,24
3076,Puerto Rico,2002,spiel,False,True,True,,7.78103,117
3141,The Bucket King,2002,spiel,False,False,True,,5.86735,13
3234,Dschunke,2002,spiel,False,False,True,,5.8882,86
3267,Pizarro & Co.,2002,spiel,False,False,True,,5.91985,150
3305,Anticipation,1987,spiel,False,False,True,,5.51352,1356
3305,Anticipation,1987,spiel,False,False,True,,5.51352,1355
3335,Ganoven Jagd,1983,spiel,False,False,True,,5.50758,154
3373,San Gimignano,2002,spiel,False,False,True,,5.50314,1388
3377,20 Questions,1988,spiel,False,False,True,,5.53565,1390
3377,20 Questions,1988,spiel,False,False,True,,5.53565,28051
3383,Mahé,1974,spiel,False,False,True,,5.74175,24
3406,Lines of Action,1969,spiel,False,False,True,,5.8359,904
3570,Chicken Cha Cha Cha,1997,kinder,True,True,True,,6.11794,267
3586,Sherlock,1999,kinder,False,False,True,,5.67264,12
3679,Ramparts,1993,spiel,False,False,True,,5.60923,154
3800,Himalaya,2002,spiel,False,True,True,,6.27998,1532
3977,Strong Stuff!,2002,kinder,False,True,True,,5.57511,256
