game_id,bgg_id,name,num_all_matches,num_connected_matches,num_all_players,num_connected_players,num_regular_players,num_max_matches,two_player_only,elo_k,std_dev,p_deterministic
1391,227605,For-Ex,2985,1648,3824,1500,18,199,false,73.3,143.3,0.57
1158,169649,Sapiens,77913,63769,37046,17096,1020,2670,false,48.5,143.3,0.57
1640,231733,Obsession,283852,268516,41490,29943,4204,8129,false,37.3,142.9,0.57
1686,114562,Hokito,17700,13498,7103,3180,196,857,true,41.3,142.8,0.57
1670,246192,Gizmos,2178844,2150753,79446,64632,17039,20383,false,24.4,142.8,0.57
2091,362020,Cosmoctopus,42318,34946,13548,6503,632,862,false,43.1,142.7,0.57
1758,368465,Qawale,41407,30745,16038,7440,449,912,true,49.1,142.6,0.57
1997,384213,Fromage,77786,64488,31340,18851,1435,1011,false,55.1,142.5,0.57
1475,262477,Mercado de Lisboa,10548,7497,8394,4229,85,283,false,69.7,142.5,0.57
1841,391163,Forest Shuffle,3716367,3652261,156910,122530,29883,9100,false,28.4,142.4,0.57
1130,68425,Eminent Domain,135443,124378,26649,15791,1727,4959,false,38.7,142.2,0.57
2123,420214,Arctic,9019,6581,6362,3045,81,353,false,51.8,141.9,0.57
1863,246200,Piepmatz,5538,4203,3594,1934,66,194,false,53.1,141.7,0.57
1395,4607619,Iwari,20176,15738,15588,7761,300,1594,false,77.1,141.6,0.57
1323,248430,Zener,5755,3070,4270,1185,34,422,true,61.3,141.6,0.57
1005,8229,Armadöra,21561,14768,15031,6059,221,319,false,56.4,141.5,0.56
1724,42336,Ultimate Tic-Tac-Toe,17919,7786,13431,3256,84,660,true,47.5,141.3,0.56
1881,398388,Oxono,72120,59361,15779,9102,979,1414,true,44.6,140.8,0.56
2069,306032,Cookie Addict!,8773,3859,7513,1973,34,108,true,64.4,140.7,0.56
2331,418036,SUPER,10422,8475,5585,2862,155,586,false,59.6,140.6,0.56
1309,262712,Res Arcana,833152,803434,67095,49645,8184,7843,false,29.5,140.4,0.56
2382,443348,Arigatō,9870,8062,5437,2936,150,427,false,66.6,140.3,0.56
1378,317985,Beyond the Sun,235049,218687,53975,39029,4535,3190,false,47.1,140.0,0.56
1891,258779,Planet Unknown,154996,140036,37068,25756,3060,2835,false,44.1,139.8,0.56
1349,151467,Once Upon A Forest,9227,6647,6264,2578,71,436,false,48.5,139.8,0.56
1579,329227,Betta,26180,21317,11124,5925,312,780,false,42.7,139.7,0.56
1552,41933,Arctic Scavengers,19765,15294,11195,5719,241,689,false,58.4,139.7,0.56
1413,300226,Egocentric World,5207,3358,3675,1230,57,509,false,46.4,139.7,0.56
2301,414685,Mesos,11302,9036,8136,5011,99,178,false,58.7,139.5,0.56
2288,393307,Tower Up,25453,20322,16310,9265,327,548,false,58.2,139.0,0.56
2207,432716,Leaders,88566,79239,16483,10138,1313,1765,true,42.1,139.0,0.56
1553,128072,VEGEtables,4423,1543,4563,459,17,665,true,57.8,139.0,0.56
1708,350184,Earth,284369,259769,62769,43300,4353,2890,false,40.3,138.9,0.56
1615,361084,Yoxii,18460,14849,5256,2643,194,1022,true,34.2,138.6,0.56
1679,351666,Vidrasso,4571,4190,1070,632,50,2175,true,39.0,138.2,0.56
1440,291859,Riftforce,35305,30130,9681,5412,459,802,true,43.8,138.1,0.56
1878,331401,Dog Park,14270,9365,13431,5966,124,194,false,59.8,138.0,0.56
1638,366752,The Great Split,9890,7290,9639,5691,133,364,false,81.2,138.0,0.56
1360,194517,Super Fantasy Brawl,174473,160017,29959,16879,2057,7287,true,38.5,137.9,0.56
1908,402803,Vault: A Den of Thieves,3771,2901,2091,980,52,338,false,49.4,137.7,0.55
1874,367525,3000 Scoundrels,4850,2933,5374,2211,37,379,false,56.2,137.6,0.55
2387,433908,Gatsby,19147,14847,8509,4472,216,339,true,45.5,137.5,0.55
2223,140934,Arboretum,20381,14927,13680,7170,187,320,false,54.2,137.5,0.55
1026,23908,Metromania,22610,14899,13994,3765,266,755,false,49.3,137.1,0.55
1200,171623,The Voyages of Marco Polo,414088,397302,53514,37990,4772,7511,false,31.2,136.5,0.55
1274,252997,Mapmaker: The Gerrymandering Game,39175,30786,16790,8481,507,1911,false,41.2,136.4,0.55
1971,411881,Gold’n’Crash,3565,2163,2926,1153,27,131,true,57.6,136.3,0.55
1009,126239,Twin Tin Bots,15182,11380,11363,3954,206,975,false,54.9,136.2,0.55
1819,366397,Colorado,11726,10544,3906,2525,190,728,false,51.4,135.9,0.55
1755,269144,Hadara,94158,87575,22308,15466,1390,4433,false,37.4,135.9,0.55
2256,115370,Cuttle,1290,708,880,309,10,154,false,53.9,135.5,0.55
2295,13123,500,863,491,581,228,9,115,false,50.8,135.3,0.55
1106,204504,Outlaws: Last Man Standing,22538,14385,10178,3486,227,1265,true,53.6,135.2,0.55
1903,364073,Splendor Duel,865751,772061,122779,76522,12426,3100,true,34.8,135.1,0.55
2419,449437,Medu,3462,1895,2131,831,25,185,true,84.1,134.9,0.55
2411,441731,Moonlight: The Land of the Wolves,7145,4316,5791,2340,38,96,true,48.9,134.9,0.55
1572,353545,Next Station: London,392680,370186,43828,32425,6503,3210,false,33.9,134.9,0.55
1705,264647,Age of Civilization,50539,46152,11889,7885,745,2371,false,41.3,134.7,0.55
1847,338467,Zuuli,19785,16060,7037,3606,224,1046,false,41.6,134.6,0.54
1004,148759,Time Masters,75910,70141,10569,4952,631,4931,false,29.0,134.5,0.54
2428,439742,Dewan,8335,6513,6716,3931,65,129,false,60.6,134.3,0.54
2260,284936,Café,17551,14435,8083,4665,226,822,false,53.5,134.3,0.54
1420,163412,Patchwork,2943487,2792702,232902,154438,28982,13655,true,25.4,134.3,0.54
1385,314503,Codex Naturalis,252643,235913,44224,31605,3694,7701,false,38.0,133.9,0.54
1636,368118,Hadron,7187,3801,3770,1033,49,552,true,31.3,133.6,0.54
1929,385999,Forever Home,19428,15674,8572,4973,233,1056,false,41.5,133.4,0.54
2097,351515,Capybara'n'Capybara,4591,2010,4834,1202,23,153,false,50.5,133.1,0.54
1567,288775,Fairy Trails,53540,36716,23675,8068,549,4912,true,42.8,133.1,0.54
1513,27588,Zooloretto,24139,18884,15047,7496,265,1356,false,44.8,133.1,0.54
1372,245654,Railroad Ink,1984306,1916613,128681,89794,16299,40797,false,23.9,133.1,0.54
2236,429020,Paper World,17906,14552,8721,4517,227,581,false,41.3,132.7,0.54
1663,370756,Diablo,4105,2681,1824,485,33,765,true,28.9,132.6,0.54
1238,21790,Thurn and Taxis,309606,290988,39651,26088,3364,8492,false,29.1,132.4,0.54
2509,,Carnuta,8592,6950,5533,3233,79,164,false,47.3,132.2,0.54
2271,408769,Propuh,2756,1349,2364,803,12,103,true,44.1,132.2,0.54
2243,265736,Tiny Towns,37310,28312,25003,12670,331,769,false,43.0,132.0,0.54
1390,84876,The Castles of Burgundy,3889353,3799706,271696,208752,46372,15632,false,28.3,132.0,0.54
1022,143484,Florenza: The Card Game,10201,8373,5113,2671,170,292,false,59.6,131.8,0.54
1120,185344,Dragon Keeper: The Dungeon,9318,3500,12774,2303,66,184,false,60.3,131.6,0.54
2218,419109,Battlegammon,902,644,616,282,9,89,true,31.6,130.9,0.53
1416,255692,New Frontiers,56008,46199,17206,10367,1018,1454,false,42.8,130.4,0.53
