bgg_id,name,year
3918,Raiders of the Lost Ark Game,1981
2678,Voyage of the B.S.M. Pandora,1981
4486,Dragonslayer,1981
5199,The Lords of Underearth,1981
2215,They've Invaded Pleasantville,1981
5992,Operation Grenade: The Battle for the Rhineland 23 Feb. - 5 Mar. '45,1981
4259,The Trojan War: The Game of Gods & Heroes,1981
5002,Pro Golf,1981
4516,Ragnarok,1981
2168,Hitler's War,1981
4084,The Alamo,1981
2753,Demon's Run,1981
8722,BAOR,1981
731,Escape from New York,1981
2713,James Clavell's Noble House,1981
3047,Rails Through the Rockies,1981
10014,Norway 1940: The Kriegsmarine Strikes,1981
4060,Undead,1981
6916,1941: Operation Barbarossa,1981
10293,En Busca Del Imperio Cobra,1981
2653,Survive: Escape from Atlantis!,1982
1452,Mhing,1982
1515,Upwords,1982
17735,Jailbreak,1982
1190,Continuo,1982
2375,Sequence,1982
1705,Slapshot,1982
3229,"The Game of Medici: Arms, Loves and Betrayals in XVth Century Europe",1982
170,Family Business,1982
37391,Scotland Yard,1982
1640,Blockbusters,1982
168,Empire Builder,1982
614,Rubik's Race,1982
11924,Struggle,1982
10898,Tricky Fingers,1982
1226,Babuschka,1982
6661,Corda,1982
1952,Long Short,1982
3516,Option,1982
1258,Phase 10,1982
8658,Monopoly: French,1982
2681,Countdown,1982
37103,Spangles,1982
754,Domain,1982
1044,Gunslinger,1982
4668,Lost Treasure,1982
6230,Snafooey,1982
14451,Nomic,1982
40,Borderlands,1982
2264,Isaac Asimov's Super Quiz,1982
7102,City of Sorcerers,1982
859,Illuminati,1982
9320,Bottles and Bins,1982
828,Wizards,1982
10757,Marco Polo: Dragonda,1982
4907,PAC-MAN Game,1982
7228,Victory at Waterloo,1982
5638,Monopoly Playmaster,1982
1617,Icebergs,1982
12181,Football Fever,1982
96,Broadsides & Boarding Parties,1982
19676,Escrete,1982
7918,Eagle Eye Agency,1982
10084,Stuff Yer Face,1982
5798,United Nations: A Game of World Domination in Our Time,1982
3513,Electronic Stratego,1982
7241,Fight for the Sky,1982
1571,Sanctuary: Thieves World,1982
17005,Bonaparte: The Napoleonic Campaigns,1982
7457,Monopoly: Canadian Edition,1982
10820,Master,1982
10506,Blue Marble,1982
18983,La Segunda Guerra Mundial,1982
26560,Asalto al Banco de Inglaterra,1982
11888,Bataille de la Marne 1914,1982
1098,Judge Dredd,1982
4912,G.I. Joe Adventure Board Game,1982
2482,Zaxxon,1982
7422,Mid-Life Crisis,1982
2157,Riddle of the Ring,1982
15497,Millionær,1982
1127,Encounters,1982
803,Dragonhunt,1982
7230,Battle for Normandy,1982
5922,Birth of a Nation,1982
20732,La conquista del Oeste,1982
6597,E.T.: The Extra-Terrestrial,1982
7243,8th Army,1982
9368,Ave Tenebrae,1982
2676,Demo Derby: Saturday Night at the Track,1982
5548,VII Legio,1982
3110,Dragon Rage,1982
8408,Siege at Peking,1982
5011,Monsters of the Midway,1982
3247,Planet Busters,1982
4472,Arnhem Bridge,1982
3089,Bounty Hunter: Shootout at the Saloon,1982
4951,PAC-MAN Card Game,1982
4097,Raise the Roof,1982
7634,Western Desert,1982
4578,UNO Wild Tiles,1982
84,Rommel in the Desert,1982
4449,The Battle of Monmouth,1982
5021,The Struggle of Nations,1982
3669,Moon Base Clavius,1982
9610,Travspelet med V65,1982
7475,Hand and Foot,1982
3534,Star Trader,1982
5752,Black Sea Black Death,1982
2483,Viking Gods,1982
18780,El Día Más Largo,1982
25229,Rommel y Montgomery,1982
3037,Escape from Altassar,1982
